Experiment Number,Map Seed,Number of Agents, Agents Seed, Uncertainty,Timeout,CBS Time,ODA Queue Time, CCBS Min Cost, CCBS Max Cost, ODA Min Cost, ODA Max Cost, CCBS nodes expanded, ODA nodes expanded
1,12345678,10, 907208967269946619, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
2,12345678,10, 1753717759878385377, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
3,12345678,10, 6840431287097816122, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
4,12345678,10, 6559451191412225491, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
5,12345678,10, 1312448047737654208, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
6,12345678,10, 6002367085173059010, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
7,12345678,10, 8482329440282034595, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
8,12345678,10, 6617597343361063812, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
9,12345678,10, 4736550147746855342, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
10,12345678,10, 402162629897726863, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
11,12345678,10, 1342470575706649450, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
12,12345678,10, 5021765468749323805, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
13,12345678,10, 5963671966078134268, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
14,12345678,10, 1030708494651871729, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
15,12345678,10, 3823689579736210455, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
16,12345678,10, 3813413097455704068, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
17,12345678,10, 4838728905919494975, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
18,12345678,10, 6299513851551927988, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
19,12345678,10, 1010690931980275660, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
20,12345678,10, 6394560242435512171, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
21,12345678,10, 407731308383316256, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
22,12345678,10, 8969086898485450828, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
23,12345678,10, 7729010071344516353, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
24,12345678,10, 3218941136606334948, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
25,12345678,10, 4280787012911107682, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
26,12345678,10, 3143357702473947300, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
27,12345678,10, 3269606750369806570, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
28,12345678,10, 8518034653421018730, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
29,12345678,10, 1625956147250477932, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
30,12345678,10, 4792157177789334565, 1,60,-1, -1, -1, -1, -1, -1, -1, -1

Algorithm, Average Run Time, Success Rate, Average Cost, Ratio 
CCBS, 0.0, 0.0%, 0.0 to 0.0, -1
ODA-queue, 0.0, 0.0%, 0.0 to 0.0, -1
