Experiment Number,Map Seed,Number of Agents, Agents Seed, Uncertainty,Timeout,CBS Time,ODA Queue Time, CCBS Min Cost, CCBS Max Cost, ODA Min Cost, ODA Max Cost, CCBS nodes expanded, ODA nodes expanded
1,12345678,3, 1222917164, 0,60,0.7011260986328125, 1.9637489318847656, 1722, 1722, 1722, 1722, 3, 2806
2,12345678,3, 378457199, 0,60,0.1326770782470703, 1.6336004734039307, 1004, 1004, 1004, 1004, 1, 2182
3,12345678,3, 972420191, 0,60,0.230393648147583, 4.466022253036499, 1224, 1224, 1224, 1224, 1, 3373
4,12345678,3, 200312327, 0,60,0.1286783218383789, 2.8104310035705566, 1073, 1073, 1073, 1073, 1, 2575
5,12345678,3, 594016394, 0,60,0.7330410480499268, 2.963076591491699, 1843, 1843, 1843, 1843, 2, 3073
6,12345678,3, 800033227, 0,60,0.5655238628387451, 2.440438747406006, 2173, 2173, 2173, 2173, 2, 3143
7,12345678,3, 853139219, 0,60,0.05183839797973633, 0.9454379081726074, 584, 584, 584, 584, 1, 1461
8,12345678,3, 815817145, 0,60,0.1944293975830078, 2.254969596862793, 1511, 1511, 1511, 1511, 2, 2678
9,12345678,3, 808607297, 0,60,0.049865007400512695, 0.25629329681396484, 814, 814, 814, 814, 1, 1021
10,12345678,3, 1603970651, 0,60,0.1755504608154297, 2.9530699253082275, 1608, 1608, 1608, 1608, 1, 2839
11,12345678,3, 1138351211, 0,60,0.0907907485961914, 1.487046480178833, 898, 898, 898, 898, 1, 1888
12,12345678,3, 1997386587, 0,60,0.06981658935546875, 0.9085485935211182, 838, 838, 838, 838, 1, 1639
13,12345678,3, 1617835637, 0,60,0.6263124942779541, 2.1991519927978516, 1623, 1623, 1623, 1623, 2, 2713
14,12345678,3, 441511860, 0,60,0.1246194839477539, 2.2230660915374756, 1166, 1166, 1166, 1166, 1, 2380
15,12345678,3, 144462761, 0,60,0.1655595302581787, 1.0860943794250488, 2013, 2013, 2013, 2013, 1, 2602
16,12345678,3, 1684102987, 0,60,0.46880149841308594, 3.42482328414917, 1584, 1584, 1584, 1584, 2, 3235
17,12345678,3, 1090941505, 0,60,0.19143939018249512, 0.8258259296417236, 1207, 1207, 1207, 1207, 2, 2091
18,12345678,3, 1693992741, 0,60,0.10076093673706055, 1.3254241943359375, 1247, 1247, 1247, 1247, 1, 2118
19,12345678,3, 1110224206, 0,60,0.4199097156524658, 3.2462868690490723, 1382, 1382, 1382, 1382, 2, 2994
20,12345678,3, 846389649, 0,60,1.6695101261138916, -1, 1545, 1545, -1, -1, 4, -1
21,12345678,3, 1605512273, 0,60,0.0857698917388916, 1.6106946468353271, 831, 831, 831, 831, 1, 1954
22,12345678,3, 627431541, 0,60,0.32712459564208984, 5.279914379119873, 1957, 1957, 1957, 1957, 1, 3512
23,12345678,3, 827302178, 0,60,0.179520845413208, 3.795816659927368, 1243, 1243, 1243, 1243, 1, 2826
24,12345678,3, 717076620, 0,60,0.09671735763549805, 1.0063097476959229, 1185, 1185, 1185, 1185, 1, 1808
25,12345678,3, 238568705, 0,60,0.08776593208312988, 1.5269505977630615, 866, 866, 866, 866, 1, 2056
26,12345678,3, 1929770942, 0,60,0.1436140537261963, 1.8001866340637207, 1174, 1174, 1174, 1174, 1, 2216
27,12345678,3, 1212646299, 0,60,0.19747233390808105, 1.3204689025878906, 1184, 1184, 1184, 1184, 2, 2196
28,12345678,3, 39726636, 0,60,0.0937504768371582, 2.017606258392334, 930, 930, 930, 930, 1, 2168
29,12345678,3, 1468577114, 0,60,0.20744633674621582, 0.6143701076507568, 1922, 1922, 1922, 1922, 1, 2333
30,12345678,3, 1152064709, 0,60,0.3001418113708496, 3.3032009601593018, 1006, 1006, 1006, 1006, 2, 2581

Algorithm, Average Run Time, Success Rate, Average Cost, Ratio 
CCBS, 0.28699891567230223, 100.0%, 1311.9 to 1311.9, 1.0
ODA-queue, 2.0562958478927613, 96.66666666666667%, 1303.8620689655172 to 1303.8620689655172, 7.1648209648313
