Experiment Number,Map Seed,Number of Agents, Agents Seed, Uncertainty,Timeout,CBS Time,ODA Queue Time, CCBS Min Cost, CCBS Max Cost, ODA Min Cost, ODA Max Cost, CCBS nodes expanded, ODA nodes expanded
1,12345678,5, 1200109274, 4,60,0.009011030197143555, 0.6452963352203369, 55, 101, 55, 101, 4, 1183
2,12345678,5, 1114699172, 4,60,0.06482481956481934, 3.702080249786377, 75, 123, 75, 123, 13, 5660
3,12345678,5, 1149037572, 4,60,2.8692965507507324, -1, 85, 151, -1, -1, 250, -1
4,12345678,5, 1831083146, 4,60,2.1482553482055664, -1, 77, 130, -1, -1, 54, -1
5,12345678,5, 732134930, 4,60,0.003989458084106445, 0.038895606994628906, 54, 95, 54, 95, 3, 101
6,12345678,5, 384127167, 4,60,0.3250770568847656, -1, 72, 111, -1, -1, 5, -1
7,12345678,5, 856857400, 4,60,0.21941184997558594, 0.8996517658233643, 50, 84, 50, 84, 17, 2043
9,12345678,5, 547580647, 4,60,0.1685495376586914, 3.9434540271759033, 59, 92, 59, 92, 16, 8531
10,12345678,5, 868109712, 4,60,12.970316648483276, -1, 65, 104, -1, -1, 269, -1
11,12345678,5, 869117874, 4,60,0.0010268688201904297, 0.019951581954956055, 34, 61, 34, 61, 1, 37
12,12345678,5, 1438481048, 4,60,-1, -1, -1, -1, -1, -1, -1, -1
13,12345678,5, 1632205645, 4,60,0.4937729835510254, 13.652490615844727, 65, 115, 65, 110, 9, 19103
