Map,Map Seed,Uncertainty,Number of Agents,Agent Seed,With Communication,Sensing Probability,Initial Runtime (secs),Online Runtime (secs),Success,Initial Min SOC,Initial Max SOC,Initial Uncertainty,Initial True Cost,Final Min SOC,Final Max SOC,Final Uncertainty,Distribution,Final True Cost,Objective,Effect on True Cost,True Cost Change,Min SIC,Max SIC
Open Map,96372106,0,10,10637296,False,0.0,0.027156352996826172,0.003068685531616211,1,53,53,0,53,53,53,0,max,53,Min Best Case,No Change,0,53,53
Open Map,96372106,0,10,10637297,False,0.0,0.013514280319213867,0.0032503604888916016,1,57,57,0,57,57,57,0,max,57,Min Best Case,No Change,0,57,57
Open Map,96372106,0,10,10637298,False,0.0,0.005269050598144531,0.0026726722717285156,1,57,57,0,57,57,57,0,max,57,Min Best Case,No Change,0,56,56
Open Map,96372106,0,10,10637299,False,0.0,0.005989789962768555,0.0026509761810302734,1,62,62,0,62,62,62,0,max,62,Min Best Case,No Change,0,62,62
Open Map,96372106,0,10,10637300,False,0.0,0.060393333435058594,0.003089427947998047,1,66,66,0,66,66,66,0,max,66,Min Best Case,No Change,0,66,66
Open Map,96372106,0,10,10637301,False,0.0,0.01838970184326172,0.0032682418823242188,1,48,48,0,48,48,48,0,max,48,Min Best Case,No Change,0,48,48
Open Map,96372106,0,10,10637302,False,0.0,0.008793830871582031,0.003323078155517578,1,71,71,0,71,71,71,0,max,71,Min Best Case,No Change,0,71,71
Open Map,96372106,0,10,10637303,False,0.0,0.008780717849731445,0.002857685089111328,1,50,50,0,50,50,50,0,max,50,Min Best Case,No Change,0,50,50
Open Map,96372106,0,10,10637304,False,0.0,0.00524592399597168,0.0025072097778320312,1,41,41,0,41,41,41,0,max,41,Min Best Case,No Change,0,41,41
Open Map,96372106,0,10,10637305,False,0.0,0.02837228775024414,0.003324270248413086,1,59,59,0,59,59,59,0,max,59,Min Best Case,No Change,0,57,57
Open Map,96372106,0,10,10637306,False,0.0,0.018838167190551758,0.004675388336181641,1,58,58,0,58,58,58,0,max,58,Min Best Case,No Change,0,58,58
Open Map,96372106,0,10,10637307,False,0.0,0.01666259765625,0.003711700439453125,1,57,57,0,57,57,57,0,max,57,Min Best Case,No Change,0,56,56
Open Map,96372106,0,10,10637308,False,0.0,0.011952638626098633,0.0031838417053222656,1,64,64,0,64,64,64,0,max,64,Min Best Case,No Change,0,64,64
Open Map,96372106,0,10,10637309,False,0.0,0.01853799819946289,0.0029213428497314453,1,60,60,0,60,60,60,0,max,60,Min Best Case,No Change,0,59,59
Open Map,96372106,0,10,10637310,False,0.0,0.020766019821166992,0.003606081008911133,1,63,63,0,63,63,63,0,max,63,Min Best Case,No Change,0,62,62
Open Map,96372106,0,10,10637311,False,0.0,0.006704092025756836,0.0036821365356445312,1,58,58,0,58,58,58,0,max,58,Min Best Case,No Change,0,58,58
Open Map,96372106,0,10,10637312,False,0.0,0.06692290306091309,0.0029904842376708984,1,46,46,0,46,46,46,0,max,46,Min Best Case,No Change,0,43,43
Open Map,96372106,0,10,10637313,False,0.0,0.059682369232177734,0.0030431747436523438,1,64,64,0,64,64,64,0,max,64,Min Best Case,No Change,0,63,63
Open Map,96372106,0,10,10637314,False,0.0,153.10397815704346,0.003055095672607422,1,60,60,0,60,60,60,0,max,60,Min Best Case,No Change,0,57,57
Open Map,96372106,0,10,10637315,False,0.0,0.36551833152770996,0.0035805702209472656,1,70,70,0,70,70,70,0,max,70,Min Best Case,No Change,0,70,70
Open Map,96372106,0,10,10637316,False,0.0,0.01779341697692871,0.002913236618041992,1,59,59,0,59,59,59,0,max,59,Min Best Case,No Change,0,59,59
Open Map,96372106,0,10,10637317,False,0.0,0.009061336517333984,0.002960205078125,1,61,61,0,61,61,61,0,max,61,Min Best Case,No Change,0,61,61
Open Map,96372106,0,10,10637318,False,0.0,0.0027577877044677734,0.0023925304412841797,1,49,49,0,49,49,49,0,max,49,Min Best Case,No Change,0,49,49
Open Map,96372106,0,10,10637319,False,0.0,1.5877037048339844,0.0030503273010253906,1,59,59,0,59,59,59,0,max,59,Min Best Case,No Change,0,56,56
Open Map,96372106,0,10,10637320,False,0.0,0.0048291683197021484,0.0026106834411621094,1,49,49,0,49,49,49,0,max,49,Min Best Case,No Change,0,49,49
Open Map,96372106,0,10,10637321,False,0.0,0.022243738174438477,0.0026412010192871094,1,52,52,0,52,52,52,0,max,52,Min Best Case,No Change,0,51,51
Open Map,96372106,0,10,10637322,False,0.0,0.0433497428894043,0.002988100051879883,1,58,58,0,58,58,58,0,max,58,Min Best Case,No Change,0,56,56
