Map,Uncertainty,Number of Agents,With Communication,Sensing Probability,Initial Runtime (secs),Online Runtime (secs),Success,Initial Min SOC,Initial Max SOC,Initial Uncertainty,Initial True Cost,Final Min SOC,Final Max SOC,Final Uncertainty,Final True Cost,Objective,Reduction in True Cost,Distribution,Number of Runs,Reduced True Cost,Increased True Cost,Same True Cost,Min SIC,Max SIC,Reduction %
Circular,0,2,False,0.0,0.01542945384979248,0.011981701850891114,1.0,296.52,296.52,0.0,296.52,296.52,296.52,0.0,296.52,Min Best Case,0.0,max,50,0,0,50,296.52,296.52,0
Circular,0,2,False,0.0,0.01542945384979248,0.011339488029479981,1.0,296.52,296.52,0.0,296.52,296.52,296.52,0.0,296.52,Min Best Case,0.0,min,50,0,0,50,296.52,296.52,0
Circular,0,2,False,0.0,0.01542945384979248,0.01204176902770996,1.0,296.52,296.52,0.0,296.52,296.52,296.52,0.0,296.52,Min Best Case,0.0,uniform,50,0,0,50,296.52,296.52,0
Circular,0,2,False,0.0,0.015546903610229493,0.01178307056427002,1.0,296.52,296.52,0.0,296.52,296.52,296.52,0.0,296.52,Min Worst Case,0.0,max,50,0,0,50,296.52,296.52,0
Circular,0,2,False,0.0,0.015546903610229493,0.011988048553466796,1.0,296.52,296.52,0.0,296.52,296.52,296.52,0.0,296.52,Min Worst Case,0.0,min,50,0,0,50,296.52,296.52,0
Circular,0,2,False,0.0,0.015546903610229493,0.011670141220092774,1.0,296.52,296.52,0.0,296.52,296.52,296.52,0.0,296.52,Min Worst Case,0.0,uniform,50,0,0,50,296.52,296.52,0
Circular,0,2,True,0.0,0.01542945384979248,0.008297991752624512,1.0,296.52,296.52,0.0,296.52,296.52,296.52,0.0,296.52,Min Best Case,0.0,max,50,0,0,50,296.52,296.52,0
Circular,0,2,True,0.0,0.01542945384979248,0.008404393196105957,1.0,296.52,296.52,0.0,296.52,296.52,296.52,0.0,296.52,Min Best Case,0.0,min,50,0,0,50,296.52,296.52,0
Circular,0,2,True,0.0,0.01542945384979248,0.009601278305053711,1.0,296.52,296.52,0.0,296.52,296.52,296.52,0.0,296.52,Min Best Case,0.0,uniform,50,0,0,50,296.52,296.52,0
Circular,0,2,True,0.0,0.015546903610229493,0.008647980690002442,1.0,296.52,296.52,0.0,296.52,296.52,296.52,0.0,296.52,Min Worst Case,0.0,max,50,0,0,50,296.52,296.52,0
Circular,0,2,True,0.0,0.015546903610229493,0.008479170799255371,1.0,296.52,296.52,0.0,296.52,296.52,296.52,0.0,296.52,Min Worst Case,0.0,min,50,0,0,50,296.52,296.52,0
Circular,0,2,True,0.0,0.015546903610229493,0.008420042991638184,1.0,296.52,296.52,0.0,296.52,296.52,296.52,0.0,296.52,Min Worst Case,0.0,uniform,50,0,0,50,296.52,296.52,0
Circular,0,2,False,0.5,0.01542945384979248,0.012861614227294921,1.0,296.52,296.52,0.0,296.52,296.52,296.52,0.0,296.52,Min Best Case,0.0,max,50,0,0,50,296.52,296.52,0
Circular,0,2,False,0.5,0.01542945384979248,0.01189095973968506,1.0,296.52,296.52,0.0,296.52,296.52,296.52,0.0,296.52,Min Best Case,0.0,min,50,0,0,50,296.52,296.52,0
Circular,0,2,False,0.5,0.01542945384979248,0.012402276992797851,1.0,296.52,296.52,0.0,296.52,296.52,296.52,0.0,296.52,Min Best Case,0.0,uniform,50,0,0,50,296.52,296.52,0
Circular,0,2,False,0.5,0.015546903610229493,0.012144112586975097,1.0,296.52,296.52,0.0,296.52,296.52,296.52,0.0,296.52,Min Worst Case,0.0,max,50,0,0,50,296.52,296.52,0
Circular,0,2,False,0.5,0.015546903610229493,0.01186666488647461,1.0,296.52,296.52,0.0,296.52,296.52,296.52,0.0,296.52,Min Worst Case,0.0,min,50,0,0,50,296.52,296.52,0
Circular,0,2,False,0.5,0.015546903610229493,0.012439160346984864,1.0,296.52,296.52,0.0,296.52,296.52,296.52,0.0,296.52,Min Worst Case,0.0,uniform,50,0,0,50,296.52,296.52,0
Circular,0,2,True,0.5,0.01542945384979248,0.009364500045776367,1.0,296.52,296.52,0.0,296.52,296.52,296.52,0.0,296.52,Min Best Case,0.0,max,50,0,0,50,296.52,296.52,0
Circular,0,2,True,0.5,0.01542945384979248,0.009361953735351562,1.0,296.52,296.52,0.0,296.52,296.52,296.52,0.0,296.52,Min Best Case,0.0,min,50,0,0,50,296.52,296.52,0
Circular,0,2,True,0.5,0.01542945384979248,0.00938497543334961,1.0,296.52,296.52,0.0,296.52,296.52,296.52,0.0,296.52,Min Best Case,0.0,uniform,50,0,0,50,296.52,296.52,0
Circular,0,2,True,0.5,0.015546903610229493,0.009327025413513183,1.0,296.52,296.52,0.0,296.52,296.52,296.52,0.0,296.52,Min Worst Case,0.0,max,50,0,0,50,296.52,296.52,0
Circular,0,2,True,0.5,0.015546903610229493,0.009320578575134277,1.0,296.52,296.52,0.0,296.52,296.52,296.52,0.0,296.52,Min Worst Case,0.0,min,50,0,0,50,296.52,296.52,0
Circular,0,2,True,0.5,0.015546903610229493,0.009339127540588379,1.0,296.52,296.52,0.0,296.52,296.52,296.52,0.0,296.52,Min Worst Case,0.0,uniform,50,0,0,50,296.52,296.52,0
Circular,0,2,False,1.0,0.01542945384979248,0.0120355224609375,1.0,296.52,296.52,0.0,296.52,296.52,296.52,0.0,296.52,Min Best Case,0.0,max,50,0,0,50,296.52,296.52,0
Circular,0,2,False,1.0,0.01542945384979248,0.011749424934387208,1.0,296.52,296.52,0.0,296.52,296.52,296.52,0.0,296.52,Min Best Case,0.0,min,50,0,0,50,296.52,296.52,0
Circular,0,2,False,1.0,0.01542945384979248,0.011778779029846191,1.0,296.52,296.52,0.0,296.52,296.52,296.52,0.0,296.52,Min Best Case,0.0,uniform,50,0,0,50,296.52,296.52,0
Circular,0,2,False,1.0,0.015546903610229493,0.011727380752563476,1.0,296.52,296.52,0.0,296.52,296.52,296.52,0.0,296.52,Min Worst Case,0.0,max,50,0,0,50,296.52,296.52,0
Circular,0,2,False,1.0,0.015546903610229493,0.011751298904418945,1.0,296.52,296.52,0.0,296.52,296.52,296.52,0.0,296.52,Min Worst Case,0.0,min,50,0,0,50,296.52,296.52,0
Circular,0,2,False,1.0,0.015546903610229493,0.011766901016235351,1.0,296.52,296.52,0.0,296.52,296.52,296.52,0.0,296.52,Min Worst Case,0.0,uniform,50,0,0,50,296.52,296.52,0
Circular,0,2,True,1.0,0.01542945384979248,0.009253988265991211,1.0,296.52,296.52,0.0,296.52,296.52,296.52,0.0,296.52,Min Best Case,0.0,max,50,0,0,50,296.52,296.52,0
Circular,0,2,True,1.0,0.01542945384979248,0.00927912712097168,1.0,296.52,296.52,0.0,296.52,296.52,296.52,0.0,296.52,Min Best Case,0.0,min,50,0,0,50,296.52,296.52,0
Circular,0,2,True,1.0,0.01542945384979248,0.009567852020263673,1.0,296.52,296.52,0.0,296.52,296.52,296.52,0.0,296.52,Min Best Case,0.0,uniform,50,0,0,50,296.52,296.52,0
Circular,0,2,True,1.0,0.015546903610229493,0.009571561813354492,1.0,296.52,296.52,0.0,296.52,296.52,296.52,0.0,296.52,Min Worst Case,0.0,max,50,0,0,50,296.52,296.52,0
Circular,0,2,True,1.0,0.015546903610229493,0.00957540512084961,1.0,296.52,296.52,0.0,296.52,296.52,296.52,0.0,296.52,Min Worst Case,0.0,min,50,0,0,50,296.52,296.52,0
Circular,0,2,True,1.0,0.015546903610229493,0.009561715126037597,1.0,296.52,296.52,0.0,296.52,296.52,296.52,0.0,296.52,Min Worst Case,0.0,uniform,50,0,0,50,296.52,296.52,0
Circular,1,2,False,0.0,3.448167000876533,0.017583979500664607,0.9,301.2,430.53333333333336,129.33333333333334,430.53333333333336,301.2,430.53333333333336,129.33333333333334,430.53333333333336,Min Best Case,0.0,max,50,0,0,45,301.1333333333333,431.3777777777778,0
Circular,1,2,False,0.0,3.448167000876533,0.016112083858913846,0.9,301.2,430.53333333333336,129.33333333333334,301.2,301.2,430.53333333333336,129.33333333333334,301.2,Min Best Case,0.0,min,50,0,0,45,301.1333333333333,431.3777777777778,0
Circular,1,2,False,0.0,3.448167000876533,0.017914305792914496,0.9,301.2,430.53333333333336,129.33333333333334,366.5777777777778,301.2,430.53333333333336,129.33333333333334,366.5777777777778,Min Best Case,0.0,uniform,50,0,0,45,301.1333333333333,431.3777777777778,0
Circular,1,2,False,0.0,3.6932048749923707,0.016976280212402342,1.0,318.48,452.7,134.22,452.7,318.48,452.7,134.22,452.7,Min Worst Case,0.0,max,50,0,0,50,317.94,455.72,0
Circular,1,2,False,0.0,3.6932048749923707,0.016856298446655274,1.0,318.48,452.7,134.22,318.48,318.48,452.7,134.22,318.48,Min Worst Case,0.0,min,50,0,0,50,317.94,455.72,0
Circular,1,2,False,0.0,3.6932048749923707,0.01758129119873047,1.0,318.48,452.7,134.22,386.46,318.48,452.7,134.22,386.46,Min Worst Case,0.0,uniform,50,0,0,50,317.94,455.72,0
Circular,1,2,True,0.0,3.448167000876533,0.009295972188313802,0.9,301.2,430.53333333333336,129.33333333333334,430.53333333333336,301.2,430.53333333333336,129.33333333333334,430.53333333333336,Min Best Case,0.0,max,50,0,0,45,301.1333333333333,431.3777777777778,0
Circular,1,2,True,0.0,3.448167000876533,0.008455101648966472,0.9,301.2,430.53333333333336,129.33333333333334,301.2,301.2,430.53333333333336,129.33333333333334,301.2,Min Best Case,0.0,min,50,0,0,45,301.1333333333333,431.3777777777778,0
Circular,1,2,True,0.0,3.448167000876533,0.008646922641330296,0.9,301.2,430.53333333333336,129.33333333333334,366.5777777777778,301.2,430.53333333333336,129.33333333333334,366.5777777777778,Min Best Case,0.0,uniform,50,0,0,45,301.1333333333333,431.3777777777778,0
Circular,1,2,True,0.0,3.6932048749923707,0.010798745155334473,1.0,318.48,452.7,134.22,452.7,318.48,452.7,134.22,452.7,Min Worst Case,0.0,max,50,0,0,50,317.94,455.72,0
Circular,1,2,True,0.0,3.6932048749923707,0.008645730018615723,1.0,318.48,452.7,134.22,318.48,318.48,452.7,134.22,318.48,Min Worst Case,0.0,min,50,0,0,50,317.94,455.72,0
Circular,1,2,True,0.0,3.6932048749923707,0.00880887508392334,1.0,318.48,452.7,134.22,386.46,318.48,452.7,134.22,386.46,Min Worst Case,0.0,uniform,50,0,0,50,317.94,455.72,0
Circular,1,2,False,0.5,0.904764012856917,0.3883854692632502,0.88,298.25,426.54545454545456,128.29545454545453,426.54545454545456,425.45454545454544,426.54545454545456,1.0909090909090908,426.54545454545456,Min Best Case,0.0,max,50,0,0,44,298.20454545454544,426.97727272727275,0
Circular,1,2,False,0.5,0.921112481937852,0.5062255138574645,0.86,298.3953488372093,426.5348837209302,128.13953488372093,298.3953488372093,298.3953488372093,299.30232558139534,0.9069767441860465,298.3953488372093,Min Best Case,0.0,min,50,0,0,43,298.3488372093023,427.06976744186045,0
Circular,1,2,False,0.5,0.921112481937852,0.5110197344491648,0.86,298.3953488372093,426.5348837209302,128.13953488372093,363.6511627906977,363.25581395348837,364.2093023255814,0.9534883720930233,363.6511627906977,Min Best Case,0.0,uniform,50,0,0,43,298.3488372093023,427.06976744186045,0
Circular,1,2,False,0.5,1.7801019688870043,0.43043894463397087,0.94,307.531914893617,438.1489361702128,130.61702127659575,438.1489361702128,437.1063829787234,438.1489361702128,1.0425531914893618,438.1489361702128,Min Worst Case,0.0,max,50,0,0,47,307.17021276595744,440.1489361702128,0
Circular,1,2,False,0.5,0.4702198830517856,0.5473199540918524,0.88,303.84090909090907,433.45454545454544,129.61363636363637,303.84090909090907,303.84090909090907,304.75,0.9090909090909091,303.84090909090907,Min Worst Case,0.0,min,50,0,0,44,303.6363636363636,434.5681818181818,0
Circular,1,2,False,0.5,0.4702198830517856,0.5594319105148315,0.88,303.84090909090907,433.45454545454544,129.61363636363637,369.90909090909093,369.52272727272725,370.45454545454544,0.9318181818181818,369.90909090909093,Min Worst Case,0.0,uniform,50,0,0,44,303.6363636363636,434.5681818181818,0
Circular,1,2,True,0.5,0.904764012856917,2.7112011313438416,0.88,298.25,426.54545454545456,128.29545454545453,426.54545454545456,425.79545454545456,426.79545454545456,1.0,426.79545454545456,Min Best Case,-0.25,max,50,4,4,36,298.20454545454544,426.97727272727275,0
Circular,1,2,True,0.5,0.921112481937852,2.742975717367128,0.86,298.3953488372093,426.5348837209302,128.13953488372093,298.3953488372093,298.3720930232558,299.30232558139534,0.9302325581395349,298.3720930232558,Min Best Case,0.023255813953539928,min,50,2,1,40,298.3488372093023,427.06976744186045,0
Circular,1,2,True,0.5,0.921112481937852,2.0154234198636787,0.86,298.3953488372093,426.5348837209302,128.13953488372093,363.6511627906977,363.06976744186045,364.2325581395349,1.1627906976744187,363.5581395348837,Min Best Case,0.09302325581398918,uniform,50,3,3,37,298.3488372093023,427.06976744186045,0
Circular,1,2,True,0.5,1.7801019688870043,5.429031909780299,0.94,307.531914893617,438.1489361702128,130.61702127659575,438.1489361702128,438.72340425531917,439.6808510638298,0.9574468085106383,439.6808510638298,Min Worst Case,-1.5319148936169995,max,50,3,7,37,307.17021276595744,440.1489361702128,0
Circular,1,2,True,0.5,0.4702198830517856,3.676832074468786,0.88,303.84090909090907,433.45454545454544,129.61363636363637,303.84090909090907,303.65909090909093,304.5681818181818,0.9090909090909091,303.65909090909093,Min Worst Case,0.18181818181813014,min,50,6,0,38,303.6363636363636,434.5681818181818,0
Circular,1,2,True,0.5,0.4702198830517856,2.5516429489309136,0.88,303.84090909090907,433.45454545454544,129.61363636363637,369.90909090909093,369.59090909090907,370.72727272727275,1.1363636363636365,370.0681818181818,Min Worst Case,-0.15909090909087809,uniform,50,2,3,39,303.6363636363636,434.5681818181818,0
Circular,1,2,False,1.0,0.921112481937852,0.6986196262891903,0.86,298.3953488372093,426.5348837209302,128.13953488372093,426.5348837209302,426.5348837209302,426.5348837209302,0.0,426.5348837209302,Min Best Case,0.0,max,50,0,0,43,298.3488372093023,427.06976744186045,0
Circular,1,2,False,1.0,0.921112481937852,1.0700982836789863,0.86,298.3953488372093,426.5348837209302,128.13953488372093,298.3953488372093,298.3953488372093,298.3953488372093,0.0,298.3953488372093,Min Best Case,0.0,min,50,0,0,43,298.3488372093023,427.06976744186045,0
