Experiment Number,Map Seed,Number of Agents, Agents Seed, Uncertainty,Timeout,CBS Time,ODA Queue Time, CCBS Min Cost, CCBS Max Cost, ODA Min Cost, ODA Max Cost, CCBS nodes expanded, ODA nodes expanded
1,12345678,10, 1002330110, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
2,12345678,10, 472425119, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
3,12345678,10, 254400172, 2,60,6.033841133117676, -1, 94, 120, -1, -1, 433, -1
4,12345678,10, 635947234, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
5,12345678,10, 1292607922, 2,60,40.10351228713989, -1, 96, 134, -1, -1, 1899, -1
6,12345678,10, 652219685, 2,60,0.3171517848968506, -1, 95, 118, -1, -1, 21, -1
7,12345678,10, 303076636, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
8,12345678,10, 1284649347, 2,60,0.5086631774902344, -1, 106, 136, -1, -1, 46, -1
9,12345678,10, 586895850, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
10,12345678,10, 193230883, 2,60,13.029157161712646, -1, 99, 132, -1, -1, 480, -1
11,12345678,10, 785578675, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
12,12345678,10, 1714314189, 2,60,7.909177780151367, -1, 100, 128, -1, -1, 348, -1
13,12345678,10, 110648045, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
14,12345678,10, 828907496, 2,60,54.62050747871399, -1, 99, 132, -1, -1, 294, -1
15,12345678,10, 1336503386, 2,60,0.2044520378112793, -1, 83, 112, -1, -1, 14, -1
16,12345678,10, 161512239, 2,60,0.016954898834228516, 0.9803767204284668, 78, 99, 78, 99, 3, 817
17,12345678,10, 2060456983, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
18,12345678,10, 282114758, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
19,12345678,10, 998705147, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
20,12345678,10, 1467379336, 2,60,6.612269163131714, -1, 98, 128, -1, -1, 142, -1
21,12345678,10, 40372440, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
22,12345678,10, 1982985160, 2,60,22.75051236152649, -1, 91, 113, -1, -1, 1126, -1
23,12345678,10, 863522501, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
24,12345678,10, 1723683353, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
25,12345678,10, 1390215619, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
26,12345678,10, 2115158976, 2,60,1.1729066371917725, -1, 87, 114, -1, -1, 109, -1
27,12345678,10, 540286753, 2,60,1.10005521774292, -1, 100, 133, -1, -1, 44, -1
28,12345678,10, 820283048, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
29,12345678,10, 163745161, 2,60,49.78754281997681, -1, 121, 163, -1, -1, 152, -1
30,12345678,10, 1618682592, 2,60,-1, -1, -1, -1, -1, -1, -1, -1

Algorithm, Average Run Time, Success Rate, Average Cost, Ratio 
CCBS, 6.805556797981263, 46.666666666666664%, 96.21428571428571 to 125.85714285714286, 208.25331700064058
ODA-queue, 0.03267922401428223, 3.3333333333333335%, 78.0 to 99.0, 1.0
