Experiment Number,Map Seed,Number of Agents, Agents Seed, Uncertainty,Timeout,CBS Time,ODA Queue Time, CCBS Min Cost, CCBS Max Cost, ODA Min Cost, ODA Max Cost, CCBS nodes expanded, ODA nodes expanded
1,12345678,10, 1002330110, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
2,12345678,10, 472425119, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
3,12345678,10, 254400172, 2,60,9.054757595062256, -1, 94, 120, -1, -1, 641, -1
4,12345678,10, 635947234, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
5,12345678,10, 1292607922, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
6,12345678,10, 652219685, 2,60,0.6871638298034668, -1, 95, 118, -1, -1, 29, -1
7,12345678,10, 303076636, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
8,12345678,10, 1284649347, 2,60,0.8496954441070557, -1, 106, 136, -1, -1, 66, -1
9,12345678,10, 586895850, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
10,12345678,10, 193230883, 2,60,32.75240921974182, -1, 99, 134, -1, -1, 513, -1
11,12345678,10, 785578675, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
12,12345678,10, 1714314189, 2,60,6.698063611984253, -1, 100, 128, -1, -1, 263, -1
13,12345678,10, 110648045, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
14,12345678,10, 828907496, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
15,12345678,10, 1336503386, 2,60,0.21143484115600586, -1, 83, 112, -1, -1, 14, -1
16,12345678,10, 161512239, 2,60,0.014959573745727539, -1, 78, 99, -1, -1, 3, -1
17,12345678,10, 2060456983, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
18,12345678,10, 282114758, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
19,12345678,10, 998705147, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
20,12345678,10, 1467379336, 2,60,6.349043369293213, -1, 98, 130, -1, -1, 170, -1
21,12345678,10, 40372440, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
22,12345678,10, 1982985160, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
23,12345678,10, 863522501, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
24,12345678,10, 1723683353, 2,60,38.77568340301514, -1, 115, 146, -1, -1, 132, -1
25,12345678,10, 1390215619, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
26,12345678,10, 2115158976, 2,60,1.6664950847625732, -1, 87, 114, -1, -1, 176, -1
27,12345678,10, 540286753, 2,60,2.1592276096343994, -1, 100, 133, -1, -1, 73, -1
28,12345678,10, 820283048, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
29,12345678,10, 163745161, 2,60,21.256800889968872, -1, 121, 163, -1, -1, 164, -1
30,12345678,10, 1618682592, 2,60,-1, -1, -1, -1, -1, -1, -1, -1

Algorithm, Average Run Time, Success Rate, Average Cost, Ratio 
CCBS, 4.015857815742493, 40.0%, 98.0 to 127.75, -1
ODA-queue, 0.0, 0.0%, 0 to 0, -1
