Experiment Number,Map Seed,Number of Agents, Agents Seed, Uncertainty,Timeout,CBS Time,ODA Queue Time, CCBS Min Cost, CCBS Max Cost, ODA Min Cost, ODA Max Cost, CCBS nodes expanded, ODA nodes expanded
1,12345678,10, 1002330110, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
2,12345678,10, 472425119, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
3,12345678,10, 254400172, 2,60,10.840808629989624, -1, 94, 120, -1, -1, 735, -1
4,12345678,10, 635947234, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
5,12345678,10, 1292607922, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
6,12345678,10, 652219685, 2,60,0.5843861103057861, -1, 95, 118, -1, -1, 21, -1
7,12345678,10, 303076636, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
8,12345678,10, 1284649347, 2,60,0.7220931053161621, -1, 106, 136, -1, -1, 62, -1
9,12345678,10, 586895850, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
10,12345678,10, 193230883, 2,60,31.084205865859985, -1, 99, 134, -1, -1, 520, -1
11,12345678,10, 785578675, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
12,12345678,10, 1714314189, 2,60,6.064767599105835, -1, 100, 128, -1, -1, 279, -1
13,12345678,10, 110648045, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
14,12345678,10, 828907496, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
15,12345678,10, 1336503386, 2,60,0.20542621612548828, -1, 83, 112, -1, -1, 14, -1
16,12345678,10, 161512239, 2,60,0.022905349731445312, 0.981374979019165, 78, 99, 78, 99, 4, 817
17,12345678,10, 2060456983, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
18,12345678,10, 282114758, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
19,12345678,10, 998705147, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
20,12345678,10, 1467379336, 2,60,8.828333616256714, -1, 98, 130, -1, -1, 272, -1
21,12345678,10, 40372440, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
22,12345678,10, 1982985160, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
23,12345678,10, 863522501, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
24,12345678,10, 1723683353, 2,60,51.89422392845154, -1, 115, 146, -1, -1, 226, -1
25,12345678,10, 1390215619, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
26,12345678,10, 2115158976, 2,60,1.520932912826538, -1, 87, 114, -1, -1, 158, -1
27,12345678,10, 540286753, 2,60,2.114287853240967, -1, 100, 133, -1, -1, 71, -1
28,12345678,10, 820283048, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
29,12345678,10, 163745161, 2,60,15.891525030136108, -1, 121, 163, -1, -1, 175, -1
30,12345678,10, 1618682592, 2,60,-1, -1, -1, -1, -1, -1, -1, -1

Algorithm, Average Run Time, Success Rate, Average Cost, Ratio 
CCBS, 4.325796540578207, 40.0%, 98.0 to 127.75, 132.23680957002662
ODA-queue, 0.03271249930063883, 3.3333333333333335%, 78.0 to 99.0, 1.0
