Experiment Number,Map Seed,Number of Agents, Agents Seed, Uncertainty,Timeout,CBS Time,ODA Queue Time, CCBS Min Cost, CCBS Max Cost, ODA Min Cost, ODA Max Cost, CCBS nodes expanded, ODA nodes expanded
1,12345678,17,9.07209E+17,0,300,-1,-1,-1,-1,-1,-1,-1,-1
2,12345678,17,9.74212E+17,0,300,-1,-1,-1,-1,-1,-1,-1,-1
3,12345678,17,3.14245E+18,0,300,-1,-1,-1,-1,-1,-1,-1,-1
4,12345678,17,1.73046E+18,0,300,31.97796535,-1,2715,2715,-1,-1,32,-1
5,12345678,17,6.39206E+17,0,300,-1,-1,-1,-1,-1,-1,-1,-1
6,12345678,17,8.9003E+18,0,300,-1,-1,-1,-1,-1,-1,-1,-1
7,12345678,17,8.69669E+18,0,300,-1,-1,-1,-1,-1,-1,-1,-1
8,12345678,17,4.40152E+18,0,300,2.467400312,29.47778511,2753,2753,2753,2753,15,7252
9,12345678,17,2.53383E+18,0,300,26.73774099,-1,3080,3080,-1,-1,132,-1
10,12345678,17,5.28E+18,0,300,0.589123249,19.89775324,2125,2125,2125,2125,12,5698
11,12345678,17,7.94463E+18,0,300,-1,-1,-1,-1,-1,-1,-1,-1
12,12345678,17,2.96276E+18,0,300,0.558743954,43.44014931,2179,2179,2179,2179,8,10167
13,12345678,17,8.9795E+18,0,300,-1,-1,-1,-1,-1,-1,-1,-1
14,12345678,17,9.44744E+17,0,300,-1,-1,-1,-1,-1,-1,-1,-1
15,12345678,17,3.8077E+18,0,300,2.38430953,-1,2470,2470,-1,-1,52,-1
16,12345678,17,6.93266E+18,0,300,-1,-1,-1,-1,-1,-1,-1,-1
17,12345678,17,6.66132E+18,0,300,1.988985777,-1,3374,3374,-1,-1,35,-1
18,12345678,17,8.59918E+18,0,300,3.254878759,-1,2176,2176,-1,-1,38,-1
19,12345678,17,8.04962E+18,0,300,11.89069915,-1,2170,2170,-1,-1,11,-1
20,12345678,17,6.20474E+18,0,300,0.662271738,31.24192762,2230,2230,2230,2230,11,7743
21,12345678,17,7.40008E+18,0,300,-1,-1,-1,-1,-1,-1,-1,-1
22,12345678,17,7.59992E+17,0,300,-1,-1,-1,-1,-1,-1,-1,-1
23,12345678,17,1.27524E+18,0,300,-1,-1,-1,-1,-1,-1,-1,-1
24,12345678,17,3.22484E+18,0,300,0.61861968,-1,2271,2271,-1,-1,16,-1
25,12345678,17,1.78589E+18,0,300,44.62055182,-1,2448,2448,-1,-1,17,-1
26,12345678,17,4.49806E+17,0,300,-1,-1,-1,-1,-1,-1,-1,-1
27,12345678,17,1.84508E+18,0,300,0.797594309,-1,2448,2448,-1,-1,8,-1
28,12345678,17,6.06025E+18,0,300,1.863965511,29.59788322,3316,3316,3316,3316,21,7435
29,12345678,17,3.40852E+18,0,300,-1,-1,-1,-1,-1,-1,-1,-1
30,12345678,17,6.66374E+18,0,300,-1,-1,-1,-1,-1,-1,-1,-1
,,,,,,,,,,,,,
Algorithm, Average Run Time, Success Rate, Average Cost, Ratio ,,,,,,,,,
CCBS,4.347095005,46.67%, 1191.8333333333333 to 1191.8333333333333,1,,,,,,,,,
ODA-queue,5.12184995,16.67%, 420.1 to 420.1,1.178223606,,,,,,,,,
