Experiment Number,Map Seed,Number of Agents, Agents Seed, Uncertainty,Timeout,CBS Time,ODA Queue Time, CCBS Min Cost, CCBS Max Cost, ODA Min Cost, ODA Max Cost, CCBS nodes expanded, ODA nodes expanded
1,12345678,20, 6681900990573883388, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
2,12345678,20, 6615265346208712356, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
3,12345678,20, 680069181731889074, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
4,12345678,20, 300229110744221873, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
5,12345678,20, 3357515553523247230, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
6,12345678,20, 5463936933273884327, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
7,12345678,20, 4001084574639681185, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
8,12345678,20, 7465789333865689226, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
9,12345678,20, 8769837089404334946, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
10,12345678,20, 3896643068768172820, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
11,12345678,20, 1097185590846153713, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
12,12345678,20, 7164702719673677985, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
13,12345678,20, 1316169838299509510, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
14,12345678,20, 7012427374228684835, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
15,12345678,20, 2146490410977504678, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
16,12345678,20, 8881556254958299515, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
17,12345678,20, 658279700527952977, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
18,12345678,20, 2808265088141262628, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
19,12345678,20, 5341411487032288679, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
20,12345678,20, 7594978904202218679, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
21,12345678,20, 6373685963848272200, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
22,12345678,20, 8615151548626583375, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
23,12345678,20, 4393922995556239292, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
24,12345678,20, 6208002775168689555, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
25,12345678,20, 4339006965825926436, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
26,12345678,20, 2943609592884131903, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
27,12345678,20, 3469159276055500598, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
28,12345678,20, 4310809049547120069, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
29,12345678,20, 8734855329954217565, 2,60,-1, -1, -1, -1, -1, -1, -1, -1
30,12345678,20, 2509165665667151861, 2,60,-1, -1, -1, -1, -1, -1, -1, -1

Algorithm, Average Run Time, Success Rate, Average Cost, Ratio 
CCBS, 0.0, 0.0%, 0.0 to 0.0, -1
ODA-queue, 0.0, 0.0%, 0.0 to 0.0, -1
