Experiment Number,Map Seed,Number of Agents, Agents Seed, Uncertainty,Timeout,CBS Time,ODA Queue Time, CCBS Min Cost, CCBS Max Cost, ODA Min Cost, ODA Max Cost, CCBS nodes expanded, ODA nodes expanded
1,12345678,4, 1222917164, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
2,12345678,4, 1246316739, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
3,12345678,4, 735643012, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
4,12345678,4, 1511124695, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
5,12345678,4, 1591652737, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
6,12345678,4, 63404657, 1,60,0.8836371898651123, 56.44309711456299, 2540, 3336, 2540, 3336, 1, 3600
7,12345678,4, 1693238027, 1,60,0.5435690879821777, 35.43921661376953, 1446, 1865, 1446, 1865, 1, 2969
8,12345678,4, 923625937, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
9,12345678,4, 1410983398, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
10,12345678,4, 104072154, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
11,12345678,4, 1343778691, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
12,12345678,4, 1893724751, 1,60,0.3251330852508545, 15.899488925933838, 1105, 1441, 1105, 1441, 1, 2093
13,12345678,4, 469311109, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
14,12345678,4, 142517370, 1,60,0.7260849475860596, 47.40289878845215, 2321, 3073, 2321, 3073, 1, 3238
15,12345678,4, 1705521596, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
16,12345678,4, 591612731, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
17,12345678,4, 182482582, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
18,12345678,4, 1492413982, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
19,12345678,4, 1965787316, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
20,12345678,4, 844808017, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
21,12345678,4, 1925176182, 1,60,0.5415496826171875, 37.06389284133911, 1077, 1390, 1077, 1390, 1, 3474
22,12345678,4, 862755077, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
23,12345678,4, 2088736546, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
24,12345678,4, 1785050866, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
25,12345678,4, 1801307180, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
26,12345678,4, 913451745, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
27,12345678,4, 1285097643, 1,60,0.6861097812652588, 51.979039907455444, 1736, 2308, 1736, 2308, 1, 3547
28,12345678,4, 909325547, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
29,12345678,4, 2094340672, 1,60,-1, -1, -1, -1, -1, -1, -1, -1
30,12345678,4, 886882983, 1,60,-1, -1, -1, -1, -1, -1, -1, -1

Algorithm, Average Run Time, Success Rate, Average Cost, Ratio 
CCBS, 0.12353612581888834, 20.0%, 1704.1666666666667 to 2235.5, 1.0
ODA-queue, 8.140921139717102, 20.0%, 1704.1666666666667 to 2235.5, 65.8991132007183
