Experiment Number,Map Seed,Number of Agents, Agents Seed, Uncertainty,Timeout,CBS Time,ODA Queue Time, CCBS Min Cost, CCBS Max Cost, ODA Min Cost, ODA Max Cost, CCBS nodes expanded, ODA nodes expanded
1,12345678,7,1002330110,2,60,1.05,-1,74,102,-1,-1,69,-1
2,12345678,7,452855407,2,60,0.05,-1,72,88,-1,-1,11,-1
3,12345678,7,2083062039,2,60,-1.00,-1,-1,-1,-1,-1,-1,-1
4,12345678,7,431639286,2,60,1.09,-1,62,83,-1,-1,126,-1
5,12345678,7,2033546013,2,60,7.28,-1,66,93,-1,-1,521,-1
6,12345678,7,1107114736,2,60,0.94,-1,66,88,-1,-1,28,-1
7,12345678,7,1281795965,2,60,0.24,-1,62,76,-1,-1,27,-1
8,12345678,7,1723317954,2,60,0.01,0.487695694,42,58,42,58,4,492
9,12345678,7,855180210,2,60,0.04,-1,53,70,-1,-1,8,-1
10,12345678,7,1336203755,2,60,0.06,-1,62,81,-1,-1,8,-1
11,12345678,7,1904831321,2,60,11.27,-1,65,88,-1,-1,459,-1
12,12345678,7,1738822899,2,60,0.58,-1,78,97,-1,-1,81,-1
13,12345678,7,1140193347,2,60,0.01,0.170512676,62,83,62,83,3,270
14,12345678,7,903595584,2,60,2.64,-1,79,110,-1,-1,131,-1
15,12345678,7,1586606362,2,60,-1.00,-1,-1,-1,-1,-1,-1,-1
16,12345678,7,1970276717,2,60,0.00,0.069819689,77,102,77,102,1,74
17,12345678,7,809240428,2,60,0.15,-1,52,71,-1,-1,25,-1
18,12345678,7,1599120031,2,60,-1.00,-1,-1,-1,-1,-1,-1,-1
19,12345678,7,1848514469,2,60,19.12,-1,71,90,-1,-1,1491,-1
20,12345678,7,852754526,2,60,0.05,-1,57,75,-1,-1,7,-1
21,12345678,7,51861243,2,60,0.11,0.290224791,51,72,51,74,21,512
22,12345678,7,535895772,2,60,0.02,0.55449152,56,78,56,78,2,751
23,12345678,7,1028495910,2,60,0.00,0.080783844,61,85,61,85,1,73
24,12345678,7,132458668,2,60,0.03,0.073802471,66,89,66,89,5,73
25,12345678,7,1090792922,2,60,1.69,-1,69,88,-1,-1,227,-1
26,12345678,7,1600011710,2,60,0.04,-1,62,82,-1,-1,8,-1
27,12345678,7,178468776,2,60,0.06,-1,60,78,-1,-1,6,-1
28,12345678,7,155351933,2,60,0.03,0.160569668,55,75,55,75,6,278
29,12345678,7,721220667,2,60,-1.00,-1,-1,-1,-1,-1,-1,-1
30,12345678,7,6739578,2,60,0.12,-1,70,105,-1,-1,11,-1
,,,,,,,,,,,,3287,
Algorithm, Average Run Time, Success Rate, Average Cost, Ratio ,,,,,,,,26,
CCBS,1.556622664,86.67%, 63.46153846153846 to 84.88461538461539,24.73577584,,,,,,,,126.4230769,
ODA-queue,0.062930012,26.67%, 58.75 to 80.5,1,,,,,,,,,
