Algorithm,Map,Map Seed,Uncertainty,Number of Agents,Agent Seed,Runtime (secs),Success,Min SOC,Max SOC,CT Nodes,ODA* Nodes
CBS,Corridor Map,12345678, 0,10, 1222917164,-1,0,-,-,-,-
ODA*,Corridor Map,12345678, 0,10, 1222917164, -1,0,-,-,-,-
CBS,Corridor Map,12345678, 0,10, 748661012,0.5652551651000977,1, 2431, 2431, 4,-
ODA*,Corridor Map,12345678, 0,10, 748661012, 15.956625938415527,1, 2431, 2431,-, 5456
CBS,Corridor Map,12345678, 0,10, 1068973445,3.103533983230591,1, 4562, 4562, 9,-
ODA*,Corridor Map,12345678, 0,10, 1068973445, 58.525370359420776,1, 4562, 4562,-, 11134
CBS,Corridor Map,12345678, 0,10, 279095331,3.1917953491210938,1, 5047, 5047, 6,-
ODA*,Corridor Map,12345678, 0,10, 279095331, -1,0,-,-,-,-
CBS,Corridor Map,12345678, 0,10, 1569818418,-1,0,-,-,-,-
ODA*,Corridor Map,12345678, 0,10, 1569818418, -1,0,-,-,-,-
CBS,Corridor Map,12345678, 0,10, 1054689403,0.5735254287719727,1, 2807, 2807, 1,-
ODA*,Corridor Map,12345678, 0,10, 1054689403, -1,0,-,-,-,-
CBS,Corridor Map,12345678, 0,10, 130726734,2.0873682498931885,1, 2808, 2808, 3,-
ODA*,Corridor Map,12345678, 0,10, 130726734, -1,0,-,-,-,-
CBS,Corridor Map,12345678, 0,10, 153071975,27.657062768936157,1, 3833, 3833, 65,-
ODA*,Corridor Map,12345678, 0,10, 153071975, -1,0,-,-,-,-
CBS,Corridor Map,12345678, 0,10, 1306922557,4.2419657707214355,1, 3661, 3661, 7,-
ODA*,Corridor Map,12345678, 0,10, 1306922557, -1,0,-,-,-,-
CBS,Corridor Map,12345678, 0,10, 614775568,3.535224676132202,1, 3650, 3650, 5,-
ODA*,Corridor Map,12345678, 0,10, 614775568, -1,0,-,-,-,-
CBS,Corridor Map,12345678, 0,10, 867456317,13.346402406692505,1, 4384, 4384, 24,-
ODA*,Corridor Map,12345678, 0,10, 867456317, -1,0,-,-,-,-
CBS,Corridor Map,12345678, 0,10, 659433674,1.6247706413269043,1, 2544, 2544, 7,-
ODA*,Corridor Map,12345678, 0,10, 659433674, -1,0,-,-,-,-
