Algorithm,Map,Uncertainty,Number of Agents,Mutual Runtime (secs),Success Percent,Solo Runtime (secs),Min SOC,Max SOC,Nodes Expanded
CBS,Corridor Map,0,10,1.417737454,0.7,4.911061173,3721,3721,5.375
ODA*,Corridor Map,0,10,33.15200245,0.266666667,33.15200245,3721,3721,9064.875
CBS,Circular,0,10,3.900452228,0.9,5.515184517,1576.571429,1576.571429,13.04761905
ODA*,Circular,0,10,8.769603264,0.7,8.769603264,1576.571429,1576.571429,3989.238095
CBS,Open Map,0,10,0.025668731,1,0.032659523,52.26923077,52.26923077,16.69230769
ODA*,Open Map,0,10,4.287502766,0.866666667,4.287502766,52.26923077,52.26923077,4327.384615
CBS,Corridor Map,1,10,0,0,0,0,0,0
ODA*,Corridor Map,1,10,0,0,0,0,0,0
CBS,Circular,1,10,0,0,0,0,0,0
ODA*,Circular,1,10,0,0,0,0,0,0
CBS,Open Map,1,10,0.102309207,0.714285714,2.667441666,66.25,82.16666667,66.66666667
ODA*,Open Map,1,10,11.04340257,0.428571429,11.04340257,66.25,82,15199.08333
CBS,Corridor Map,2,10,0,0,0,0,0,0
ODA*,Corridor Map,2,10,0,0,0,0,0,0
CBS,Circular,2,10,0,0.033333333,1.147535086,0,0,0
ODA*,Circular,2,10,0,0,0,0,0,0
CBS,Open Map,2,10,1.167393744,0.666666667,41.822335,97,127.5,55
ODA*,Open Map,2,10,44.25672859,0.133333333,44.25672859,97,128,27506.5
CBS,Circular,4,10,0,0,0,0,0,0
ODA*,Circular,4,10,0,0,0,0,0,0
CBS,Open Map,4,10,0,0.310344828,9.857338932,0,0,0
ODA*,Open Map,4,10,0,0,0,0,0,0
CBS,Corridor Map,0,11,4.159946918,0.7,5.092255025,4433.375,4433.375,8.125
ODA*,Corridor Map,0,11,30.63041949,0.3,32.30726571,4433.375,4433.375,9568.125
CBS,Circular,0,11,0.928886819,0.933333333,5.465006377,1764.5,1764.5,8.45
ODA*,Circular,0,11,8.807720912,0.666666667,8.807720912,1764.5,1764.5,5758.05
CBS,Open Map,0,11,1.19786468,1,0.912906551,62.9047619,62.9047619,551.2380952
