Experiment Number,Map Seed,Number of Agents, Agents Seed, Uncertainty,Timeout,CBS Time,ODA Queue Time, CCBS Cost, ODA Cost,,,
1,12345678,10,1222917164,0,300,-1,-1, -1 to -1, -1 to -1,,1642.690991,1145.208311
2,12345678,10,748661012,0,300,0.442785025,13.85694766, 2431 to 2431, 2431 to 2431,,41,24
3,12345678,10,1068973445,0,300,2.902218103,46.267277, 4562 to 4562, 4562 to 4562,,,
4,12345678,10,279095331,0,300,2.977038383,63.19501877, 5047 to 5047, 5047 to 5047,,,
5,12345678,10,1569818418,0,300,-1,-1, -1 to -1, -1 to -1,,,
6,12345678,10,1054689403,0,300,0.544576406,50.55980706, 2807 to 2807, 2807 to 2807,,,
7,12345678,10,130726734,0,300,1.860993385,-1, 2808 to 2808, -1 to -1,,,
8,12345678,10,153071975,0,300,24.54932547,-1, 3833 to 3833, -1 to -1,,,
9,12345678,10,1306922557,0,300,3.934509516,-1, 3661 to 3661, -1 to -1,,,
10,12345678,10,614775568,0,300,3.209386349,-1, 3650 to 3650, -1 to -1,,,
11,12345678,10,867456317,0,300,12.27016425,-1, 4384 to 4384, -1 to -1,,,
12,12345678,10,659433674,0,300,1.346364975,-1, 2544 to 2544, -1 to -1,,,
13,12345678,10,362456440,0,300,1.678545713,32.77635813, 3951 to 3951, 3951 to 3951,,,
14,12345678,10,297959496,0,300,208.5653241,-1, 4472 to 4472, -1 to -1,,,
15,12345678,10,951245613,0,300,1.487057686,22.20459104, 4391 to 4391, 4391 to 4391,,,
16,12345678,10,1234560375,0,300,23.05833411,-1, 4324 to 4324, -1 to -1,,,
17,12345678,10,651012305,0,300,1.134970427,61.12156391, 3777 to 3777, 3777 to 3777,,,
18,12345678,10,1485135422,0,300,172.7929571,-1, 4976 to 4976, -1 to -1,,,
19,12345678,10,1375437991,0,300,1.374325991,29.57790995, 5583 to 5583, 5583 to 5583,,,
20,12345678,10,1548839381,0,300,1.248659849,55.66016722, 3333 to 3333, 3333 to 3333,,,
21,12345678,10,400624799,0,300,-1,-1, -1 to -1, -1 to -1,,,
22,12345678,10,1056488999,0,300,-1,-1, -1 to -1, -1 to -1,,,
23,12345678,10,936382561,0,300,91.0934484,-1, 5388 to 5388, -1 to -1,,,
24,12345678,10,1130379213,0,300,0.539559364,33.07256389, 2592 to 2592, 2592 to 2592,,,
25,12345678,10,59925829,0,300,0.648231745,14.34267926, 2872 to 2872, 2872 to 2872,,,
26,12345678,10,174900536,0,300,1.453080893,32.24178576, 3386 to 3386, 3386 to 3386,,,
27,12345678,10,519823646,0,300,3.856661558,-1, 4388 to 4388, -1 to -1,,,
28,12345678,10,1325667415,0,300,90.14890909,-1, 5364 to 5364, -1 to -1,,,
29,12345678,10,1079834085,0,300,3.940495729,-1, 2652 to 2652, -1 to -1,,,
30,12345678,10,247293001,0,300,163.6902711,-1, 4599 to 4599, -1 to -1,,,
31,12345678,10,433109019,0,300,0.957440376,108.7791605, 3805 to 3805, 3805 to 3805,,,
32,12345678,10,1740941349,0,300,1.240704298,36.2061305, 3550 to 3550, 3550 to 3550,,,
33,12345678,10,104033257,0,300,296.8243303,-1, 5024 to 5024, -1 to -1,,,
34,12345678,10,2087138819,0,300,1.391304731,70.44159174, 3281 to 3281, 3281 to 3281,,,
35,12345678,10,1124223262,0,300,2.682826996,80.51077056, 3095 to 3095, 3095 to 3095,,,
36,12345678,10,2026102293,0,300,1.760347605,46.18644261, 5166 to 5166, 5166 to 5166,,,
37,12345678,10,1241746594,0,300,-1,-1, -1 to -1, -1 to -1,,,
38,12345678,10,1309562450,0,300,-1,-1, -1 to -1, -1 to -1,,,
39,12345678,10,1501983309,0,300,0.961485386,49.58435822, 4364 to 4364, 4364 to 4364,,,
40,12345678,10,2055242552,0,300,264.309242,-1, 4885 to 4885, -1 to -1,,,
41,12345678,10,152785216,0,300,1.687464237,80.96051264, 4497 to 4497, 4497 to 4497,,,
42,12345678,10,1452570828,0,300,23.51515365,51.203053, 3771 to 3771, 3771 to 3771,,,
43,12345678,10,1830126351,0,300,2.344788313,46.27121401, 4924 to 4924, 4924 to 4924,,,
44,12345678,10,1308440325,0,300,216.9253435,78.53599358, 5358 to 5358, 5358 to 5358,,,
45,12345678,10,786032504,0,300,-1,-1, -1 to -1, -1 to -1,,,
46,12345678,10,408260050,0,300,1.88792634,26.214957, 3698 to 3698, 3698 to 3698,,,
47,12345678,10,2067740549,0,300,-1,-1, -1 to -1, -1 to -1,,,
48,12345678,10,1055575664,0,300,5.004673004,-1, 4156 to 4156, -1 to -1,,,
49,12345678,10,1222917164,0,300,-1,-1, -1 to -1, -1 to -1,,,
50,12345678,10,748661012,0,300,0.449765444,15.43745732, 2431 to 2431, 2431 to 2431,,,
,,,,,,,,,,,,
Algorithm, Average Run Time, Success Rate, Average Cost, Ratio ,,,,,,,,
CCBS,40.06563392,82.00%,,1,,,,,,,,
ODA-queue,47.71701297,48.00%,,1.190971122,,,,,,,,
