Experiment Number,Map Seed,Number of Agents, Agents Seed, Uncertainty,Timeout,CBS Time,ODA Queue Time, CCBS Cost, ODA Cost
1,12345678,10, 1670793853, 0,300,0.40353965759277344, 8.307799100875854, 1230 to 1230, 1230 to 1230
2,12345678,10, 1956026912, 0,300,0.715933084487915, -1, 1165 to 1165, -1 to -1
3,12345678,10, 1102971010, 0,300,0.3577697277069092, 10.752822399139404, 1480 to 1480, 1480 to 1480
4,12345678,10, 1424150033, 0,300,5.011228084564209, 7.368952751159668, 1235 to 1235, 1235 to 1235
5,12345678,10, 726632933, 0,300,0.13068580627441406, 5.186014890670776, 1000 to 1000, 1000 to 1000
6,12345678,10, 1569386021, 0,300,0.6937181949615479, 7.241145133972168, 1854 to 1854, 1854 to 1854
7,12345678,10, 1179829394, 0,300,0.48256659507751465, 9.498881101608276, 1640 to 1640, 1640 to 1640
8,12345678,10, 2129729487, 0,300,-1, -1, -1 to -1, -1 to -1
9,12345678,10, 1660011740, 0,300,10.763460636138916, -1, 2124 to 2124, -1 to -1
10,12345678,10, 650546657, 0,300,42.445231199264526, -1, 1337 to 1337, -1 to -1
11,12345678,10, 402030349, 0,300,0.5176529884338379, 10.149348974227905, 1483 to 1483, 1483 to 1483
12,12345678,10, 1406534404, 0,300,4.8388450145721436, 15.286456108093262, 1223 to 1223, 1223 to 1223
13,12345678,10, 1413492760, 0,300,10.971407175064087, -1, 1530 to 1530, -1 to -1
14,12345678,10, 1461542114, 0,300,1.271453857421875, -1, 1971 to 1971, -1 to -1
15,12345678,10, 1596527034, 0,300,0.6523046493530273, 5.716063022613525, 1584 to 1584, 1584 to 1584
16,12345678,10, 794634814, 0,300,0.4687314033508301, 9.52508807182312, 2022 to 2022, 2022 to 2022
17,12345678,10, 1759467773, 0,300,-1, -1, -1 to -1, -1 to -1
18,12345678,10, 819667323, 0,300,0.5897367000579834, 9.792811393737793, 1544 to 1544, 1544 to 1544
19,12345678,10, 1591383704, 0,300,0.19161462783813477, 5.977230787277222, 1400 to 1400, 1400 to 1400
20,12345678,10, 1620799143, 0,300,21.921523571014404, 4.983656644821167, 2569 to 2569, 2569 to 2569
21,12345678,10, 1000421136, 0,300,0.6622507572174072, 12.425029754638672, 1810 to 1810, 1810 to 1810
22,12345678,10, 1259493612, 0,300,0.9948291778564453, 6.864540100097656, 2108 to 2108, 2108 to 2108
23,12345678,10, 487199804, 0,300,0.4059717655181885, 8.295352697372437, 1354 to 1354, 1354 to 1354
24,12345678,10, 187657928, 0,300,2.8994314670562744, 8.280213356018066, 1626 to 1626, 1626 to 1626
25,12345678,10, 1091243524, 0,300,0.48142480850219727, 8.756145477294922, 1532 to 1532, 1532 to 1532
26,12345678,10, 1190429040, 0,300,0.6357762813568115, 10.274588346481323, 1720 to 1720, 1720 to 1720
27,12345678,10, 1538571061, 0,300,0.25533056259155273, 71.41455864906311, 1078 to 1078, 1078 to 1078
28,12345678,10, 1904673722, 0,300,33.61542463302612, 13.752354145050049, 1038 to 1038, 1038 to 1038
29,12345678,10, 1258829452, 0,300,213.73079776763916, -1, 1333 to 1333, -1 to -1
30,12345678,10, 516519009, 0,300,7.661072015762329, 12.423460483551025, 1656 to 1656, 1656 to 1656
31,12345678,10, 141556810, 0,300,0.23797011375427246, 11.89807915687561, 1169 to 1169, 1169 to 1169
32,12345678,10, 1948369472, 0,300,0.4756934642791748, 7.522084951400757, 1544 to 1544, 1544 to 1544
33,12345678,10, 1230666008, 0,300,0.3342723846435547, 6.4618079662323, 1218 to 1218, 1218 to 1218
34,12345678,10, 2078531746, 0,300,0.47179460525512695, 15.827343940734863, 1450 to 1450, 1450 to 1450
35,12345678,10, 1775323820, 0,300,-1, -1, -1 to -1, -1 to -1
36,12345678,10, 711019213, 0,300,0.24628686904907227, 7.376127243041992, 1298 to 1298, 1298 to 1298
37,12345678,10, 580781573, 0,300,10.88375449180603, -1, 1566 to 1566, -1 to -1
38,12345678,10, 1293155378, 0,300,0.3052244186401367, 6.875271558761597, 1358 to 1358, 1358 to 1358
39,12345678,10, 2012601475, 0,300,0.14319157600402832, 11.101409435272217, 1332 to 1332, 1332 to 1332
40,12345678,10, 800091943, 0,300,0.571387767791748, 17.018197536468506, 1318 to 1318, 1318 to 1318
41,12345678,10, 301107513, 0,300,1.1274323463439941, 14.052965641021729, 1956 to 1956, 1956 to 1956
42,12345678,10, 1358839069, 0,300,0.14012384414672852, 10.407679319381714, 1265 to 1265, 1265 to 1265
43,12345678,10, 762420288, 0,300,0.4187741279602051, 12.790162324905396, 1800 to 1800, 1800 to 1800
44,12345678,10, 1009084393, 0,300,0.7974643707275391, 12.92463231086731, 1523 to 1523, 1523 to 1523
45,12345678,10, 380535207, 0,300,0.19148564338684082, -1, 926 to 926, -1 to -1
46,12345678,10, 2035952746, 0,300,0.5551600456237793, 10.765968084335327, 1504 to 1504, 1504 to 1504
47,12345678,10, 470161588, 0,300,1.765472173690796, 10.853129625320435, 1682 to 1682, 1682 to 1682
48,12345678,10, 1306357024, 0,300,0.30274391174316406, 14.289793252944946, 1064 to 1064, 1064 to 1064
49,12345678,10, 1654953164, 0,300,0.14917492866516113, 10.840118408203125, 1594 to 1594, 1594 to 1594
50,12345678,10, 589463028, 0,300,35.22662615776062, 12.886676788330078, 1331 to 1331, 1331 to 1331

Algorithm, Average Run Time, Success Rate, Average Cost, Ratio 
CCBS, 8.36227490901947, 94.0%, 1410.88 to 1410.88, 1.0
ODA-queue, 9.123279218673707, 78.0%, 1171.84 to 1171.84, 1.0910044596636526
