Experiment Number,Map Seed,Number of Agents, Agents Seed, Uncertainty,Timeout,CBS Time,ODA Queue Time
1,12345678,15, 1222917164, 0,60,-1, -1
2,12345678,15, 616435547, 0,60,-1, -1
3,12345678,15, 468372278, 0,60,16.292460203170776, -1
4,12345678,15, 1407956501, 0,60,-1, -1
5,12345678,15, 1606074840, 0,60,14.433407068252563, -1
6,12345678,15, 1440916495, 0,60,-1, -1
7,12345678,15, 686332080, 0,60,5.685781717300415, -1
8,12345678,15, 1248391251, 0,60,-1, -1
9,12345678,15, 1002872022, 0,60,-1, -1
10,12345678,15, 365853073, 0,60,-1, -1
11,12345678,15, 141406369, 0,60,-1, -1
12,12345678,15, 2119993683, 0,60,-1, -1
13,12345678,15, 1716940144, 0,60,1.5747873783111572, -1
14,12345678,15, 1371945353, 0,60,-1, -1
15,12345678,15, 1638436116, 0,60,40.7221360206604, -1
16,12345678,15, 1939277621, 0,60,1.244673490524292, -1
17,12345678,15, 826719876, 0,60,-1, -1
18,12345678,15, 1615758576, 0,60,-1, -1
19,12345678,15, 1604747485, 0,60,-1, -1
20,12345678,15, 700346617, 0,60,1.9846935272216797, -1
21,12345678,15, 394455868, 0,60,4.534873008728027, -1
22,12345678,15, 1422827693, 0,60,-1, -1
23,12345678,15, 943386269, 0,60,-1, -1
24,12345678,15, 487525308, 0,60,-1, -1
25,12345678,15, 1226706576, 0,60,-1, -1
26,12345678,15, 92436215, 0,60,-1, -1
27,12345678,15, 2034809170, 0,60,-1, -1
28,12345678,15, 612600402, 0,60,-1, -1
29,12345678,15, 2128193633, 0,60,4.35532021522522, -1
30,12345678,15, 2105484543, 0,60,2.965127944946289, -1
31,12345678,15, 411496040, 0,60,2.825479507446289, -1
32,12345678,15, 132456204, 0,60,-1, -1
33,12345678,15, 1798140083, 0,60,-1, -1
34,12345678,15, 1470710049, 0,60,-1, -1
35,12345678,15, 1945157043, 0,60,-1, -1
36,12345678,15, 253507716, 0,60,-1, -1
37,12345678,15, 392100096, 0,60,-1, -1
38,12345678,15, 1538988169, 0,60,-1, -1
39,12345678,15, 813772729, 0,60,13.46399998664856, -1
40,12345678,15, 838206214, 0,60,-1, -1
41,12345678,15, 1799141030, 0,60,-1, -1
42,12345678,15, 1175511974, 0,60,-1, -1
43,12345678,15, 1440406722, 0,60,-1, -1
44,12345678,15, 329161839, 0,60,-1, -1
45,12345678,15, 946341879, 0,60,-1, -1
46,12345678,15, 1920218417, 0,60,5.814453363418579, -1
47,12345678,15, 404394647, 0,60,-1, -1
48,12345678,15, 532769418, 0,60,-1, -1
49,12345678,15, 1738632083, 0,60,43.76500630378723, -1
50,12345678,15, 1292627313, 0,60,34.496782064437866, -1

Algorithm, Average Run Time, Success Rate, Average Cost, Ratio 
CCBS, 3.883179636001587, 30.0%, 1696.56 to 1696.56, -1
ODA-queue, 0.0, 0.0%, 0.0 to 0.0, -1
