Experiment Number,Map Seed,Number of Agents, Agents Seed, Uncertainty,Timeout,CBS Time,ODA Queue Time
1,12345678,15, 1670793853, 0,60,0.5434718132019043, 22.30435872077942
2,12345678,15, 1166523111, 0,60,-1, -1
3,12345678,15, 1683910022, 0,60,40.33617687225342, -1
4,12345678,15, 399246904, 0,60,-1, -1
5,12345678,15, 794346369, 0,60,-1, -1
6,12345678,15, 1156475424, 0,60,-1, -1
7,12345678,15, 1841642366, 0,60,-1, 29.398388385772705
8,12345678,15, 1728143487, 0,60,-1, -1
9,12345678,15, 36633137, 0,60,1.0173168182373047, -1
10,12345678,15, 372861897, 0,60,0.25232434272766113, 17.203995943069458
11,12345678,15, 219156259, 0,60,16.491901636123657, -1
12,12345678,15, 1539786442, 0,60,2.9142098426818848, -1
13,12345678,15, 401322480, 0,60,-1, -1
14,12345678,15, 619857480, 0,60,-1, -1
15,12345678,15, 787883868, 0,60,-1, -1
16,12345678,15, 621082378, 0,60,0.3590412139892578, 10.422140121459961
17,12345678,15, 2132054380, 0,60,32.172969818115234, -1
18,12345678,15, 362359506, 0,60,16.547751903533936, 31.7750346660614
19,12345678,15, 1575772192, 0,60,-1, -1
20,12345678,15, 1088170037, 0,60,5.091385841369629, 59.078025341033936
21,12345678,15, 258576033, 0,60,1.504974126815796, -1
22,12345678,15, 1430473048, 0,60,3.06184720993042, 41.67552590370178
23,12345678,15, 1787223946, 0,60,43.77793860435486, -1
24,12345678,15, 2041742689, 0,60,-1, -1
25,12345678,15, 2066265694, 0,60,-1, -1
26,12345678,15, 216969312, 0,60,36.36073708534241, 39.50735950469971
27,12345678,15, 1457987398, 0,60,55.21735072135925, -1
28,12345678,15, 108534766, 0,60,0.6791837215423584, -1
29,12345678,15, 1008565585, 0,60,24.560327529907227, 34.80892038345337
30,12345678,15, 908431633, 0,60,26.619816780090332, -1
31,12345678,15, 512794519, 0,60,-1, -1
32,12345678,15, 211181305, 0,60,37.555575132369995, -1
33,12345678,15, 133938489, 0,60,0.8058459758758545, 23.02842354774475
34,12345678,15, 433285033, 0,60,-1, -1
35,12345678,15, 348019326, 0,60,-1, -1
36,12345678,15, 187866250, 0,60,0.8706462383270264, 20.218936443328857
37,12345678,15, 1725076861, 0,60,0.5415520668029785, 42.5033483505249
38,12345678,15, 54609567, 0,60,1.1658811569213867, -1
39,12345678,15, 1637134021, 0,60,12.893523216247559, 19.837953567504883
40,12345678,15, 1396590298, 0,60,3.7500061988830566, 39.14629125595093
41,12345678,15, 1289735173, 0,60,1.3224618434906006, 23.889122247695923
42,12345678,15, 569584566, 0,60,25.975485801696777, -1
43,12345678,15, 363898278, 0,60,-1, -1
44,12345678,15, 497571085, 0,60,1.4920125007629395, 23.7774178981781
45,12345678,15, 1718147383, 0,60,12.921447992324829, 29.514081716537476
46,12345678,15, 43244909, 0,60,21.22624135017395, -1
47,12345678,15, 64422082, 0,60,1.1758551597595215, 31.34618091583252
48,12345678,15, 868754054, 0,60,1.2915465831756592, -1
49,12345678,15, 1177529307, 0,60,2.084456205368042, 19.945635557174683
50,12345678,15, 1111222657, 0,60,35.61381530761719, -1

Algorithm, Average Run Time, Success Rate, Average Cost, Ratio 
CCBS, 9.363901572227478, 68.0%, 1491.68 to 1491.68, 1.0
ODA-queue, 11.187622809410096, 38.0%, 824.76 to 824.76, 1.1947608294593375
