Experiment Number,Map Seed,Number of Agents, Agents Seed, Uncertainty,Timeout,CBS Time,ODA Queue Time
1,12345678,2, 266520142, 0,300,0.0009965896606445312, 0.0009984970092773438
2,12345678,2, 2143958000, 0,300,0.0, 0.0009970664978027344
3,12345678,2, 962516356, 0,300,0.0, 0.0009987354278564453
4,12345678,2, 1941505618, 0,300,0.0009968280792236328, 0.0019953250885009766
5,12345678,2, 185042423, 0,300,0.0019915103912353516, 0.0009965896606445312
6,12345678,2, 629522215, 0,300,0.0, 0.001993417739868164
7,12345678,2, 994273995, 0,300,0.0, 0.0020072460174560547
8,12345678,2, 1438949021, 0,300,0.0009646415710449219, 0.0009968280792236328
9,12345678,2, 1928679399, 0,300,0.0009963512420654297, 0.0010008811950683594
10,12345678,2, 76994015, 0,300,0.0, 0.0
11,12345678,2, 1722396953, 0,300,0.0009989738464355469, 0.0
12,12345678,2, 1079816740, 0,300,0.0009942054748535156, 0.0009987354278564453
13,12345678,2, 293837250, 0,300,0.0, 0.0009968280792236328
14,12345678,2, 1409182841, 0,300,0.001001119613647461, 0.0009918212890625
15,12345678,2, 588840330, 0,300,0.000997304916381836, 0.0009992122650146484
16,12345678,2, 729466455, 0,300,0.0009629726409912109, 0.0009968280792236328
17,12345678,2, 762661663, 0,300,0.0009970664978027344, 0.0009968280792236328
18,12345678,2, 378966013, 0,300,0.0009970664978027344, 0.0009968280792236328
19,12345678,2, 2014132524, 0,300,0.0, 0.0009965896606445312
20,12345678,2, 1122875773, 0,300,0.0010323524475097656, 0.0009965896606445312
21,12345678,2, 668803729, 0,300,0.0009942054748535156, 0.0
22,12345678,2, 491322786, 0,300,0.0009968280792236328, 0.0009605884552001953
23,12345678,2, 1711068518, 0,300,0.0, 0.001991748809814453
24,12345678,2, 1672179890, 0,300,0.0009968280792236328, 0.001995086669921875
25,12345678,2, 1331137613, 0,300,0.0, 0.0
26,12345678,2, 731743015, 0,300,0.0009970664978027344, 0.0009975433349609375
27,12345678,2, 412241680, 0,300,0.0, 0.001992940902709961
28,12345678,2, 2029031526, 0,300,0.001993417739868164, 0.0009961128234863281
29,12345678,2, 1249814990, 0,300,0.0, 0.001995086669921875
30,12345678,2, 1485519415, 0,300,0.0009968280792236328, 0.0019953250885009766
31,12345678,2, 427385005, 0,300,0.0009953975677490234, 0.0
32,12345678,2, 1550470244, 0,300,0.0, 0.001993894577026367
33,12345678,2, 47770230, 0,300,0.000982046127319336, 0.0009970664978027344
34,12345678,2, 788895567, 0,300,0.0010008811950683594, 0.0
35,12345678,2, 922810335, 0,300,0.0009965896606445312, 0.000997781753540039
36,12345678,2, 1292854725, 0,300,0.0009989738464355469, 0.0009925365447998047
37,12345678,2, 911334462, 0,300,0.0, 0.0009965896606445312
38,12345678,2, 442807936, 0,300,0.0009982585906982422, 0.00102996826171875
39,12345678,2, 1947965392, 0,300,0.0, 0.0019588470458984375
40,12345678,2, 1525853910, 0,300,0.0009970664978027344, 0.001972198486328125
41,12345678,2, 629792346, 0,300,0.0029921531677246094, 0.0019981861114501953
42,12345678,2, 1962256594, 0,300,0.0009942054748535156, 0.0009970664978027344
43,12345678,2, 194070107, 0,300,0.0009953975677490234, 0.0010030269622802734
44,12345678,2, 1707489630, 0,300,0.0010013580322265625, 0.0020051002502441406
45,12345678,2, 2051549726, 0,300,0.0009968280792236328, 0.0009968280792236328
46,12345678,2, 1756008432, 0,300,0.0, 0.0009984970092773438
47,12345678,2, 398228508, 0,300,0.0, 0.0009613037109375
48,12345678,2, 827171116, 0,300,0.0, 0.0009949207305908203
49,12345678,2, 1909521577, 0,300,0.000997304916381836, 0.0009965896606445312
50,12345678,2, 427498138, 0,300,0.0, 0.001993894577026367

Algorithm, Average Run Time, Success Rate, Average Cost, Ratio 
CCBS, 0.0007169723510742187, 100.0%, 10.54 to 10.54, 1.0
ODA-queue, 0.0011552715301513673, 100.0%, 10.54 to 10.54, 1.6113194998669862
