Experiment Number,Map Seed,Number of Agents, Agents Seed, Uncertainty,Timeout,CBS Time,ODA Queue Time, CCBS Min Cost, CCBS Max Cost, ODA Min Cost, ODA Max Cost, CCBS nodes expanded, ODA nodes expanded
1,12345678,4,1222917164,0,300,0.757003069,4.203587532,2029,2029,2029,2029,3,3791
2,12345678,4,1246316739,0,300,0.135644674,2.567784548,1565,1565,1565,1565,1,2885
3,12345678,4,735643012,0,300,0.768952131,106.4572744,1838,1838,1838,1838,3,388275
4,12345678,4,1511124695,0,300,0.318148136,3.1606462,1668,1668,1668,1668,2,3245
5,12345678,4,1591652737,0,300,2.243574858,-2,2160,2160,-1,-1,5,-1
6,12345678,4,63404657,0,300,0.195961237,3.561335087,1971,1971,1971,1971,1,3427
7,12345678,4,1693238027,0,300,0.154719353,4.241931915,1098,1098,1098,1098,1,3004
8,12345678,4,923625937,0,300,0.776499748,6.342633247,1486,1486,1486,1486,3,3818
9,12345678,4,1410983398,0,300,0.109706402,1.167084932,1524,1524,1524,1524,1,2280
10,12345678,4,104072154,0,300,0.127653599,2.235658407,1349,1349,1349,1349,1,2724
11,12345678,4,1343778691,0,300,0.297711611,5.315618992,2850,2850,2850,2850,1,4360
12,12345678,4,1893724751,0,300,0.093790054,2.463504314,866,866,866,866,1,2248
13,12345678,4,469311109,0,300,0.22243309,5.724135399,1812,1812,1812,1812,1,4023
14,12345678,4,142517370,0,300,0.158143997,2.720057011,1831,1831,1831,1831,1,3243
15,12345678,4,1705521596,0,300,0.257922888,9.234938622,1313,1313,1313,1313,1,4287
16,12345678,4,591612731,0,300,0.224033356,4.638732433,1977,1977,1977,1977,1,4085
17,12345678,4,182482582,0,300,-1,23.03617954,-1,-1,2043,2043,-1,73752
18,12345678,4,1492413982,0,300,0.186512232,3.8858006,1633,1633,1633,1633,1,3540
19,12345678,4,1965787316,0,300,0.207444668,3.639000416,1771,1771,1771,1771,1,3775
20,12345678,4,844808017,0,300,0.239326954,3.186135292,2781,2781,2781,2781,1,4149
21,12345678,4,1925176182,0,300,0.211033344,7.421776772,839,839,839,839,1,3623
22,12345678,4,862755077,0,300,0.284328699,6.391445637,2011,2011,2011,2011,1,4396
23,12345678,4,2088736546,0,300,0.1444664,1.265654087,1808,1808,1808,1808,1,2763
24,12345678,4,1785050866,0,300,0.27677393,1.332372665,1345,1345,1345,1345,2,2462
25,12345678,4,1801307180,0,300,0.175529957,2.49101305,1662,1662,1662,1662,1,2852
26,12345678,4,913451745,0,300,0.285235167,3.850986242,1015,1015,1015,1015,2,3179
27,12345678,4,1285097643,0,300,0.197230101,4.929968119,1384,1384,1384,1384,1,3397
28,12345678,4,909325547,0,300,0.187009096,0.717621565,1699,1699,1699,1699,2,2211
29,12345678,4,2094340672,0,300,1.460697889,-2,2083,2083,-1,-1,3,-1
30,12345678,4,886882983,0,300,1.283662081,-2,2042,2042,-1,-1,4,-1
31,12345678,4,550584471,0,300,0.917149067,6.241286278,2069,2069,2069,2069,3,4509
32,12345678,4,646513875,0,300,0.055881023,0.745038748,736,736,736,736,1,1419
33,12345678,4,1415109702,0,300,0.258274555,1.12959671,1610,1610,1610,1610,2,2266
34,12345678,4,1668885475,0,300,0.20149374,5.818614483,1400,1400,1400,1400,1,3770
35,12345678,4,347936383,0,300,0.506643057,0.63188839,1816,1816,1816,1816,5,2149
36,12345678,4,2045123076,0,300,0.202425241,7.13110733,1194,1194,1194,1194,1,3858
37,12345678,4,1444104925,0,300,0.104688168,2.488717794,994,994,994,994,1,2440
38,12345678,4,604452846,0,300,2.718791723,-2,2827,2827,-1,-1,7,-1
39,12345678,4,1645497124,0,300,0.118151903,2.153898954,946,946,946,946,1,2576
40,12345678,4,882835809,0,300,0.13760066,1.271695852,2104,2104,2104,2104,1,2893
41,12345678,4,1039121952,0,300,0.341088772,4.166894913,1827,1827,1827,1827,2,3372
42,12345678,4,1801267025,0,300,0.170543194,3.339855194,1353,1353,1353,1353,1,2738
43,12345678,4,467311697,0,300,0.292218924,7.350609064,1629,1629,1629,1629,1,4017
44,12345678,4,603493560,0,300,0.114659309,1.85176158,1277,1277,1277,1277,1,2250
45,12345678,4,1900806704,0,300,0.231786489,5.928663731,1649,1649,1649,1649,1,4006
46,12345678,4,1301856989,0,300,0.63934207,5.633111477,2364,2364,2364,2364,2,4879
47,12345678,4,1633851784,0,300,0.215394735,0.938616991,1456,1456,1456,1456,2,2260
48,12345678,4,354218551,0,300,0.134642124,2.529477119,1222,1222,1222,1222,1,2698
49,12345678,4,217645256,0,300,0.685435295,2.948879004,2149,2149,2149,2149,4,5485
50,12345678,4,637529613,0,300,0.132643938,1.648291349,1444,1444,1444,1444,1,2543
,,,,,,,,,,,,,
Algorithm, Average Run Time, Success Rate, Average Cost, Ratio ,,,,,,,,,
CCBS,0.403200054,98.00%, 1629.52 to 1629.52,1,,,,,,,,,
ODA-queue,5.80261764,92.00%, 1488.14 to 1488.14,14.39141087,,,,,,,,,
