Experiment Number,Map Seed,Number of Agents, Agents Seed, Uncertainty,Timeout,CBS Time,ODA Serial Time,ODA Queue Time
1,12345678,4, 266520142, 0,5,0.0019969940185546875,0.0059816837310791016, 0.006983518600463867
2,12345678,4, 2063731658, 0,5,0.008972644805908203,0.022096633911132812, 0.02593088150024414
3,12345678,4, 923845208, 0,5,0.005983829498291016,0.016954421997070312, 0.01791691780090332
4,12345678,4, 1129643810, 0,5,0.000997304916381836,0.007979631423950195, 0.008975982666015625
5,12345678,4, 1040418256, 0,5,0.0011072158813476562,0.0069849491119384766, 0.005873918533325195
6,12345678,4, 476172785, 0,5,0.001008749008178711,0.0069811344146728516, 0.0069696903228759766
7,12345678,4, 181018846, 0,5,0.0,0.0019943714141845703, 0.002991914749145508
8,12345678,4, 1547700381, 0,5,0.0010006427764892578,0.007977962493896484, 0.006981611251831055
9,12345678,4, 1418853338, 0,5,0.0009970664978027344,0.006979465484619141, 0.00897836685180664
10,12345678,4, 1437731272, 0,5,0.0010013580322265625,0.006018638610839844, 0.006943941116333008
11,12345678,4, 729633334, 0,5,0.0018820762634277344,0.007146596908569336, 0.00896143913269043
12,12345678,4, 1862701835, 0,5,0.0,0.0029926300048828125, 0.0019974708557128906
13,12345678,4, 1940492559, 0,5,0.010833740234375,0.025437593460083008, 0.02443671226501465
14,12345678,4, 732041901, 0,5,0.0010001659393310547,0.003991365432739258, 0.00398707389831543
15,12345678,4, 567884738, 0,5,0.0019905567169189453,0.00797891616821289, 0.007979631423950195
16,12345678,4, 784285683, 0,5,0.0009996891021728516,0.003989458084106445, 0.004984617233276367
17,12345678,4, 107162369, 0,5,0.001131296157836914,0.003987312316894531, 0.003407716751098633
18,12345678,4, 1011375628, 0,5,0.00099945068359375,0.009971857070922852, 0.009972333908081055
19,12345678,4, 1704167340, 0,5,0.0009999275207519531,0.004820108413696289, 0.004119157791137695
20,12345678,4, 906243277, 0,5,0.0010082721710205078,0.005984306335449219, 0.006980180740356445
21,12345678,4, 1195888909, 0,5,0.0009975433349609375,0.006942272186279297, 0.006984710693359375
22,12345678,4, 2024885912, 0,5,0.0029926300048828125,0.015996217727661133, 0.013961076736450195
23,12345678,4, 1042414496, 0,5,0.0,0.004050731658935547, 0.00399017333984375
24,12345678,4, 1774676627, 0,5,0.0019953250885009766,0.005948066711425781, 0.004987001419067383
25,12345678,4, 333696400, 0,5,0.004873991012573242,0.00998377799987793, 0.010959625244140625
26,12345678,4, 1625728263, 0,5,0.0029921531677246094,0.00598454475402832, 0.005984306335449219
27,12345678,4, 1537709391, 0,5,0.001031637191772461,0.003987312316894531, 0.004989147186279297
28,12345678,4, 1298643626, 0,5,0.005984783172607422,0.021927356719970703, 0.019950151443481445
29,12345678,4, 493207919, 0,5,0.0040132999420166016,0.0324711799621582, 0.03187918663024902
30,12345678,4, 803269177, 0,5,0.001995563507080078,0.008975982666015625, 0.007977485656738281
31,12345678,4, 1973268730, 0,5,0.01894974708557129,0.019946813583374023, 0.01994633674621582
32,12345678,4, 874175819, 0,5,0.0009975433349609375,0.006981372833251953, 0.0069811344146728516
33,12345678,4, 1574324854, 0,5,0.0009975433349609375,0.007978677749633789, 0.008975982666015625
34,12345678,4, 1390033298, 0,5,0.000997304916381836,0.007007122039794922, 0.0069811344146728516
35,12345678,4, 751980693, 0,5,0.0009992122650146484,0.005984067916870117, 0.006978511810302734
36,12345678,4, 588223652, 0,5,0.0009946823120117188,0.008975982666015625, 0.009937047958374023
37,12345678,4, 324560342, 0,5,0.004986763000488281,0.04890155792236328, 0.05784487724304199
38,12345678,4, 1047530559, 0,5,0.0005035400390625,0.009975910186767578, 0.009974479675292969
39,12345678,4, 1737242069, 0,5,0.0009965896606445312,0.00598454475402832, 0.00699162483215332
40,12345678,4, 1851979767, 0,5,0.0009965896606445312,0.007976531982421875, 0.006983041763305664
41,12345678,4, 1692404034, 0,5,0.000997304916381836,0.0039899349212646484, 0.0019948482513427734
42,12345678,4, 1467224568, 0,5,1.2801432609558105,0.21642351150512695, 0.2253882884979248
43,12345678,4, 1985836643, 0,5,0.000997781753540039,0.004986286163330078, 0.005983829498291016
44,12345678,4, 2022665269, 0,5,0.04386711120605469,0.0957498550415039, 0.10174822807312012
45,12345678,4, 996154822, 0,5,0.0020265579223632812,0.006960630416870117, 0.005984783172607422
46,12345678,4, 1156164490, 0,5,0.0009968280792236328,0.00798487663269043, 0.00898432731628418
47,12345678,4, 393892083, 0,5,0.0,0.0029926300048828125, 0.004043102264404297
48,12345678,4, 987264490, 0,5,0.0019953250885009766,0.007976531982421875, 0.007979154586791992
49,12345678,4, 1732241913, 0,5,0.0029904842376708984,0.0040128231048583984, 0.0049440860748291016
50,12345678,4, 1169119125, 0,5,0.0009970664978027344,0.006956815719604492, 0.0069506168365478516

Algorithm, Average Run Time, Success Rate, Average Cost, Ratio 
CCBS, 0.028744382858276366, 100.0%, 20.44 to 20.44, 1.8658811650788354
ODA-serial, 0.015405259132385253, 100.0%, 20.44 to 20.44, 1.0
ODA-queue, 0.016052627563476564, 100.0%, 20.44 to 20.44, 1.0420225603171063
