Experiment Number,Map Seed,Number of Agents, Agents Seed, Uncertainty,Timeout,CBS Time,ODA Queue Time, CCBS Min Cost, CCBS Max Cost, ODA Min Cost, ODA Max Cost, CCBS nodes expanded, ODA nodes expanded
1,12345678,5, 266520142, 0,300,0.0019943714141845703, 0.014961004257202148, 20, 20, 20, 20, 2, 45
2,12345678,5, 734909180, 0,300,0.0029778480529785156, 0.023937702178955078, 24, 24, 24, 24, 2, 72
3,12345678,5, 2069101159, 0,300,0.003004789352416992, 0.013949394226074219, 31, 31, 31, 31, 2, 50
4,12345678,5, 1538018909, 0,300,0.0070111751556396484, 0.0578153133392334, 29, 29, 29, 29, 4, 193
5,12345678,5, 984284364, 0,300,0.0019943714141845703, 0.011961698532104492, 26, 26, 26, 26, 1, 42
6,12345678,5, 1311733683, 0,300,0.0010533332824707031, 0.015958070755004883, 22, 22, 22, 22, 1, 49
7,12345678,5, 154003961, 0,300,0.0009996891021728516, 0.01890254020690918, 21, 21, 21, 21, 1, 63
8,12345678,5, 2044142643, 0,300,0.0029382705688476562, 0.01097249984741211, 27, 27, 27, 27, 2, 40
9,12345678,5, 905040667, 0,300,0.006983518600463867, 0.014989614486694336, 24, 24, 24, 24, 3, 47
10,12345678,5, 2105007495, 0,300,0.0019948482513427734, 0.010935783386230469, 18, 18, 18, 18, 1, 33
11,12345678,5, 1384239710, 0,300,0.003988504409790039, 0.012964487075805664, 15, 15, 15, 15, 2, 35
12,12345678,5, 526969566, 0,300,0.012940645217895508, 0.05584859848022461, 40, 40, 40, 40, 6, 132
13,12345678,5, 639866556, 0,300,0.0019948482513427734, 0.00900721549987793, 24, 24, 24, 24, 2, 31
14,12345678,5, 656399422, 0,300,0.0019860267639160156, 0.018982887268066406, 29, 29, 29, 29, 2, 60
15,12345678,5, 1315826947, 0,300,0.021915197372436523, 0.20946717262268066, 23, 23, 23, 23, 15, 672
16,12345678,5, 1764853890, 0,300,0.000997304916381836, 0.009989023208618164, 18, 18, 18, 18, 1, 35
