Experiment Number,Map Seed,Number of Agents, Agents Seed, Uncertainty,Timeout,CBS Time,ODA Queue Time, CCBS Min Cost, CCBS Max Cost, ODA Min Cost, ODA Max Cost, CCBS nodes expanded, ODA nodes expanded
1,691852431,6, 1361963168, 0,300,21.281053066253662, -1, 707, 707, -1, -1, 55, -1
2,691852431,6, 348101157, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
3,691852431,6, 441132256, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
4,691852431,6, 817093363, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
5,691852431,6, 237437366, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
6,691852431,6, 787835635, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
7,691852431,6, 1618982112, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
8,691852431,6, 1607635231, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
9,691852431,6, 1449763799, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
10,691852431,6, 1841932346, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
11,691852431,6, 1494379754, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
12,691852431,6, 93436269, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
13,691852431,6, 1955955340, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
14,691852431,6, 1430538490, 0,300,47.01576375961304, -1, 380, 380, -1, -1, 3286, -1
15,691852431,6, 220757761, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
16,691852431,6, 673961498, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
17,691852431,6, 622609726, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
18,691852431,6, 1430467712, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
19,691852431,6, 759036386, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
20,691852431,6, 184970616, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
21,691852431,6, 1392896776, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
22,691852431,6, 917789366, 0,300,8.542185544967651, -2, 253, 253, -1, -1, 74, -1
23,691852431,6, 1221807036, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
24,691852431,6, 648390459, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
25,691852431,6, 1622683007, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
26,691852431,6, 391274268, 0,300,18.120546102523804, -1, 410, 410, -1, -1, 82, -1
27,691852431,6, 673003370, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
28,691852431,6, 579749953, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
29,691852431,6, 1238375911, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
30,691852431,6, 324404606, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
31,691852431,6, 1221918460, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
32,691852431,6, 1520531548, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
33,691852431,6, 1648974060, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
34,691852431,6, 1529175558, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
35,691852431,6, 1562910115, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
36,691852431,6, 395854911, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
37,691852431,6, 562672563, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
38,691852431,6, 1988364363, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
39,691852431,6, 457380153, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
40,691852431,6, 1725459399, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
41,691852431,6, 1756741375, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
42,691852431,6, 1582375797, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
43,691852431,6, 1277069041, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
44,691852431,6, 445573659, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
45,691852431,6, 8307107, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
46,691852431,6, 1340642279, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
47,691852431,6, 91740439, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
48,691852431,6, 664512332, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
49,691852431,6, 838116033, 0,300,-1, -1, -1, -1, -1, -1, -1, -1
50,691852431,6, 2023782875, 0,300,-1, -1, -1, -1, -1, -1, -1, -1

Algorithm, Average Run Time, Success Rate, Average Cost, Ratio 
CCBS, 1.8991909694671631, 8.0%, 35.0 to 35.0, -1
ODA-queue, 0.0, 0.0%, 0.0 to 0.0, -1
