Experiment Number,Map Seed,Number of Agents, Agents Seed, Uncertainty,Timeout,CBS Time,ODA Queue Time, CCBS Min Cost, CCBS Max Cost, ODA Min Cost, ODA Max Cost, CCBS nodes expanded, ODA nodes expanded
1,12345678,6,1670793853,0,60,0.081780434,1.623664379,662,662,662,662,2,1760
2,12345678,6,1955258130,0,60,0.119283199,2.56986022,800,800,800,800,2,2099
3,12345678,6,507485279,0,60,0.498667717,-1,902,902,-1,-1,6,-1
4,12345678,6,1028099279,0,60,0.056807995,1.640230417,733,733,733,733,1,1839
5,12345678,6,1477900714,0,60,0.073801279,1.223969221,572,572,572,572,2,1381
6,12345678,6,247758289,0,60,0.244497776,3.644842148,1060,1060,1060,1060,3,2834
7,12345678,6,1623830745,0,60,0.12867403,2.313030243,985,985,985,985,3,4111
8,12345678,6,1228721819,0,60,0.106714725,4.409713507,775,775,775,775,1,2599
9,12345678,6,1604362971,0,60,0.452327728,2.342854977,1401,1401,1401,1401,7,2568
10,12345678,6,1208184654,0,60,0.372085094,2.374068737,1313,1313,1313,1313,6,2542
11,12345678,6,713587541,0,60,10.95987916,1.903256178,908,908,908,908,4,2264
12,12345678,6,584647058,0,60,0.51251483,-1,989,989,-1,-1,7,-1
13,12345678,6,701585112,0,60,0.069859982,2.369223833,815,815,815,815,1,2198
14,12345678,6,1560619689,0,60,0.285630226,2.503868818,983,983,983,983,4,2372
15,12345678,6,1191721878,0,60,0.294427156,2.199295759,1263,1263,1263,1263,4,2409
16,12345678,6,219106308,0,60,0.230385065,2.165354729,1020,1020,1020,1020,3,2112
17,12345678,6,1752822897,0,60,27.88900471,2.819838047,1339,1339,1339,1339,8,2871
18,12345678,6,1662609963,0,60,0.186477661,1.95912075,930,930,930,930,3,2076
19,12345678,6,1537067031,0,60,0.265291929,7.415889978,1122,1122,1122,1122,5,12105
20,12345678,6,725773221,0,60,0.145147562,4.437302351,961,961,961,961,2,3067
21,12345678,6,315515206,0,60,19.12874842,-1,894,894,-1,-1,8,-1
22,12345678,6,1419621514,0,60,0.113850355,1.854781628,727,727,727,727,2,1851
23,12345678,6,1551889287,0,60,0.063014984,1.0725739,1010,1010,1010,1010,1,1595
24,12345678,6,654747130,0,60,0.048868656,1.201786757,656,656,656,656,1,1553
25,12345678,6,1801826145,0,60,0.790299892,-1,778,778,-1,-1,8,-1
26,12345678,6,1298997775,0,60,1.710017204,-1,1180,1180,-1,-1,11,-1
27,12345678,6,1372379580,0,60,6.885759354,2.41587162,1111,1111,1111,1111,5,4114
28,12345678,6,1269321627,0,60,0.251510382,2.602648258,1269,1269,1269,1269,3,2606
29,12345678,6,1295574518,0,60,0.269293547,1.741389751,1114,1114,1114,1114,5,2043
30,12345678,6,1853231889,0,60,0.263711452,2.457370996,1155,1155,1155,1155,4,2556
,,,,,,,,,,,,,
Algorithm, Average Run Time, Success Rate, Average Cost, Ratio ,,,,,,,,,
CCBS,2.416611083,100.00%, 980.9 to 980.9,1.146004765,,,,,,,,,
ODA-queue,2.108726907,83.33%, 987.36 to 987.36,1,,,,,,,,,
