Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,10,10637296,1,60,2.523193120956421,0.2658860683441162,62,81,19,71,71,71,0,71,1.0,uniform,False
2,96372106,10,10637297,1,60,4.924167633056641,0.2812643051147461,69,91,22,81,80,80,0,80,1.0,uniform,False
3,96372106,10,10637298,1,60,1.7818193435668945,0.37694716453552246,70,89,19,79,79,79,0,79,1.0,uniform,False
4,96372106,10,10637299,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
5,96372106,10,10637300,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
6,96372106,10,10637301,1,60,1.5029683113098145,0.43045544624328613,54,77,23,67,63,63,0,63,1.0,uniform,False
7,96372106,10,10637302,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
8,96372106,10,10637303,1,60,0.4600701332092285,0.02901911735534668,56,75,19,66,66,66,0,66,1.0,uniform,False
9,96372106,10,10637304,1,60,0.1188511848449707,0.030886173248291016,46,65,19,57,57,57,0,57,1.0,uniform,False
10,96372106,10,10637305,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
11,96372106,10,10637306,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
12,96372106,10,10637307,1,60,248.01333570480347,3.786329984664917,67,93,26,78,73,73,0,73,1.0,uniform,False
13,96372106,10,10637308,1,60,4.8804402351379395,0.22206544876098633,76,98,22,85,90,90,0,90,1.0,uniform,False
14,96372106,10,10637309,1,60,62.180352210998535,0.27549219131469727,73,96,23,85,84,84,0,84,1.0,uniform,False
15,96372106,10,10637310,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
16,96372106,10,10637311,1,60,1.4518823623657227,0.3217895030975342,69,88,19,79,80,80,0,80,1.0,uniform,False
17,96372106,10,10637312,1,60,0.6855852603912354,0.1269233226776123,56,70,14,57,59,59,0,59,1.0,uniform,False
18,96372106,10,10637313,1,60,252.8860001564026,0.3280029296875,77,97,20,91,90,90,0,90,1.0,uniform,False
19,96372106,10,10637314,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
20,96372106,10,10637315,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
21,96372106,10,10637316,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
22,96372106,10,10637317,1,60,3.0828332901000977,0.27370548248291016,72,94,22,80,82,82,0,82,1.0,uniform,False
23,96372106,10,10637318,1,60,0.8565082550048828,0.06099057197570801,56,78,22,63,63,63,0,63,1.0,uniform,False
24,96372106,10,10637319,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
25,96372106,10,10637320,1,60,0.26085758209228516,0.10590982437133789,59,78,19,68,64,64,0,64,1.0,uniform,False
26,96372106,10,10637321,1,60,13.490365028381348,25.38972234725952,61,81,20,69,68,68,0,68,1.0,uniform,False
27,96372106,10,10637322,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
28,96372106,10,10637323,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
29,96372106,10,10637324,1,60,1.5131752490997314,0.27567195892333984,56,69,13,63,63,63,0,63,1.0,uniform,False
30,96372106,10,10637325,1,60,87.78494048118591,0.8672945499420166,60,84,24,67,66,66,0,66,1.0,uniform,False
31,96372106,10,10637326,1,60,26.216559648513794,0.5960583686828613,71,92,21,84,84,84,0,84,1.0,uniform,False
32,96372106,10,10637327,1,60,0.21007943153381348,0.06875348091125488,58,79,21,68,66,66,0,66,1.0,uniform,False
33,96372106,10,10637328,1,60,16.4313645362854,1.1599347591400146,65,84,19,76,77,77,0,77,1.0,uniform,False
34,96372106,10,10637329,1,60,4.200083494186401,0.11169123649597168,63,91,28,74,71,71,0,71,1.0,uniform,False
35,96372106,10,10637330,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
36,96372106,10,10637331,1,60,0.8407847881317139,0.646308422088623,58,75,17,64,63,63,0,63,1.0,uniform,False
37,96372106,10,10637332,1,60,0.4271821975708008,0.03618931770324707,50,68,18,59,58,58,0,58,1.0,uniform,False
38,96372106,10,10637333,1,60,22.497656106948853,0.270127534866333,66,88,22,73,71,71,0,71,1.0,uniform,False
39,96372106,10,10637334,1,60,1.6984522342681885,0.9479775428771973,68,94,26,80,82,82,0,82,1.0,uniform,False
40,96372106,10,10637335,1,60,0.7823567390441895,0.11163139343261719,59,74,15,68,68,68,0,68,1.0,uniform,False
41,96372106,10,10637336,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
42,96372106,10,10637337,1,60,0.3077089786529541,0.08498525619506836,54,73,19,61,61,61,0,61,1.0,uniform,False
43,96372106,10,10637338,1,60,10.601936340332031,0.7039880752563477,65,90,25,76,74,74,0,74,1.0,uniform,False
44,96372106,10,10637339,1,60,233.7994818687439,0.9606823921203613,76,100,24,88,90,90,0,90,1.0,uniform,False
45,96372106,10,10637340,1,60,21.969084978103638,3.73034405708313,65,85,20,71,72,72,0,72,1.0,uniform,False
46,96372106,10,10637341,1,60,0.24790668487548828,0.4867234230041504,55,71,16,62,64,64,0,64,1.0,uniform,False
47,96372106,10,10637342,1,60,5.343289613723755,0.12682771682739258,66,90,24,74,78,78,0,78,1.0,uniform,False
48,96372106,10,10637343,1,60,2.9698245525360107,0.21797943115234375,60,79,19,68,67,67,0,67,1.0,uniform,False
