Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,octu Min Cost,octu Max Cost,octu uncertainty,Sensing Probability,Communication
1,96372106,11,10637296,0,60,0.11700248718261719,57,57,0,57,57,0,0.0,False
2,96372106,11,10637297,0,60,0.0424957275390625,61,61,0,61,61,0,0.0,False
3,96372106,11,10637298,0,60,0.03080892562866211,63,63,0,63,63,0,0.0,False
4,96372106,11,10637299,0,60,0.04882669448852539,64,64,0,64,64,0,0.0,False
5,96372106,11,10637300,0,60,0.28035664558410645,70,70,0,70,70,0,0.0,False
6,96372106,11,10637301,0,60,0.08049392700195312,60,60,0,60,60,0,0.0,False
7,96372106,11,10637302,0,60,0.03238701820373535,78,78,0,78,78,0,0.0,False
8,96372106,11,10637303,0,60,0.03845834732055664,55,55,0,55,55,0,0.0,False
9,96372106,11,10637304,0,60,0.03673124313354492,43,43,0,43,43,0,0.0,False
10,96372106,11,10637305,0,60,0.9838905334472656,66,66,0,66,66,0,0.0,False
11,96372106,11,10637306,0,60,0.06134152412414551,65,65,0,65,65,0,0.0,False
12,96372106,11,10637307,0,60,0.039907217025756836,60,60,0,60,60,0,0.0,False
13,96372106,11,10637308,0,60,0.04594683647155762,65,65,0,65,65,0,0.0,False
14,96372106,11,10637309,0,60,0.02924323081970215,63,63,0,63,63,0,0.0,False
15,96372106,11,10637310,0,60,0.06362581253051758,65,65,0,65,65,0,0.0,False
16,96372106,11,10637311,0,60,0.027887344360351562,68,68,0,68,68,0,0.0,False
17,96372106,11,10637312,0,60,3.803907871246338,54,54,0,54,54,0,0.0,False
18,96372106,11,10637313,0,60,0.14297771453857422,66,66,0,66,66,0,0.0,False
19,96372106,11,10637314,0,60,3.737220048904419,63,63,0,63,63,0,0.0,False
20,96372106,11,10637315,0,60,0.1714949607849121,81,81,0,81,81,0,0.0,False
21,96372106,11,10637316,0,60,0.052800893783569336,64,64,0,64,64,0,0.0,False
22,96372106,11,10637317,0,60,0.03542828559875488,63,63,0,63,63,0,0.0,False
23,96372106,11,10637318,0,60,0.010251045227050781,53,53,0,53,53,0,0.0,False
24,96372106,11,10637319,0,60,0.23089194297790527,61,61,0,61,61,0,0.0,False
25,96372106,11,10637320,0,60,0.016861677169799805,55,55,0,55,55,0,0.0,False
26,96372106,11,10637321,0,60,0.07219719886779785,57,57,0,57,57,0,0.0,False
27,96372106,11,10637322,0,60,0.5233969688415527,63,63,0,63,63,0,0.0,False
28,96372106,11,10637323,0,60,21.94969129562378,70,70,0,70,70,0,0.0,False
29,96372106,11,10637324,0,60,0.019929885864257812,52,52,0,52,52,0,0.0,False
30,96372106,11,10637325,0,60,0.17932343482971191,51,51,0,51,51,0,0.0,False
31,96372106,11,10637326,0,60,0.03588104248046875,60,60,0,60,60,0,0.0,False
32,96372106,11,10637327,0,60,0.007145881652832031,56,56,0,56,56,0,0.0,False
33,96372106,11,10637328,0,60,1.7667715549468994,63,63,0,63,63,0,0.0,False
34,96372106,11,10637329,0,60,0.04407858848571777,65,65,0,65,65,0,0.0,False
35,96372106,11,10637330,0,60,0.23857879638671875,68,68,0,68,68,0,0.0,False
36,96372106,11,10637331,0,60,0.019067049026489258,48,48,0,48,48,0,0.0,False
37,96372106,11,10637332,0,60,0.014502763748168945,46,46,0,46,46,0,0.0,False
38,96372106,11,10637333,0,60,0.02068638801574707,60,60,0,60,60,0,0.0,False
39,96372106,11,10637334,0,60,0.05486488342285156,64,64,0,64,64,0,0.0,False
40,96372106,11,10637335,0,60,0.010102987289428711,52,52,0,52,52,0,0.0,False
41,96372106,11,10637336,0,60,0.06358671188354492,79,79,0,79,79,0,0.0,False
42,96372106,11,10637337,0,60,0.027685165405273438,52,52,0,52,52,0,0.0,False
43,96372106,11,10637338,0,60,0.012748956680297852,65,65,0,65,65,0,0.0,False
44,96372106,11,10637339,0,60,0.04375910758972168,71,71,0,71,71,0,0.0,False
45,96372106,11,10637340,0,60,0.3608255386352539,64,64,0,64,64,0,0.0,False
46,96372106,11,10637341,0,60,0.10639142990112305,57,57,0,57,57,0,0.0,False
47,96372106,11,10637342,0,60,0.4371793270111084,61,61,0,61,61,0,0.0,False
48,96372106,11,10637343,0,60,0.021713972091674805,54,54,0,54,54,0,0.0,False
49,96372106,11,10637344,0,60,0.10333609580993652,59,59,0,59,59,0,0.0,False
50,96372106,11,10637345,0,60,0.042421579360961914,68,68,0,68,68,0,0.0,False
