Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,13,10637296,0,60,0.429837703704834,71,71,0,71,72,72,0,72,0.5,uniform,True
2,96372106,13,10637297,0,60,0.2812461853027344,72,72,0,72,72,72,0,72,0.5,uniform,True
3,96372106,13,10637298,0,60,0.9833328723907471,77,77,0,77,77,77,0,77,0.5,uniform,True
4,96372106,13,10637299,0,60,0.3470463752746582,74,74,0,74,76,76,0,76,0.5,uniform,True
5,96372106,13,10637300,0,60,0.6123952865600586,83,83,0,83,83,83,0,83,0.5,uniform,True
6,96372106,13,10637301,0,60,0.3171522617340088,67,67,0,67,67,67,0,67,0.5,uniform,True
7,96372106,13,10637302,0,60,0.16655635833740234,86,86,0,86,86,86,0,86,0.5,uniform,True
8,96372106,13,10637303,0,60,0.15357613563537598,68,68,0,68,68,68,0,68,0.5,uniform,True
9,96372106,13,10637304,0,60,0.10171866416931152,57,57,0,57,57,57,0,57,0.5,uniform,True
10,96372106,13,10637305,0,60,2.7905120849609375,71,71,0,71,75,75,0,75,0.5,uniform,True
11,96372106,13,10637306,0,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
12,96372106,13,10637307,0,60,0.25612568855285645,71,71,0,71,71,71,0,71,0.5,uniform,True
13,96372106,13,10637308,0,60,0.8337492942810059,79,79,0,79,83,83,0,83,0.5,uniform,True
14,96372106,13,10637309,0,60,0.28124427795410156,79,79,0,79,79,79,0,79,0.5,uniform,True
15,96372106,13,10637310,0,60,0.3411433696746826,73,73,0,73,73,73,0,73,0.5,uniform,True
16,96372106,13,10637311,0,60,0.22242307662963867,83,83,0,83,83,83,0,83,0.5,uniform,True
17,96372106,13,10637312,0,60,8.347608804702759,69,69,0,69,71,71,0,71,0.5,uniform,True
18,96372106,13,10637313,0,60,0.3590426445007324,79,79,0,79,79,79,0,79,0.5,uniform,True
19,96372106,13,10637314,0,60,32.04921889305115,79,79,0,79,79,79,0,79,0.5,uniform,True
20,96372106,13,10637315,0,60,0.39294862747192383,92,92,0,92,92,92,0,92,0.5,uniform,True
21,96372106,13,10637316,0,60,0.42284464836120605,80,80,0,80,80,80,0,80,0.5,uniform,True
22,96372106,13,10637317,0,60,0.49764180183410645,66,66,0,66,66,66,0,66,0.5,uniform,True
23,96372106,13,10637318,0,60,0.34305810928344727,66,66,0,66,66,66,0,66,0.5,uniform,True
24,96372106,13,10637319,0,60,2.7975144386291504,72,72,0,72,74,74,0,74,0.5,uniform,True
25,96372106,13,10637320,0,60,0.16153264045715332,61,61,0,61,61,61,0,61,0.5,uniform,True
26,96372106,13,10637321,0,60,0.5295472145080566,75,75,0,75,75,75,0,75,0.5,uniform,True
27,96372106,13,10637322,0,60,1.8680329322814941,74,74,0,74,74,74,0,74,0.5,uniform,True
28,96372106,13,10637323,0,60,59.21952748298645,84,84,0,84,84,84,0,84,0.5,uniform,True
29,96372106,13,10637324,0,60,0.253298282623291,62,62,0,62,62,62,0,62,0.5,uniform,True
30,96372106,13,10637325,0,60,0.42782020568847656,64,64,0,64,63,63,0,63,0.5,uniform,True
31,96372106,13,10637326,0,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
32,96372106,13,10637327,0,60,0.6073417663574219,67,67,0,67,67,67,0,67,0.5,uniform,True
33,96372106,13,10637328,0,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
34,96372106,13,10637329,0,60,0.9863631725311279,82,82,0,82,82,82,0,82,0.5,uniform,True
35,96372106,13,10637330,0,60,0.46180081367492676,77,77,0,77,77,77,0,77,0.5,uniform,True
36,96372106,13,10637331,0,60,0.13461542129516602,58,58,0,58,58,58,0,58,0.5,uniform,True
37,96372106,13,10637332,0,60,0.11170125007629395,55,55,0,55,55,55,0,55,0.5,uniform,True
38,96372106,13,10637333,0,60,0.0658266544342041,70,70,0,70,70,70,0,70,0.5,uniform,True
39,96372106,13,10637334,0,60,0.15953993797302246,74,74,0,74,75,75,0,75,0.5,uniform,True
40,96372106,13,10637335,0,60,0.04385972023010254,58,58,0,58,58,58,0,58,0.5,uniform,True
41,96372106,13,10637336,0,60,0.7020764350891113,97,97,0,97,97,97,0,97,0.5,uniform,True
42,96372106,13,10637337,0,60,0.2393338680267334,62,62,0,62,62,62,0,62,0.5,uniform,True
43,96372106,13,10637338,0,60,0.061823129653930664,75,75,0,75,75,75,0,75,0.5,uniform,True
44,96372106,13,10637339,0,60,0.5126287937164307,85,85,0,85,85,85,0,85,0.5,uniform,True
45,96372106,13,10637340,0,60,1.519899845123291,79,79,0,79,79,79,0,79,0.5,uniform,True
46,96372106,13,10637341,0,60,0.7898609638214111,64,64,0,64,64,64,0,64,0.5,uniform,True
47,96372106,13,10637342,0,60,8.116280317306519,73,73,0,73,73,73,0,73,0.5,uniform,True
48,96372106,13,10637343,0,60,0.11964607238769531,60,60,0,60,60,60,0,60,0.5,uniform,True
49,96372106,13,10637344,0,60,14.733543395996094,69,69,0,69,69,69,0,69,0.5,uniform,True
50,96372106,13,10637345,0,60,32.84210205078125,76,76,0,76,80,80,0,80,0.5,uniform,True
