Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final_true_cost,Sensing Probability,Communication
1,96372106,13,10637296,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,False
2,96372106,13,10637297,1,60,15.444792032241821,92,115,23,104,104,104,0,104,0.75,False
3,96372106,13,10637298,1,60,3.8122663497924805,97,114,17,110,108,110,2,109,0.75,False
4,96372106,13,10637299,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,False
5,96372106,13,10637300,1,60,4.8781373500823975,104,125,21,116,113,115,2,115,0.75,False
6,96372106,13,10637301,1,60,0.46904897689819336,78,100,22,90,89,90,1,90,0.75,False
7,96372106,13,10637302,1,60,11.959950923919678,110,129,19,121,119,120,1,120,0.75,False
8,96372106,13,10637303,1,60,0.2988107204437256,83,108,25,95,94,96,2,95,0.75,False
9,96372106,13,10637304,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,False
10,96372106,13,10637305,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,False
11,96372106,13,10637306,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,False
12,96372106,13,10637307,1,60,5.186935663223267,91,114,23,105,104,105,1,105,0.75,False
13,96372106,13,10637308,1,60,8.259220838546753,100,124,24,112,112,112,0,112,0.75,False
14,96372106,13,10637309,1,60,5.82315468788147,106,124,18,117,115,116,1,116,0.75,False
15,96372106,13,10637310,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,False
16,96372106,13,10637311,1,60,0.22025418281555176,99,125,26,106,103,108,5,106,0.75,False
17,96372106,13,10637312,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,False
18,96372106,13,10637313,1,60,0.8690474033355713,98,119,21,110,110,111,1,110,0.75,False
19,96372106,13,10637314,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,False
20,96372106,13,10637315,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,False
21,96372106,13,10637316,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,False
22,96372106,13,10637317,1,60,0.7203576564788818,84,106,22,99,97,98,1,98,0.75,False
23,96372106,13,10637318,1,60,0.2335054874420166,80,100,20,93,92,92,0,92,0.75,False
24,96372106,13,10637319,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,False
25,96372106,13,10637320,1,60,0.08107852935791016,74,91,17,85,84,85,1,85,0.75,False
26,96372106,13,10637321,1,60,1.345581293106079,90,115,25,102,100,101,1,101,0.75,False
27,96372106,13,10637322,1,60,3.6505539417266846,92,112,20,100,98,99,1,99,0.75,False
28,96372106,13,10637323,1,60,4.750304937362671,103,121,18,113,111,112,1,111,0.75,False
29,96372106,13,10637324,1,60,2.958038330078125,82,97,15,90,90,90,0,90,0.75,False
30,96372106,13,10637325,1,60,6.41696572303772,82,105,23,98,95,98,3,97,0.75,False
31,96372106,13,10637326,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,False
32,96372106,13,10637327,1,60,8.222622632980347,83,102,19,94,92,95,3,94,0.75,False
33,96372106,13,10637328,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,False
34,96372106,13,10637329,1,60,2.3464105129241943,98,126,28,106,106,107,1,106,0.75,False
35,96372106,13,10637330,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,False
36,96372106,13,10637331,1,60,0.3716013431549072,74,92,18,81,81,81,0,81,0.75,False
37,96372106,13,10637332,1,60,0.10741806030273438,67,83,16,72,72,72,0,72,0.75,False
38,96372106,13,10637333,1,60,0.44788098335266113,87,111,24,100,98,101,3,99,0.75,False
39,96372106,13,10637334,1,60,0.674858570098877,92,114,22,103,103,103,0,103,0.75,False
40,96372106,13,10637335,1,60,0.29833388328552246,71,90,19,78,77,80,3,78,0.75,False
41,96372106,13,10637336,1,60,28.69736099243164,122,144,22,135,135,135,0,135,0.75,False
42,96372106,13,10637337,1,60,53.32225942611694,75,94,19,83,82,83,1,83,0.75,False
43,96372106,13,10637338,1,60,16.26020646095276,89,113,24,101,100,102,2,101,0.75,False
44,96372106,13,10637339,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,False
45,96372106,13,10637340,1,60,38.63944959640503,95,118,23,113,113,113,0,113,0.75,False
46,96372106,13,10637341,1,60,0.27927732467651367,73,92,19,83,83,85,2,83,0.75,False
47,96372106,13,10637342,1,60,0.3408329486846924,92,111,19,99,98,99,1,99,0.75,False
48,96372106,13,10637343,1,60,1.296584129333496,72,96,24,86,86,86,0,86,0.75,False
49,96372106,13,10637344,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,False
50,96372106,13,10637345,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,False
