Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,2,10637296,0,60,0.007980585098266602,0.2353980541229248,188,188,0,188,188,188,0,188,0.25,uniform,True
2,96372106,2,10637297,0,60,0.08078360557556152,0.7530224323272705,284,284,0,284,284,284,0,284,0.25,uniform,True
3,96372106,2,10637298,0,60,0.03989362716674805,0.8716371059417725,307,307,0,307,307,307,0,307,0.25,uniform,True
4,96372106,2,10637299,0,60,0.017951011657714844,1.223695993423462,362,362,0,362,362,362,0,362,0.25,uniform,True
5,96372106,2,10637300,0,60,0.05085921287536621,1.0861847400665283,285,285,0,285,285,285,0,285,0.25,uniform,True
6,96372106,2,10637301,0,60,0.017950773239135742,0.662207841873169,246,246,0,246,246,246,0,246,0.25,uniform,True
7,96372106,2,10637302,0,60,0.008975028991699219,0.2822093963623047,171,171,0,171,171,171,0,171,0.25,uniform,True
8,96372106,2,10637303,0,60,0.07782220840454102,3.1365954875946045,491,491,0,491,491,491,0,491,0.25,uniform,True
9,96372106,2,10637304,0,60,0.022937297821044922,1.6684870719909668,329,329,0,329,329,329,0,329,0.25,uniform,True
10,96372106,2,10637305,0,60,0.019974708557128906,1.530928611755371,367,367,0,367,367,367,0,367,0.25,uniform,True
11,96372106,2,10637306,0,60,0.004995107650756836,0.0678107738494873,94,94,0,94,94,94,0,94,0.25,uniform,True
12,96372106,2,10637307,0,60,0.039891958236694336,0.939429759979248,280,280,0,280,280,280,0,280,0.25,uniform,True
13,96372106,2,10637308,0,60,0.030884504318237305,1.82210111618042,393,393,0,393,393,393,0,393,0.25,uniform,True
14,96372106,2,10637309,0,60,0.0029926300048828125,0.02493429183959961,55,55,0,55,55,55,0,55,0.25,uniform,True
15,96372106,2,10637310,0,60,0.00598597526550293,0.07280659675598145,114,114,0,114,114,114,0,114,0.25,uniform,True
16,96372106,2,10637311,0,60,0.01196742057800293,0.3972623348236084,169,169,0,169,169,169,0,169,0.25,uniform,True
17,96372106,2,10637312,0,60,0.031913042068481445,2.699613332748413,396,396,0,396,396,396,0,396,0.25,uniform,True
18,96372106,2,10637313,0,60,0.0080108642578125,0.1881420612335205,135,135,0,135,135,135,0,135,0.25,uniform,True
19,96372106,2,10637314,0,60,0.009972572326660156,0.09751367568969727,100,100,0,100,100,100,0,100,0.25,uniform,True
20,96372106,2,10637315,0,60,0.03389477729797363,3.133478879928589,380,380,0,380,380,380,0,380,0.25,uniform,True
21,96372106,2,10637316,0,60,0.0069811344146728516,0.16171526908874512,150,150,0,150,150,150,0,150,0.25,uniform,True
22,96372106,2,10637317,0,60,0.01894831657409668,1.9770586490631104,380,380,0,380,380,380,0,380,0.25,uniform,True
23,96372106,2,10637318,0,60,0.020943403244018555,1.5382745265960693,333,333,0,333,333,333,0,333,0.25,uniform,True
24,96372106,2,10637319,0,60,0.026946544647216797,2.4223744869232178,346,346,0,346,346,346,0,346,0.25,uniform,True
25,96372106,2,10637320,0,60,0.028970718383789062,1.092332124710083,309,309,0,309,309,309,0,309,0.25,uniform,True
26,96372106,2,10637321,0,60,0.011968374252319336,0.5042159557342529,244,244,0,244,244,244,0,244,0.25,uniform,True
27,96372106,2,10637322,0,60,0.04585838317871094,0.8610446453094482,262,262,0,262,262,262,0,262,0.25,uniform,True
28,96372106,2,10637323,0,60,0.026903867721557617,2.7229630947113037,375,375,0,375,375,375,0,375,0.25,uniform,True
29,96372106,2,10637324,0,60,0.025929689407348633,3.204976797103882,435,435,0,435,435,435,0,435,0.25,uniform,True
30,96372106,2,10637325,0,60,0.11572813987731934,9.354826927185059,680,680,0,680,680,680,0,680,0.25,uniform,True
31,96372106,2,10637326,0,60,0.07182621955871582,3.467708110809326,502,502,0,502,502,502,0,502,0.25,uniform,True
32,96372106,2,10637327,0,60,0.03290963172912598,2.7339813709259033,400,400,0,400,400,400,0,400,0.25,uniform,True
33,96372106,2,10637328,0,60,0.017951488494873047,1.081026315689087,301,301,0,301,301,301,0,301,0.25,uniform,True
34,96372106,2,10637329,0,60,0.0329439640045166,2.665766954421997,400,400,0,400,400,400,0,400,0.25,uniform,True
35,96372106,2,10637330,0,60,0.022964000701904297,2.147244930267334,385,385,0,385,385,385,0,385,0.25,uniform,True
36,96372106,2,10637331,0,60,0.01296544075012207,0.39127254486083984,234,234,0,234,234,234,0,234,0.25,uniform,True
37,96372106,2,10637332,0,60,0.009972095489501953,0.302825927734375,194,194,0,194,194,194,0,194,0.25,uniform,True
38,96372106,2,10637333,0,60,0.033945560455322266,2.2516965866088867,434,434,0,434,434,434,0,434,0.25,uniform,True
39,96372106,2,10637334,0,60,0.04388141632080078,0.847637414932251,281,281,0,281,281,281,0,281,0.25,uniform,True
40,96372106,2,10637335,0,60,0.013961553573608398,0.9168143272399902,300,300,0,300,300,300,0,300,0.25,uniform,True
41,96372106,2,10637336,0,60,0.01296544075012207,0.4421396255493164,234,234,0,234,234,234,0,234,0.25,uniform,True
42,96372106,2,10637337,0,60,0.008002519607543945,0.22660326957702637,161,161,0,161,161,161,0,161,0.25,uniform,True
43,96372106,2,10637338,0,60,0.025905609130859375,1.1547751426696777,285,285,0,285,285,285,0,285,0.25,uniform,True
44,96372106,2,10637339,0,60,0.014961481094360352,0.5665621757507324,267,267,0,267,267,267,0,267,0.25,uniform,True
45,96372106,2,10637340,0,60,0.018981218338012695,1.7742397785186768,407,407,0,407,407,407,0,407,0.25,uniform,True
46,96372106,2,10637341,0,60,0.009972810745239258,0.36573028564453125,205,205,0,205,205,205,0,205,0.25,uniform,True
47,96372106,2,10637342,0,60,0.06680130958557129,1.9625036716461182,402,402,0,402,402,402,0,402,0.25,uniform,True
48,96372106,2,10637343,0,60,0.011968135833740234,0.4870758056640625,196,196,0,196,196,196,0,196,0.25,uniform,True
49,96372106,2,10637344,0,60,0.00997304916381836,0.3319075107574463,207,207,0,207,207,207,0,207,0.25,uniform,True
50,96372106,2,10637345,0,60,0.021939754486083984,2.28397274017334,371,371,0,371,371,371,0,371,0.25,uniform,True
