Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,2,10637296,1,60,0.01296544075012207,0.006984233856201172,204,295,91,204,204,295,91,204,0.0,uniform,False
2,96372106,2,10637297,1,60,1.7403650283813477,0.01689600944519043,303,418,115,303,303,418,115,303,0.0,uniform,False
3,96372106,2,10637298,1,60,0.6821556091308594,0.010970115661621094,320,473,153,320,320,473,153,320,0.0,uniform,False
4,96372106,2,10637299,1,60,0.030925512313842773,0.015015602111816406,386,541,155,386,386,541,155,386,0.0,uniform,False
5,96372106,2,10637300,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,False
6,96372106,2,10637301,1,60,0.025960922241210938,0.014959335327148438,261,377,116,261,261,377,116,261,0.0,uniform,False
7,96372106,2,10637302,1,60,0.011911869049072266,0.006013154983520508,184,268,84,184,184,268,84,184,0.0,uniform,False
8,96372106,2,10637303,1,60,9.722988605499268,0.01695561408996582,532,758,226,532,532,758,226,532,0.0,uniform,False
9,96372106,2,10637304,1,60,0.03793191909790039,0.01595759391784668,349,502,153,349,349,502,153,349,0.0,uniform,False
10,96372106,2,10637305,1,60,0.03592252731323242,0.013961553573608398,380,547,167,380,380,547,167,380,0.0,uniform,False
11,96372106,2,10637306,1,60,0.005983591079711914,0.005983829498291016,107,138,31,107,107,138,31,107,0.0,uniform,False
12,96372106,2,10637307,1,60,1.2656450271606445,0.009943246841430664,292,427,135,292,292,427,135,292,0.0,uniform,False
13,96372106,2,10637308,1,60,2.719731092453003,0.011967658996582031,419,600,181,419,419,600,181,419,0.0,uniform,False
14,96372106,2,10637309,1,60,0.0029916763305664062,0.0030226707458496094,58,84,26,58,58,84,26,58,0.0,uniform,False
15,96372106,2,10637310,1,60,0.007979631423950195,0.004986286163330078,130,185,55,130,130,185,55,130,0.0,uniform,False
16,96372106,2,10637311,1,60,0.011998891830444336,0.0069887638092041016,189,256,67,189,189,256,67,189,0.0,uniform,False
17,96372106,2,10637312,1,60,0.06785106658935547,0.026926279067993164,427,609,182,427,427,609,182,427,0.0,uniform,False
18,96372106,2,10637313,1,60,0.012000560760498047,0.007987499237060547,139,202,63,139,139,202,63,139,0.0,uniform,False
19,96372106,2,10637314,1,60,0.007036447525024414,0.003988981246948242,107,152,45,107,107,152,45,107,0.0,uniform,False
20,96372106,2,10637315,1,60,0.061776161193847656,0.029918670654296875,394,584,190,394,394,584,190,394,0.0,uniform,False
21,96372106,2,10637316,1,60,0.009954214096069336,0.0049588680267333984,160,238,78,160,160,238,78,160,0.0,uniform,False
22,96372106,2,10637317,1,60,0.04587745666503906,0.012965917587280273,404,579,175,404,404,579,175,404,0.0,uniform,False
