Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final_true_cost,Sensing Probability,Communication
1,96372106,2,10637296,1,60,0.019954681396484375,14,23,9,20,14,23,9,20,0.0,True
2,96372106,2,10637297,1,60,0.010983467102050781,12,15,3,14,12,15,3,14,0.0,True
3,96372106,2,10637298,1,60,0.027029991149902344,20,26,6,24,20,26,6,24,0.0,True
4,96372106,2,10637299,1,60,0.10607671737670898,17,24,7,24,17,24,7,24,0.0,True
5,96372106,2,10637300,1,60,0.02903580665588379,15,18,3,18,15,18,3,18,0.0,True
6,96372106,2,10637301,1,60,0.01011514663696289,11,19,8,15,11,19,8,15,0.0,True
7,96372106,2,10637302,1,60,0.07400012016296387,18,25,7,20,18,25,7,20,0.0,True
8,96372106,2,10637303,1,60,0.013023138046264648,13,18,5,18,13,18,5,18,0.0,True
9,96372106,2,10637304,1,60,0.06851816177368164,15,22,7,18,15,22,7,18,0.0,True
10,96372106,2,10637305,1,60,0.0331118106842041,16,23,7,20,16,23,7,20,0.0,True
11,96372106,2,10637306,1,60,0.01107335090637207,6,12,6,9,6,12,6,9,0.0,True
12,96372106,2,10637307,1,60,0.006985187530517578,14,25,11,20,14,25,11,20,0.0,True
13,96372106,2,10637308,1,60,0.02684497833251953,11,17,6,14,11,17,6,14,0.0,True
14,96372106,2,10637309,1,60,0.06899714469909668,18,26,8,18,18,26,8,18,0.0,True
15,96372106,2,10637310,1,60,0.013979673385620117,13,23,10,17,13,23,10,17,0.0,True
16,96372106,2,10637311,1,60,0.0040988922119140625,9,12,3,10,9,12,3,10,0.0,True
17,96372106,2,10637312,1,60,0.008085012435913086,10,14,4,11,10,14,4,11,0.0,True
18,96372106,2,10637313,1,60,0.006980419158935547,14,21,7,16,14,21,7,16,0.0,True
19,96372106,2,10637314,1,60,0.06993675231933594,16,20,4,17,16,20,4,17,0.0,True
20,96372106,2,10637315,1,60,0.008370399475097656,10,17,7,15,10,17,7,15,0.0,True
21,96372106,2,10637316,1,60,0.012115478515625,16,27,11,24,16,27,11,24,0.0,True
22,96372106,2,10637317,1,60,0.01897454261779785,12,16,4,14,12,16,4,14,0.0,True
23,96372106,2,10637318,1,60,0.02768993377685547,10,15,5,14,10,15,5,14,0.0,True
24,96372106,2,10637319,1,60,0.006025791168212891,16,24,8,20,16,24,8,20,0.0,True
25,96372106,2,10637320,1,60,0.01895880699157715,7,10,3,9,7,10,3,9,0.0,True
26,96372106,2,10637321,1,60,0.005009889602661133,13,15,2,13,13,15,2,13,0.0,True
27,96372106,2,10637322,1,60,0.01895451545715332,8,10,2,10,8,10,2,10,0.0,True
28,96372106,2,10637323,1,60,0.03805899620056152,18,24,6,20,18,24,6,20,0.0,True
29,96372106,2,10637324,1,60,0.01308894157409668,5,6,1,6,5,6,1,6,0.0,True
30,96372106,2,10637325,1,60,0.012966156005859375,10,17,7,13,10,17,7,13,0.0,True
31,96372106,2,10637326,1,60,0.007935762405395508,12,16,4,15,12,16,4,15,0.0,True
32,96372106,2,10637327,1,60,0.021936655044555664,11,15,4,11,11,15,4,11,0.0,True
33,96372106,2,10637328,1,60,0.027971982955932617,12,18,6,14,12,18,6,14,0.0,True
34,96372106,2,10637329,1,60,0.010762691497802734,7,13,6,11,7,13,6,11,0.0,True
35,96372106,2,10637330,1,60,0.0069806575775146484,7,8,1,7,7,8,1,7,0.0,True
36,96372106,2,10637331,1,60,0.008988142013549805,13,21,8,17,13,21,8,17,0.0,True
37,96372106,2,10637332,1,60,0.004999876022338867,9,12,3,10,9,12,3,10,0.0,True
38,96372106,2,10637333,1,60,0.006981372833251953,11,16,5,12,11,16,5,12,0.0,True
39,96372106,2,10637334,1,60,0.008975505828857422,11,17,6,14,11,17,6,14,0.0,True
40,96372106,2,10637335,1,60,0.002989530563354492,2,2,0,2,2,2,0,2,0.0,True
41,96372106,2,10637336,1,60,0.01206350326538086,17,22,5,19,17,22,5,19,0.0,True
42,96372106,2,10637337,1,60,0.028036117553710938,14,21,7,19,14,21,7,19,0.0,True
43,96372106,2,10637338,1,60,0.030918598175048828,16,26,10,20,16,26,10,20,0.0,True
44,96372106,2,10637339,1,60,0.08743882179260254,10,12,2,11,10,12,2,11,0.0,True
45,96372106,2,10637340,1,60,0.012779712677001953,13,20,7,16,13,20,7,16,0.0,True
46,96372106,2,10637341,1,60,0.01211237907409668,11,16,5,15,11,16,5,15,0.0,True
47,96372106,2,10637342,1,60,0.007947921752929688,9,9,0,9,9,9,0,9,0.0,True
48,96372106,2,10637343,1,60,0.013982295989990234,10,15,5,14,10,15,5,14,0.0,True
49,96372106,2,10637344,1,60,0.006037712097167969,13,19,6,17,13,19,6,17,0.0,True
50,96372106,2,10637345,1,60,0.02885270118713379,18,26,8,21,18,26,8,21,0.0,True
