Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,2,10637296,1,60,0.01296544075012207,0.2034909725189209,204,295,91,245,243,245,2,245,0.25,uniform,True
2,96372106,2,10637297,1,60,1.7403650283813477,0.9763309955596924,303,418,115,358,353,357,4,356,0.25,uniform,True
3,96372106,2,10637298,1,60,0.6821556091308594,3.1146881580352783,320,473,153,399,396,397,1,396,0.25,uniform,True
4,96372106,2,10637299,1,60,0.030925512313842773,1.9188649654388428,386,541,155,478,477,481,4,478,0.25,uniform,True
5,96372106,2,10637300,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,uniform,True
6,96372106,2,10637301,1,60,0.025960922241210938,0.6372890472412109,261,377,116,318,318,320,2,318,0.25,uniform,True
7,96372106,2,10637302,1,60,0.011911869049072266,0.18548345565795898,184,268,84,233,233,233,0,233,0.25,uniform,True
8,96372106,2,10637303,1,60,9.722988605499268,10.30537462234497,532,758,226,652,649,653,4,651,0.25,uniform,True
9,96372106,2,10637304,1,60,0.03793191909790039,1.5009849071502686,349,502,153,425,425,426,1,425,0.25,uniform,True
10,96372106,2,10637305,1,60,0.03592252731323242,1.5647859573364258,380,547,167,458,457,458,1,458,0.25,uniform,True
11,96372106,2,10637306,1,60,0.005983591079711914,0.07679247856140137,107,138,31,119,119,120,1,119,0.25,uniform,True
12,96372106,2,10637307,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,uniform,True
13,96372106,2,10637308,1,60,2.719731092453003,2.6967673301696777,419,600,181,519,514,516,2,515,0.25,uniform,True
14,96372106,2,10637309,1,60,0.0029916763305664062,0.018949031829833984,58,84,26,72,67,74,7,72,0.25,uniform,True
15,96372106,2,10637310,1,60,0.007979631423950195,0.11670041084289551,130,185,55,152,152,154,2,152,0.25,uniform,True
16,96372106,2,10637311,1,60,0.011998891830444336,0.26430177688598633,189,256,67,223,223,224,1,223,0.25,uniform,True
17,96372106,2,10637312,1,60,0.06785106658935547,2.5741488933563232,427,609,182,519,519,520,1,519,0.25,uniform,True
18,96372106,2,10637313,1,60,0.012000560760498047,0.20144248008728027,139,202,63,173,169,176,7,173,0.25,uniform,True
19,96372106,2,10637314,1,60,0.007036447525024414,0.07971668243408203,107,152,45,132,131,132,1,132,0.25,uniform,True
20,96372106,2,10637315,1,60,0.061776161193847656,1.792191505432129,394,584,190,485,484,489,5,485,0.25,uniform,True
21,96372106,2,10637316,1,60,0.009954214096069336,0.16855525970458984,160,238,78,203,203,203,0,203,0.25,uniform,True
22,96372106,2,10637317,1,60,0.04587745666503906,1.4780242443084717,404,579,175,492,492,492,0,492,0.25,uniform,True
23,96372106,2,10637318,1,60,0.045877695083618164,1.4760782718658447,353,528,175,449,445,450,5,449,0.25,uniform,True
24,96372106,2,10637319,1,60,0.05480170249938965,1.4610917568206787,380,546,166,469,465,472,7,469,0.25,uniform,True
25,96372106,2,10637320,1,60,0.04190540313720703,1.2107601165771484,339,490,151,416,416,417,1,416,0.25,uniform,True
26,96372106,2,10637321,1,60,0.020887374877929688,0.7898674011230469,269,381,112,338,336,339,3,338,0.25,uniform,True
27,96372106,2,10637322,1,60,0.03486299514770508,0.7659857273101807,281,393,112,331,330,333,3,331,0.25,uniform,True
28,96372106,2,10637323,1,60,0.05984663963317871,2.318739652633667,402,581,179,491,491,492,1,491,0.25,uniform,True
29,96372106,2,10637324,1,60,0.05885148048400879,3.245321750640869,465,659,194,570,570,571,1,570,0.25,uniform,True
30,96372106,2,10637325,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,uniform,True
31,96372106,2,10637326,1,60,20.00748085975647,49.47760629653931,541,760,219,655,667,667,0,667,0.25,uniform,True
32,96372106,2,10637327,1,60,0.07580828666687012,2.7965011596679688,423,613,190,515,515,516,1,515,0.25,uniform,True
33,96372106,2,10637328,1,60,0.0438838005065918,1.2696404457092285,317,471,154,402,402,402,0,402,0.25,uniform,True
34,96372106,2,10637329,1,60,0.0708611011505127,2.9819977283477783,425,606,181,520,517,522,5,520,0.25,uniform,True
35,96372106,2,10637330,1,60,4.235666751861572,2.3677256107330322,406,580,174,496,498,498,0,498,0.25,uniform,True
36,96372106,2,10637331,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,uniform,True
