Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,2,10637296,1,60,0.01296544075012207,0.46576380729675293,204,295,91,295,293,295,2,295,0.5,uniform,False
2,96372106,2,10637297,1,60,1.7403650283813477,2.444489002227783,303,418,115,418,425,425,0,425,0.5,uniform,False
3,96372106,2,10637298,1,60,0.6821556091308594,7.552849531173706,320,473,153,473,469,470,1,470,0.5,uniform,False
4,96372106,2,10637299,1,60,0.030925512313842773,2.4803993701934814,386,541,155,541,539,541,2,541,0.5,uniform,False
5,96372106,2,10637300,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,False
6,96372106,2,10637301,1,60,0.025960922241210938,1.4151945114135742,261,377,116,377,377,377,0,377,0.5,uniform,False
7,96372106,2,10637302,1,60,0.011911869049072266,0.3709878921508789,184,268,84,268,268,268,0,268,0.5,uniform,False
8,96372106,2,10637303,1,60,9.722988605499268,37.32736325263977,532,758,226,758,756,756,0,756,0.5,uniform,False
9,96372106,2,10637304,1,60,0.03793191909790039,3.056821346282959,349,502,153,502,502,502,0,502,0.5,uniform,False
10,96372106,2,10637305,1,60,0.03592252731323242,3.5444583892822266,380,547,167,547,547,547,0,547,0.5,uniform,False
11,96372106,2,10637306,1,60,0.005983591079711914,0.11170101165771484,107,138,31,138,137,138,1,138,0.5,uniform,False
12,96372106,2,10637307,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,False
13,96372106,2,10637308,1,60,2.719731092453003,34.20951700210571,419,600,181,600,597,597,0,597,0.5,uniform,False
14,96372106,2,10637309,1,60,0.0029916763305664062,0.03789830207824707,58,84,26,84,80,84,4,84,0.5,uniform,False
15,96372106,2,10637310,1,60,0.007979631423950195,0.2683074474334717,130,185,55,185,184,185,1,185,0.5,uniform,False
16,96372106,2,10637311,1,60,0.011998891830444336,0.533625602722168,189,256,67,256,256,256,0,256,0.5,uniform,False
17,96372106,2,10637312,1,60,0.06785106658935547,5.144270658493042,427,609,182,609,609,609,0,609,0.5,uniform,False
18,96372106,2,10637313,1,60,0.012000560760498047,0.3082122802734375,139,202,63,202,200,202,2,202,0.5,uniform,False
19,96372106,2,10637314,1,60,0.007036447525024414,0.12163972854614258,107,152,45,152,152,152,0,152,0.5,uniform,False
20,96372106,2,10637315,1,60,0.061776161193847656,4.001295804977417,394,584,190,584,583,584,1,584,0.5,uniform,False
21,96372106,2,10637316,1,60,0.009954214096069336,0.3640258312225342,160,238,78,238,233,238,5,238,0.5,uniform,False
22,96372106,2,10637317,1,60,0.04587745666503906,2.8104794025421143,404,579,175,579,577,579,2,579,0.5,uniform,False
23,96372106,2,10637318,1,60,0.045877695083618164,2.7018094062805176,353,528,175,528,526,528,2,528,0.5,uniform,False
24,96372106,2,10637319,1,60,0.05480170249938965,3.5764319896698,380,546,166,546,545,546,1,546,0.5,uniform,False
25,96372106,2,10637320,1,60,0.04190540313720703,1.714386224746704,339,490,151,490,490,490,0,490,0.5,uniform,False
26,96372106,2,10637321,1,60,0.020887374877929688,1.0920429229736328,269,381,112,381,380,381,1,381,0.5,uniform,False
27,96372106,2,10637322,1,60,0.03486299514770508,1.4450995922088623,281,393,112,393,390,393,3,393,0.5,uniform,False
28,96372106,2,10637323,1,60,0.05984663963317871,4.189775228500366,402,581,179,581,580,581,1,581,0.5,uniform,False
29,96372106,2,10637324,1,60,0.05885148048400879,5.384629964828491,465,659,194,659,658,659,1,659,0.5,uniform,False
30,96372106,2,10637325,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,False
31,96372106,2,10637326,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,False
32,96372106,2,10637327,1,60,0.07580828666687012,4.696436882019043,423,613,190,613,613,613,0,613,0.5,uniform,False
33,96372106,2,10637328,1,60,0.0438838005065918,1.7752854824066162,317,471,154,471,471,471,0,471,0.5,uniform,False
34,96372106,2,10637329,1,60,0.0708611011505127,4.335379123687744,425,606,181,606,606,606,0,606,0.5,uniform,False
35,96372106,2,10637330,1,60,4.235666751861572,27.73677349090576,406,580,174,580,589,589,0,589,0.5,uniform,False
36,96372106,2,10637331,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,False
37,96372106,2,10637332,1,60,0.012995243072509766,0.4727365970611572,209,295,86,295,292,295,3,295,0.5,uniform,False
38,96372106,2,10637333,1,60,0.054863929748535156,5.281904935836792,472,672,200,672,670,672,2,672,0.5,uniform,False
39,96372106,2,10637334,1,60,0.5505275726318359,2.091378688812256,314,439,125,439,436,436,0,436,0.5,uniform,False
40,96372106,2,10637335,1,60,0.02099132537841797,1.445171594619751,320,452,132,452,452,452,0,452,0.5,uniform,False
41,96372106,2,10637336,1,60,0.01695561408996582,0.9125971794128418,263,355,92,355,355,355,0,355,0.5,uniform,False
42,96372106,2,10637337,1,60,0.00997304916381836,0.32114076614379883,172,254,82,254,254,254,0,254,0.5,uniform,False
43,96372106,2,10637338,1,60,0.052860260009765625,1.8680408000946045,310,440,130,440,439,440,1,440,0.5,uniform,False
44,96372106,2,10637339,1,60,0.943467378616333,1.71940279006958,290,401,111,401,403,403,0,403,0.5,uniform,False
45,96372106,2,10637340,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,False
46,96372106,2,10637341,1,60,0.016013145446777344,0.7061104774475098,217,312,95,312,310,312,2,312,0.5,uniform,False
47,96372106,2,10637342,1,60,7.478969097137451,27.479482650756836,431,609,178,609,618,619,1,619,0.5,uniform,False
48,96372106,2,10637343,1,60,0.01592874526977539,0.7320261001586914,212,304,92,304,300,304,4,304,0.5,uniform,False
49,96372106,2,10637344,1,60,0.015954971313476562,0.5974316596984863,233,326,93,326,326,326,0,326,0.5,uniform,False
50,96372106,2,10637345,1,60,0.057845354080200195,3.326101541519165,407,582,175,582,582,582,0,582,0.5,uniform,False
