Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,2,10637296,1,60,0.01296544075012207,0.604358434677124,204,295,91,245,245,245,0,245,1.0,uniform,False
2,96372106,2,10637297,1,60,1.7403650283813477,8.353912830352783,303,418,115,358,360,360,0,360,1.0,uniform,False
3,96372106,2,10637298,1,60,0.6821556091308594,40.13161277770996,320,473,153,399,396,396,0,396,1.0,uniform,False
4,96372106,2,10637299,1,60,0.030925512313842773,3.372955083847046,386,541,155,478,478,478,0,478,1.0,uniform,False
5,96372106,2,10637300,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
6,96372106,2,10637301,1,60,0.025960922241210938,2.218074083328247,261,377,116,318,318,318,0,318,1.0,uniform,False
7,96372106,2,10637302,1,60,0.011911869049072266,0.5265960693359375,184,268,84,233,233,233,0,233,1.0,uniform,False
8,96372106,2,10637303,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
9,96372106,2,10637304,1,60,0.03793191909790039,3.982346534729004,349,502,153,425,425,425,0,425,1.0,uniform,False
10,96372106,2,10637305,1,60,0.03592252731323242,3.7220230102539062,380,547,167,458,458,458,0,458,1.0,uniform,False
11,96372106,2,10637306,1,60,0.005983591079711914,0.21146488189697266,107,138,31,119,119,119,0,119,1.0,uniform,False
12,96372106,2,10637307,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
13,96372106,2,10637308,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
14,96372106,2,10637309,1,60,0.0029916763305664062,0.05784463882446289,58,84,26,72,72,72,0,72,1.0,uniform,False
15,96372106,2,10637310,1,60,0.007979631423950195,0.31418800354003906,130,185,55,152,152,152,0,152,1.0,uniform,False
16,96372106,2,10637311,1,60,0.011998891830444336,0.7679228782653809,189,256,67,223,223,223,0,223,1.0,uniform,False
17,96372106,2,10637312,1,60,0.06785106658935547,6.3919358253479,427,609,182,519,519,519,0,519,1.0,uniform,False
18,96372106,2,10637313,1,60,0.012000560760498047,0.5704541206359863,139,202,63,173,173,173,0,173,1.0,uniform,False
19,96372106,2,10637314,1,60,0.007036447525024414,0.18152928352355957,107,152,45,132,132,132,0,132,1.0,uniform,False
20,96372106,2,10637315,1,60,0.061776161193847656,5.274833917617798,394,584,190,485,485,485,0,485,1.0,uniform,False
21,96372106,2,10637316,1,60,0.009954214096069336,0.3959217071533203,160,238,78,203,203,203,0,203,1.0,uniform,False
22,96372106,2,10637317,1,60,0.04587745666503906,3.2313034534454346,404,579,175,492,492,492,0,492,1.0,uniform,False
23,96372106,2,10637318,1,60,0.045877695083618164,3.168524742126465,353,528,175,449,449,449,0,449,1.0,uniform,False
