Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,2,10637296,1,60,0.00099945068359375,0.007977962493896484,14,23,9,20,20,20,0,20,1.0,uniform,True
2,96372106,2,10637297,1,60,0.0009965896606445312,0.004986286163330078,12,15,3,14,14,14,0,14,1.0,uniform,True
3,96372106,2,10637298,1,60,0.0059833526611328125,0.014959096908569336,20,26,6,24,24,24,0,24,1.0,uniform,True
4,96372106,2,10637299,1,60,0.012964963912963867,0.029920578002929688,16,24,8,23,22,22,0,22,1.0,uniform,True
5,96372106,2,10637300,1,60,0.0009968280792236328,0.005984067916870117,15,18,3,18,18,18,0,18,1.0,uniform,True
6,96372106,2,10637301,1,60,0.000997781753540039,0.00498652458190918,11,19,8,15,15,15,0,15,1.0,uniform,True
7,96372106,2,10637302,1,60,0.04886913299560547,0.06881523132324219,18,25,7,20,22,22,0,22,1.0,uniform,True
8,96372106,2,10637303,1,60,0.0009949207305908203,0.004989147186279297,13,18,5,18,18,18,0,18,1.0,uniform,True
9,96372106,2,10637304,1,60,0.01394963264465332,0.026914596557617188,14,23,9,18,16,16,0,16,1.0,uniform,True
10,96372106,2,10637305,1,60,0.0040051937103271484,0.011970996856689453,16,23,7,20,21,21,0,21,1.0,uniform,True
11,96372106,2,10637306,1,60,0.0009963512420654297,0.002955198287963867,6,12,6,9,9,9,0,9,1.0,uniform,True
12,96372106,2,10637307,1,60,0.001993894577026367,0.00997304916381836,14,25,11,20,20,20,0,20,1.0,uniform,True
13,96372106,2,10637308,1,60,0.0009992122650146484,0.00698089599609375,11,17,6,14,14,14,0,14,1.0,uniform,True
14,96372106,2,10637309,1,60,0.0249330997467041,0.033907413482666016,18,26,8,18,19,19,0,19,1.0,uniform,True
15,96372106,2,10637310,1,60,0.0010352134704589844,0.00498652458190918,13,23,10,17,17,17,0,17,1.0,uniform,True
16,96372106,2,10637311,1,60,0.0,0.001987457275390625,9,12,3,10,10,10,0,10,1.0,uniform,True
17,96372106,2,10637312,1,60,0.0009968280792236328,0.004987955093383789,10,14,4,11,11,11,0,11,1.0,uniform,True
18,96372106,2,10637313,1,60,0.0009975433349609375,0.006981849670410156,14,21,7,16,16,16,0,16,1.0,uniform,True
19,96372106,2,10637314,1,60,0.03291201591491699,0.04986739158630371,15,21,6,18,17,17,0,17,1.0,uniform,True
20,96372106,2,10637315,1,60,0.0009932518005371094,0.00398564338684082,10,17,7,15,15,15,0,15,1.0,uniform,True
21,96372106,2,10637316,1,60,0.0015523433685302734,0.00951695442199707,16,27,11,24,24,24,0,24,1.0,uniform,True
22,96372106,2,10637317,1,60,0.0009870529174804688,0.0059735774993896484,12,16,4,14,14,14,0,14,1.0,uniform,True
23,96372106,2,10637318,1,60,0.0010099411010742188,0.005983114242553711,10,15,5,14,14,14,0,14,1.0,uniform,True
24,96372106,2,10637319,1,60,0.0009975433349609375,0.00797891616821289,16,24,8,20,20,20,0,20,1.0,uniform,True
25,96372106,2,10637320,1,60,0.0009996891021728516,0.003988027572631836,7,10,3,9,9,9,0,9,1.0,uniform,True
26,96372106,2,10637321,1,60,0.0010042190551757812,0.0049855709075927734,13,15,2,13,13,13,0,13,1.0,uniform,True
27,96372106,2,10637322,1,60,0.001996278762817383,0.0049877166748046875,8,11,3,10,10,10,0,10,1.0,uniform,True
28,96372106,2,10637323,1,60,0.0010025501251220703,0.014965295791625977,18,24,6,20,20,20,0,20,1.0,uniform,True
29,96372106,2,10637324,1,60,0.0,0.001994609832763672,5,6,1,6,6,6,0,6,1.0,uniform,True
30,96372106,2,10637325,1,60,0.0009984970092773438,0.005984067916870117,10,17,7,13,13,13,0,13,1.0,uniform,True
31,96372106,2,10637326,1,60,0.0019931793212890625,0.007977485656738281,12,16,4,15,15,15,0,15,1.0,uniform,True
32,96372106,2,10637327,1,60,0.0029976367950439453,0.007978200912475586,10,16,6,10,11,11,0,11,1.0,uniform,True
33,96372106,2,10637328,1,60,0.002992391586303711,0.009973526000976562,12,18,6,14,14,14,0,14,1.0,uniform,True
34,96372106,2,10637329,1,60,0.0,0.001994609832763672,7,13,6,11,11,11,0,11,1.0,uniform,True
35,96372106,2,10637330,1,60,0.0,0.0019943714141845703,7,8,1,7,7,7,0,7,1.0,uniform,True
36,96372106,2,10637331,1,60,0.001010894775390625,0.004988193511962891,13,21,8,17,17,17,0,17,1.0,uniform,True
37,96372106,2,10637332,1,60,0.0009963512420654297,0.003988504409790039,9,12,3,10,10,10,0,10,1.0,uniform,True
38,96372106,2,10637333,1,60,0.0009989738464355469,0.0049877166748046875,11,16,5,12,12,12,0,12,1.0,uniform,True
39,96372106,2,10637334,1,60,0.0009944438934326172,0.004983663558959961,11,17,6,14,14,14,0,14,1.0,uniform,True
