Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,octu Min Cost,octu Max Cost,octu uncertainty,Sensing Probability,Communication
1,96372106,2,10637296,1,60,0.014959573745727539,14,23,9,20,20,0,1.0,True
2,96372106,2,10637297,1,60,0.00698089599609375,12,15,3,14,14,0,1.0,True
3,96372106,2,10637298,1,60,0.01795196533203125,20,26,6,24,24,0,1.0,True
4,96372106,2,10637299,1,60,0.029920339584350586,17,24,7,22,22,0,1.0,True
5,96372106,2,10637300,1,60,0.015971899032592773,15,18,3,18,18,0,1.0,True
6,96372106,2,10637301,1,60,0.007978200912475586,11,19,8,15,15,0,1.0,True
7,96372106,2,10637302,1,60,0.04293966293334961,18,25,7,22,22,0,1.0,True
8,96372106,2,10637303,1,60,0.01001596450805664,13,18,5,18,18,0,1.0,True
9,96372106,2,10637304,1,60,0.025930404663085938,15,22,7,16,16,0,1.0,True
10,96372106,2,10637305,1,60,0.014960050582885742,16,23,7,21,21,0,1.0,True
11,96372106,2,10637306,1,60,0.004986763000488281,6,12,6,9,9,0,1.0,True
12,96372106,2,10637307,1,60,0.008975744247436523,14,25,11,20,20,0,1.0,True
13,96372106,2,10637308,1,60,0.009973287582397461,11,17,6,14,14,0,1.0,True
14,96372106,2,10637309,1,60,0.0359041690826416,18,26,8,19,19,0,1.0,True
15,96372106,2,10637310,1,60,0.011968135833740234,13,23,10,17,17,0,1.0,True
16,96372106,2,10637311,1,60,0.002991914749145508,9,12,3,10,10,0,1.0,True
17,96372106,2,10637312,1,60,0.008993864059448242,10,14,4,11,11,0,1.0,True
18,96372106,2,10637313,1,60,0.008976459503173828,14,21,7,16,16,0,1.0,True
19,96372106,2,10637314,1,60,0.0368952751159668,16,20,4,17,17,0,1.0,True
20,96372106,2,10637315,1,60,0.006981372833251953,10,17,7,15,15,0,1.0,True
21,96372106,2,10637316,1,60,0.012964963912963867,16,27,11,24,24,0,1.0,True
22,96372106,2,10637317,1,60,0.008975505828857422,12,16,4,14,14,0,1.0,True
23,96372106,2,10637318,1,60,0.009985208511352539,10,15,5,14,14,0,1.0,True
24,96372106,2,10637319,1,60,0.008975982666015625,16,24,8,20,20,0,1.0,True
25,96372106,2,10637320,1,60,0.006981611251831055,7,10,3,9,9,0,1.0,True
26,96372106,2,10637321,1,60,0.00498652458190918,13,15,2,13,13,0,1.0,True
27,96372106,2,10637322,1,60,0.0069811344146728516,8,10,2,10,10,0,1.0,True
28,96372106,2,10637323,1,60,0.020943641662597656,18,24,6,20,20,0,1.0,True
29,96372106,2,10637324,1,60,0.002991914749145508,5,6,1,6,6,0,1.0,True
30,96372106,2,10637325,1,60,0.00997304916381836,10,17,7,13,13,0,1.0,True
31,96372106,2,10637326,1,60,0.008976221084594727,12,16,4,15,15,0,1.0,True
32,96372106,2,10637327,1,60,0.009973526000976562,11,15,4,11,11,0,1.0,True
33,96372106,2,10637328,1,60,0.01197195053100586,12,18,6,14,14,0,1.0,True
34,96372106,2,10637329,1,60,0.005984067916870117,7,13,6,11,11,0,1.0,True
35,96372106,2,10637330,1,60,0.0029916763305664062,7,8,1,7,7,0,1.0,True
36,96372106,2,10637331,1,60,0.010971307754516602,13,21,8,17,17,0,1.0,True
37,96372106,2,10637332,1,60,0.0039882659912109375,9,12,3,10,10,0,1.0,True
38,96372106,2,10637333,1,60,0.005984306335449219,11,16,5,12,12,0,1.0,True
39,96372106,2,10637334,1,60,0.008976221084594727,11,17,6,14,14,0,1.0,True
40,96372106,2,10637335,1,60,0.0019948482513427734,2,2,0,2,2,0,1.0,True
41,96372106,2,10637336,1,60,0.015957355499267578,17,22,5,19,19,0,1.0,True
42,96372106,2,10637337,1,60,0.016949892044067383,14,21,7,19,19,0,1.0,True
43,96372106,2,10637338,1,60,0.020943880081176758,16,26,10,19,19,0,1.0,True
44,96372106,2,10637339,1,60,0.024933338165283203,10,12,2,11,11,0,1.0,True
45,96372106,2,10637340,1,60,0.008976459503173828,13,20,7,16,16,0,1.0,True
46,96372106,2,10637341,1,60,0.0109710693359375,11,16,5,15,15,0,1.0,True
47,96372106,2,10637342,1,60,0.004986763000488281,9,9,0,9,9,0,1.0,True
48,96372106,2,10637343,1,60,0.006981372833251953,10,15,5,14,14,0,1.0,True
49,96372106,2,10637344,1,60,0.008977174758911133,13,19,6,17,17,0,1.0,True
50,96372106,2,10637345,1,60,0.017952680587768555,18,26,8,21,21,0,1.0,True
