Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,3,10637296,0,60,0.0009932518005371094,0.0019910335540771484,23,23,0,23,23,23,0,23,0.0,uniform,True
2,96372106,3,10637297,0,60,0.0010004043579101562,0.0009963512420654297,14,14,0,14,14,14,0,14,0.0,uniform,True
3,96372106,3,10637298,0,60,0.0019958019256591797,0.0009965896606445312,24,24,0,24,24,24,0,24,0.0,uniform,True
4,96372106,3,10637299,0,60,0.0009975433349609375,0.002994060516357422,21,21,0,21,21,21,0,21,0.0,uniform,True
5,96372106,3,10637300,0,60,0.001991748809814453,0.000997781753540039,21,21,0,21,21,21,0,21,0.0,uniform,True
6,96372106,3,10637301,0,60,0.0029921531677246094,0.000997304916381836,23,23,0,23,23,23,0,23,0.0,uniform,True
7,96372106,3,10637302,0,60,0.005983114242553711,0.0009989738464355469,24,24,0,24,24,24,0,24,0.0,uniform,True
8,96372106,3,10637303,0,60,0.004967451095581055,0.0009970664978027344,14,14,0,14,14,14,0,14,0.0,uniform,True
9,96372106,3,10637304,0,60,0.002992868423461914,0.0009980201721191406,18,18,0,18,18,18,0,18,0.0,uniform,True
10,96372106,3,10637305,0,60,0.0020198822021484375,0.0019936561584472656,19,19,0,19,19,19,0,19,0.0,uniform,True
11,96372106,3,10637306,0,60,0.0,0.000990152359008789,9,9,0,9,9,9,0,9,0.0,uniform,True
12,96372106,3,10637307,0,60,0.000997304916381836,0.0009982585906982422,18,18,0,18,18,18,0,18,0.0,uniform,True
13,96372106,3,10637308,0,60,0.0019958019256591797,0.001994609832763672,19,19,0,19,19,19,0,19,0.0,uniform,True
14,96372106,3,10637309,0,60,0.0009958744049072266,0.001988649368286133,18,18,0,18,18,18,0,18,0.0,uniform,True
15,96372106,3,10637310,0,60,0.0009641647338867188,0.0019941329956054688,22,22,0,22,22,22,0,22,0.0,uniform,True
16,96372106,3,10637311,0,60,0.001981496810913086,0.0019936561584472656,14,14,0,14,14,14,0,14,0.0,uniform,True
17,96372106,3,10637312,0,60,0.0020029544830322266,0.002992868423461914,15,15,0,15,15,15,0,15,0.0,uniform,True
18,96372106,3,10637313,0,60,0.001985788345336914,0.001992940902709961,24,24,0,24,24,24,0,24,0.0,uniform,True
19,96372106,3,10637314,0,60,0.04431891441345215,0.000997304916381836,20,20,0,20,20,20,0,20,0.0,uniform,True
20,96372106,3,10637315,0,60,0.003988504409790039,0.0009982585906982422,14,14,0,14,14,14,0,14,0.0,uniform,True
21,96372106,3,10637316,0,60,0.006978750228881836,0.0009965896606445312,19,19,0,19,19,19,0,19,0.0,uniform,True
22,96372106,3,10637317,0,60,0.0009903907775878906,0.0009927749633789062,19,19,0,19,19,19,0,19,0.0,uniform,True
23,96372106,3,10637318,0,60,0.001994609832763672,0.0009961128234863281,15,15,0,15,15,15,0,15,0.0,uniform,True
24,96372106,3,10637319,0,60,0.0019931793212890625,0.0010004043579101562,16,16,0,16,16,16,0,16,0.0,uniform,True
25,96372106,3,10637320,0,60,0.0009963512420654297,0.0009961128234863281,10,10,0,10,10,10,0,10,0.0,uniform,True
26,96372106,3,10637321,0,60,0.0009958744049072266,0.0009980201721191406,13,13,0,13,13,13,0,13,0.0,uniform,True
27,96372106,3,10637322,0,60,0.0019936561584472656,0.000997781753540039,13,13,0,13,13,13,0,13,0.0,uniform,True
28,96372106,3,10637323,0,60,0.0019953250885009766,0.0019931793212890625,20,20,0,20,20,20,0,20,0.0,uniform,True
29,96372106,3,10637324,0,60,0.0009970664978027344,0.0009927749633789062,12,12,0,12,12,12,0,12,0.0,uniform,True
30,96372106,3,10637325,0,60,0.0009963512420654297,0.0009970664978027344,14,14,0,14,14,14,0,14,0.0,uniform,True
31,96372106,3,10637326,0,60,0.01196599006652832,0.0009953975677490234,21,21,0,21,21,21,0,21,0.0,uniform,True
32,96372106,3,10637327,0,60,0.004982948303222656,0.0009961128234863281,16,16,0,16,16,16,0,16,0.0,uniform,True
33,96372106,3,10637328,0,60,0.0029954910278320312,0.0010001659393310547,16,16,0,16,16,16,0,16,0.0,uniform,True
34,96372106,3,10637329,0,60,0.0009970664978027344,0.0009963512420654297,17,17,0,17,17,17,0,17,0.0,uniform,True
35,96372106,3,10637330,0,60,0.0010006427764892578,0.0009980201721191406,8,8,0,8,8,8,0,8,0.0,uniform,True
36,96372106,3,10637331,0,60,0.0019941329956054688,0.0010025501251220703,16,16,0,16,16,16,0,16,0.0,uniform,True
37,96372106,3,10637332,0,60,0.0009982585906982422,0.0009970664978027344,12,12,0,12,12,12,0,12,0.0,uniform,True
38,96372106,3,10637333,0,60,0.000997304916381836,0.0019958019256591797,16,16,0,16,16,16,0,16,0.0,uniform,True
39,96372106,3,10637334,0,60,0.0009975433349609375,0.0020024776458740234,15,15,0,15,15,15,0,15,0.0,uniform,True
40,96372106,3,10637335,0,60,0.00099945068359375,0.0,5,5,0,5,5,5,0,5,0.0,uniform,True
41,96372106,3,10637336,0,60,0.001995563507080078,0.0029897689819335938,22,22,0,22,22,22,0,22,0.0,uniform,True
42,96372106,3,10637337,0,60,0.00598454475402832,0.0009970664978027344,15,15,0,15,15,15,0,15,0.0,uniform,True
43,96372106,3,10637338,0,60,0.001992464065551758,0.0009949207305908203,26,26,0,26,26,26,0,26,0.0,uniform,True
44,96372106,3,10637339,0,60,0.00897669792175293,0.0019931793212890625,16,16,0,16,16,16,0,16,0.0,uniform,True
45,96372106,3,10637340,0,60,0.0019960403442382812,0.0009944438934326172,15,15,0,15,15,15,0,15,0.0,uniform,True
46,96372106,3,10637341,0,60,0.0009982585906982422,0.0009989738464355469,15,15,0,15,15,15,0,15,0.0,uniform,True
47,96372106,3,10637342,0,60,0.0009958744049072266,0.0009953975677490234,13,13,0,13,13,13,0,13,0.0,uniform,True
48,96372106,3,10637343,0,60,0.0009961128234863281,0.000997304916381836,12,12,0,12,12,12,0,12,0.0,uniform,True
49,96372106,3,10637344,0,60,0.002987384796142578,0.0009980201721191406,14,14,0,14,14,14,0,14,0.0,uniform,True
