Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,4,10637296,0,60,0.021538734436035156,25,25,0,25,25,25,0,25,0.5,uniform,False
2,96372106,4,10637297,0,60,0.007495403289794922,16,16,0,16,16,16,0,16,0.5,uniform,False
3,96372106,4,10637298,0,60,0.015407562255859375,28,28,0,28,28,28,0,28,0.5,uniform,False
4,96372106,4,10637299,0,60,0.012744665145874023,23,23,0,23,23,23,0,23,0.5,uniform,False
5,96372106,4,10637300,0,60,0.015350341796875,30,30,0,30,30,30,0,30,0.5,uniform,False
6,96372106,4,10637301,0,60,0.03948092460632324,26,26,0,26,26,26,0,26,0.5,uniform,False
7,96372106,4,10637302,0,60,0.041359901428222656,32,32,0,32,32,32,0,32,0.5,uniform,False
8,96372106,4,10637303,0,60,0.024471044540405273,19,19,0,19,19,19,0,19,0.5,uniform,False
9,96372106,4,10637304,0,60,0.01958012580871582,19,19,0,19,19,19,0,19,0.5,uniform,False
10,96372106,4,10637305,0,60,0.023258686065673828,23,23,0,23,23,23,0,23,0.5,uniform,False
11,96372106,4,10637306,0,60,0.01637721061706543,18,18,0,18,18,18,0,18,0.5,uniform,False
12,96372106,4,10637307,0,60,0.013369560241699219,28,28,0,28,28,28,0,28,0.5,uniform,False
13,96372106,4,10637308,0,60,0.018687963485717773,26,26,0,26,26,26,0,26,0.5,uniform,False
14,96372106,4,10637309,0,60,0.01288914680480957,25,25,0,25,25,25,0,25,0.5,uniform,False
15,96372106,4,10637310,0,60,0.04818105697631836,33,33,0,33,33,33,0,33,0.5,uniform,False
16,96372106,4,10637311,0,60,0.017444372177124023,20,20,0,20,20,20,0,20,0.5,uniform,False
17,96372106,4,10637312,0,60,0.01124882698059082,21,21,0,21,21,21,0,21,0.5,uniform,False
18,96372106,4,10637313,0,60,0.04007148742675781,30,30,0,30,30,30,0,30,0.5,uniform,False
19,96372106,4,10637314,0,60,0.08802437782287598,27,27,0,27,27,27,0,27,0.5,uniform,False
20,96372106,4,10637315,0,60,0.023438453674316406,26,26,0,26,26,26,0,26,0.5,uniform,False
21,96372106,4,10637316,0,60,0.03273367881774902,28,28,0,28,28,28,0,28,0.5,uniform,False
22,96372106,4,10637317,0,60,0.018033504486083984,20,20,0,20,20,20,0,20,0.5,uniform,False
23,96372106,4,10637318,0,60,0.0204770565032959,20,20,0,20,20,20,0,20,0.5,uniform,False
24,96372106,4,10637319,0,60,0.02075672149658203,26,26,0,26,26,26,0,26,0.5,uniform,False
25,96372106,4,10637320,0,60,0.006326436996459961,15,15,0,15,15,15,0,15,0.5,uniform,False
26,96372106,4,10637321,0,60,0.015955448150634766,17,17,0,17,17,17,0,17,0.5,uniform,False
27,96372106,4,10637322,0,60,0.012781381607055664,17,17,0,17,17,17,0,17,0.5,uniform,False
28,96372106,4,10637323,0,60,0.030175209045410156,27,27,0,27,27,27,0,27,0.5,uniform,False
29,96372106,4,10637324,0,60,0.011527299880981445,18,18,0,18,18,18,0,18,0.5,uniform,False
30,96372106,4,10637325,0,60,0.01395273208618164,19,19,0,19,19,19,0,19,0.5,uniform,False
31,96372106,4,10637326,0,60,0.03797101974487305,26,26,0,26,26,26,0,26,0.5,uniform,False
32,96372106,4,10637327,0,60,0.028504133224487305,22,22,0,22,22,22,0,22,0.5,uniform,False
33,96372106,4,10637328,0,60,0.017500638961791992,25,25,0,25,25,25,0,25,0.5,uniform,False
34,96372106,4,10637329,0,60,0.012484073638916016,21,21,0,21,21,21,0,21,0.5,uniform,False
35,96372106,4,10637330,0,60,0.008780479431152344,15,15,0,15,15,15,0,15,0.5,uniform,False
36,96372106,4,10637331,0,60,0.014928102493286133,18,18,0,18,18,18,0,18,0.5,uniform,False
37,96372106,4,10637332,0,60,0.01249241828918457,17,17,0,17,17,17,0,17,0.5,uniform,False
38,96372106,4,10637333,0,60,0.014594793319702148,21,21,0,21,21,21,0,21,0.5,uniform,False
39,96372106,4,10637334,0,60,0.010374307632446289,21,21,0,21,21,21,0,21,0.5,uniform,False
40,96372106,4,10637335,0,60,0.004335641860961914,8,8,0,8,8,8,0,8,0.5,uniform,False
41,96372106,4,10637336,0,60,0.02243781089782715,34,34,0,34,34,34,0,34,0.5,uniform,False
42,96372106,4,10637337,0,60,0.019633054733276367,20,20,0,20,20,20,0,20,0.5,uniform,False
43,96372106,4,10637338,0,60,0.01940751075744629,29,29,0,29,29,29,0,29,0.5,uniform,False
44,96372106,4,10637339,0,60,0.024392127990722656,20,20,0,20,20,20,0,20,0.5,uniform,False
45,96372106,4,10637340,0,60,0.020386457443237305,24,24,0,24,24,24,0,24,0.5,uniform,False
46,96372106,4,10637341,0,60,0.009561777114868164,18,18,0,18,18,18,0,18,0.5,uniform,False
47,96372106,4,10637342,0,60,0.01471567153930664,17,17,0,17,17,17,0,17,0.5,uniform,False
48,96372106,4,10637343,0,60,0.008486032485961914,18,18,0,18,18,18,0,18,0.5,uniform,False
49,96372106,4,10637344,0,60,0.020433902740478516,21,21,0,21,21,21,0,21,0.5,uniform,False
50,96372106,4,10637345,0,60,0.013651847839355469,28,28,0,28,28,28,0,28,0.5,uniform,False
