Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Communication
1,96372106,5,10637296,1,60,0.01794600486755371,34,49,15,38,39,42,3,40,0.5,True
2,96372106,5,10637297,1,60,0.004343986511230469,25,31,6,29,28,29,1,29,0.5,True
3,96372106,5,10637298,1,60,0.010760068893432617,37,45,8,44,42,45,3,44,0.5,True
4,96372106,5,10637299,1,60,0.395827054977417,39,51,12,43,45,46,1,45,0.5,True
5,96372106,5,10637300,1,60,0.13016271591186523,43,53,10,47,46,46,0,46,0.5,True
6,96372106,5,10637301,1,60,0.024116039276123047,30,44,14,37,35,37,2,35,0.5,True
7,96372106,5,10637302,1,60,0.04126453399658203,49,69,20,59,57,58,1,57,0.5,True
8,96372106,5,10637303,1,60,0.0045850276947021484,28,39,11,29,29,31,2,29,0.5,True
9,96372106,5,10637304,1,60,0.020374774932861328,28,38,10,32,30,33,3,32,0.5,True
10,96372106,5,10637305,1,60,0.0910494327545166,36,44,8,39,37,38,1,38,0.5,True
11,96372106,5,10637306,1,60,0.018363237380981445,32,49,17,47,43,46,3,45,0.5,True
12,96372106,5,10637307,1,60,0.052366018295288086,34,48,14,42,41,42,1,42,0.5,True
13,96372106,5,10637308,1,60,0.04129219055175781,35,46,11,41,37,42,5,41,0.5,True
14,96372106,5,10637309,1,60,0.030235767364501953,30,43,13,34,33,35,2,34,0.5,True
15,96372106,5,10637310,1,60,0.42472052574157715,44,54,10,49,47,50,3,48,0.5,True
16,96372106,5,10637311,1,60,0.004783153533935547,31,42,11,37,32,37,5,37,0.5,True
17,96372106,5,10637312,1,60,0.021755695343017578,27,34,7,31,28,28,0,28,0.5,True
18,96372106,5,10637313,1,60,0.06166243553161621,36,48,12,41,41,43,2,41,0.5,True
19,96372106,5,10637314,1,60,0.07697558403015137,34,43,9,39,36,38,2,38,0.5,True
20,96372106,5,10637315,1,60,0.013756036758422852,36,53,17,44,41,45,4,44,0.5,True
21,96372106,5,10637316,1,60,0.059154510498046875,43,62,19,54,53,53,0,53,0.5,True
22,96372106,5,10637317,1,60,0.013538837432861328,30,39,9,36,35,37,2,36,0.5,True
23,96372106,5,10637318,1,60,0.01154947280883789,26,34,8,31,29,31,2,31,0.5,True
24,96372106,5,10637319,1,60,0.03679847717285156,40,52,12,48,44,46,2,45,0.5,True
25,96372106,5,10637320,1,60,0.013067245483398438,26,34,8,29,28,29,1,29,0.5,True
26,96372106,5,10637321,1,60,0.0038754940032958984,25,33,8,27,27,27,0,27,0.5,True
27,96372106,5,10637322,1,60,0.09732723236083984,30,38,8,33,31,33,2,31,0.5,True
28,96372106,5,10637323,1,60,0.01813530921936035,33,44,11,38,36,44,8,38,0.5,True
29,96372106,5,10637324,1,60,0.005518198013305664,27,36,9,33,32,33,1,33,0.5,True
30,96372106,5,10637325,1,60,0.010954141616821289,24,37,13,32,28,32,4,30,0.5,True
31,96372106,5,10637326,1,60,0.0942223072052002,37,49,12,43,41,43,2,43,0.5,True
32,96372106,5,10637327,1,60,0.057114362716674805,37,47,10,41,40,41,1,40,0.5,True
33,96372106,5,10637328,1,60,0.0250704288482666,39,52,13,45,42,46,4,44,0.5,True
34,96372106,5,10637329,1,60,0.08890485763549805,35,46,11,41,38,41,3,40,0.5,True
35,96372106,5,10637330,1,60,0.004772186279296875,24,32,8,28,28,28,0,28,0.5,True
36,96372106,5,10637331,1,60,0.025700092315673828,24,33,9,28,27,29,2,28,0.5,True
37,96372106,5,10637332,1,60,0.010901927947998047,27,39,12,32,30,34,4,32,0.5,True
38,96372106,5,10637333,1,60,0.09044361114501953,34,43,9,38,36,40,4,38,0.5,True
39,96372106,5,10637334,1,60,0.014911651611328125,32,45,13,41,36,40,4,39,0.5,True
40,96372106,5,10637335,1,60,0.002120494842529297,14,16,2,15,15,15,0,15,0.5,True
41,96372106,5,10637336,1,60,0.08589601516723633,46,56,10,52,51,54,3,52,0.5,True
42,96372106,5,10637337,1,60,0.015564441680908203,30,39,9,32,29,35,6,30,0.5,True
43,96372106,5,10637338,1,60,0.042487382888793945,35,43,8,40,38,44,6,40,0.5,True
44,96372106,5,10637339,1,60,0.08227229118347168,33,41,8,38,37,39,2,37,0.5,True
45,96372106,5,10637340,1,60,0.009247779846191406,29,41,12,34,33,35,2,34,0.5,True
46,96372106,5,10637341,1,60,0.004873752593994141,24,34,10,30,29,30,1,30,0.5,True
47,96372106,5,10637342,1,60,0.009537935256958008,29,36,7,34,34,34,0,34,0.5,True
48,96372106,5,10637343,1,60,0.007096290588378906,27,36,9,33,31,33,2,33,0.5,True
49,96372106,5,10637344,1,60,0.014594793319702148,29,41,12,38,36,38,2,38,0.5,True
50,96372106,5,10637345,1,60,0.04976058006286621,44,58,14,50,51,53,2,53,0.5,True
