Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,7,10637296,0,60,0.057888031005859375,0.04810500144958496,39,39,0,39,39,39,0,39,0.25,uniform,False
2,96372106,7,10637297,0,60,0.035996437072753906,0.08545970916748047,40,40,0,40,40,40,0,40,0.25,uniform,False
3,96372106,7,10637298,0,60,0.010460376739501953,0.037142276763916016,38,38,0,38,38,38,0,38,0.25,uniform,False
4,96372106,7,10637299,0,60,0.03648638725280762,0.030126333236694336,51,51,0,51,51,51,0,51,0.25,uniform,False
5,96372106,7,10637300,0,60,0.0393218994140625,0.05544853210449219,51,51,0,51,51,51,0,51,0.25,uniform,False
6,96372106,7,10637301,0,60,0.06805849075317383,0.032907724380493164,33,33,0,33,33,33,0,33,0.25,uniform,False
7,96372106,7,10637302,0,60,0.04237627983093262,0.06385016441345215,50,50,0,50,50,50,0,50,0.25,uniform,False
8,96372106,7,10637303,0,60,0.07990431785583496,0.04176926612854004,39,39,0,39,38,38,0,38,0.25,uniform,False
9,96372106,7,10637304,0,60,0.030469179153442383,0.047385454177856445,32,32,0,32,32,32,0,32,0.25,uniform,False
10,96372106,7,10637305,0,60,0.09875321388244629,0.0698246955871582,38,38,0,38,38,38,0,38,0.25,uniform,False
11,96372106,7,10637306,0,60,0.08808040618896484,0.08135581016540527,43,43,0,43,39,39,0,39,0.25,uniform,False
12,96372106,7,10637307,0,60,0.05072474479675293,0.03303337097167969,49,49,0,49,49,49,0,49,0.25,uniform,False
13,96372106,7,10637308,0,60,0.1313776969909668,0.10005998611450195,53,53,0,53,48,48,0,48,0.25,uniform,False
14,96372106,7,10637309,0,60,0.00791025161743164,0.03256058692932129,37,37,0,37,37,37,0,37,0.25,uniform,False
15,96372106,7,10637310,0,60,0.08382892608642578,0.04476809501647949,52,52,0,52,47,47,0,47,0.25,uniform,False
16,96372106,7,10637311,0,60,0.06003308296203613,0.058014869689941406,43,43,0,43,43,43,0,43,0.25,uniform,False
17,96372106,7,10637312,0,60,0.07563376426696777,0.02376532554626465,31,31,0,31,31,31,0,31,0.25,uniform,False
18,96372106,7,10637313,0,60,0.08654189109802246,0.056268930435180664,45,45,0,45,43,43,0,43,0.25,uniform,False
19,96372106,7,10637314,0,60,0.1823265552520752,0.0432894229888916,49,49,0,49,48,48,0,48,0.25,uniform,False
20,96372106,7,10637315,0,60,0.13192129135131836,0.03462362289428711,59,59,0,59,54,54,0,54,0.25,uniform,False
21,96372106,7,10637316,0,60,0.25374722480773926,0.06629371643066406,51,51,0,51,50,50,0,50,0.25,uniform,False
22,96372106,7,10637317,0,60,0.02872300148010254,0.06579995155334473,43,43,0,43,43,43,0,43,0.25,uniform,False
23,96372106,7,10637318,0,60,0.022626876831054688,0.023632287979125977,30,30,0,30,30,30,0,30,0.25,uniform,False
24,96372106,7,10637319,0,60,0.12483668327331543,0.0353701114654541,54,54,0,54,54,54,0,54,0.25,uniform,False
25,96372106,7,10637320,0,60,0.007015705108642578,0.03141379356384277,28,28,0,28,28,28,0,28,0.25,uniform,False
26,96372106,7,10637321,0,60,0.03709006309509277,0.019428491592407227,34,34,0,34,34,34,0,34,0.25,uniform,False
