Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,7,10637296,2,60,0.6292195320129395,49,80,31,61,59,67,8,61,0.25,uniform,False
2,96372106,7,10637297,2,60,5.4105048179626465,54,75,21,62,62,68,6,62,0.25,uniform,False
3,96372106,7,10637298,2,60,2.563178539276123,55,80,25,68,61,73,12,68,0.25,uniform,False
4,96372106,7,10637299,2,60,23.079368591308594,75,103,28,92,83,98,15,91,0.25,uniform,False
5,96372106,7,10637300,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,uniform,False
6,96372106,7,10637301,2,60,0.30090904235839844,44,69,25,58,51,66,15,58,0.25,uniform,False
7,96372106,7,10637302,2,60,1.4467196464538574,68,99,31,83,78,88,10,83,0.25,uniform,False
8,96372106,7,10637303,2,60,0.21791338920593262,47,77,30,63,55,72,17,63,0.25,uniform,False
9,96372106,7,10637304,2,60,0.21161317825317383,48,69,21,58,56,60,4,58,0.25,uniform,False
10,96372106,7,10637305,2,60,7.2085466384887695,55,83,28,66,61,72,11,66,0.25,uniform,False
11,96372106,7,10637306,2,60,1.4544506072998047,57,80,23,72,69,73,4,72,0.25,uniform,False
12,96372106,7,10637307,2,60,9.799926519393921,70,99,29,85,81,92,11,85,0.25,uniform,False
13,96372106,7,10637308,2,60,1.3803460597991943,66,99,33,85,78,89,11,83,0.25,uniform,False
14,96372106,7,10637309,2,60,0.2633488178253174,53,76,23,67,55,74,19,67,0.25,uniform,False
15,96372106,7,10637310,2,60,28.148082971572876,71,105,34,86,82,88,6,85,0.25,uniform,False
16,96372106,7,10637311,2,60,0.05888700485229492,55,85,30,69,63,80,17,69,0.25,uniform,False
17,96372106,7,10637312,2,60,0.6102385520935059,42,63,21,53,50,55,5,53,0.25,uniform,False
18,96372106,7,10637313,2,60,5.231142044067383,62,92,30,75,72,83,11,75,0.25,uniform,False
19,96372106,7,10637314,2,60,3.4251725673675537,72,100,28,86,79,91,12,86,0.25,uniform,False
20,96372106,7,10637315,2,60,5.500548839569092,69,106,37,89,77,97,20,89,0.25,uniform,False
21,96372106,7,10637316,2,60,7.696301221847534,74,104,30,88,83,92,9,88,0.25,uniform,False
22,96372106,7,10637317,2,60,0.1865553855895996,60,87,27,75,69,75,6,75,0.25,uniform,False
23,96372106,7,10637318,2,60,0.055684804916381836,39,61,22,51,49,55,6,51,0.25,uniform,False
24,96372106,7,10637319,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,uniform,False
25,96372106,7,10637320,2,60,0.11037039756774902,40,63,23,54,46,60,14,54,0.25,uniform,False
26,96372106,7,10637321,2,60,0.29970288276672363,46,72,26,54,47,62,15,53,0.25,uniform,False
27,96372106,7,10637322,2,60,8.706551313400269,59,85,26,71,67,75,8,71,0.25,uniform,False
28,96372106,7,10637323,2,60,1.4220044612884521,62,82,20,74,70,77,7,74,0.25,uniform,False
29,96372106,7,10637324,2,60,2.573060989379883,50,67,17,54,52,56,4,54,0.25,uniform,False
30,96372106,7,10637325,2,60,1.2601447105407715,54,74,20,60,59,66,7,60,0.25,uniform,False
31,96372106,7,10637326,2,60,3.92988657951355,71,103,32,89,81,91,10,88,0.25,uniform,False
32,96372106,7,10637327,2,60,0.08159255981445312,50,80,30,62,56,69,13,62,0.25,uniform,False
33,96372106,7,10637328,2,60,0.579512357711792,65,94,29,81,77,83,6,80,0.25,uniform,False
34,96372106,7,10637329,2,60,0.29848408699035645,58,81,23,70,63,77,14,70,0.25,uniform,False
35,96372106,7,10637330,2,60,0.2753784656524658,55,87,32,71,70,72,2,71,0.25,uniform,False
36,96372106,7,10637331,2,60,0.835911750793457,43,66,23,55,50,61,11,55,0.25,uniform,False
37,96372106,7,10637332,2,60,0.73099684715271,45,64,19,52,47,61,14,52,0.25,uniform,False
38,96372106,7,10637333,2,60,14.153177499771118,56,74,18,63,61,67,6,62,0.25,uniform,False
39,96372106,7,10637334,2,60,0.08435797691345215,60,86,26,75,67,85,18,75,0.25,uniform,False
40,96372106,7,10637335,2,60,1.0025544166564941,42,69,27,57,47,62,15,57,0.25,uniform,False
41,96372106,7,10637336,2,60,0.6987776756286621,72,110,38,93,86,102,16,93,0.25,uniform,False
42,96372106,7,10637337,2,60,0.17619013786315918,39,58,19,46,42,51,9,46,0.25,uniform,False
43,96372106,7,10637338,2,60,20.867278575897217,55,82,27,70,64,73,9,70,0.25,uniform,False
44,96372106,7,10637339,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,uniform,False
45,96372106,7,10637340,2,60,0.3658106327056885,49,76,27,64,54,72,18,64,0.25,uniform,False
46,96372106,7,10637341,2,60,0.09758758544921875,48,77,29,66,59,76,17,66,0.25,uniform,False
47,96372106,7,10637342,2,60,0.6738851070404053,52,86,34,63,55,72,17,61,0.25,uniform,False
48,96372106,7,10637343,2,60,0.0464777946472168,37,58,21,47,42,51,9,47,0.25,uniform,False
49,96372106,7,10637344,2,60,2.9414656162261963,49,70,21,62,55,66,11,62,0.25,uniform,False
50,96372106,7,10637345,2,60,4.229227781295776,67,106,39,87,81,91,10,87,0.25,uniform,False
