Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution, Communication
1,96372106,9,10637296,2,60,41.944825649261475,60,95,35,95,93,93,0,93,1.0,max,True
2,96372106,9,10637297,2,60,4.451090097427368,80,110,30,110,105,105,0,105,1.0,max,True
3,96372106,9,10637298,2,60,39.18804144859314,77,104,27,104,103,103,0,103,1.0,max,True
4,96372106,9,10637299,2,60,13.878713607788086,85,114,29,114,111,111,0,111,1.0,max,True
5,96372106,9,10637300,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,True
6,96372106,9,10637301,2,60,78.95835185050964,61,90,29,90,88,88,0,88,1.0,max,True
7,96372106,9,10637302,2,60,39.07511901855469,92,128,36,128,129,129,0,129,1.0,max,True
8,96372106,9,10637303,2,60,0.18746018409729004,57,95,38,95,96,96,0,96,1.0,max,True
9,96372106,9,10637304,2,60,0.13564205169677734,57,80,23,80,80,80,0,80,1.0,max,True
10,96372106,9,10637305,2,60,44.6860077381134,84,117,33,117,115,115,0,115,1.0,max,True
11,96372106,9,10637306,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,True
12,96372106,9,10637307,2,60,61.0239794254303,85,119,34,119,112,112,0,112,1.0,max,True
13,96372106,9,10637308,2,60,48.21506381034851,88,127,39,127,120,120,0,120,1.0,max,True
14,96372106,9,10637309,2,60,0.4158966541290283,80,104,24,104,105,105,0,105,1.0,max,True
15,96372106,9,10637310,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,True
16,96372106,9,10637311,2,60,3.250478744506836,74,106,32,106,107,107,0,107,1.0,max,True
17,96372106,9,10637312,2,60,10.652472257614136,63,88,25,88,85,85,0,85,1.0,max,True
18,96372106,9,10637313,2,60,2.830458879470825,82,117,35,117,119,119,0,119,1.0,max,True
19,96372106,9,10637314,2,60,9.607988834381104,89,124,35,124,119,119,0,119,1.0,max,True
20,96372106,9,10637315,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,True
21,96372106,9,10637316,2,60,17.726671934127808,82,116,34,116,115,115,0,115,1.0,max,True
22,96372106,9,10637317,2,60,0.25956058502197266,76,111,35,111,111,111,0,111,1.0,max,True
23,96372106,9,10637318,2,60,0.0786287784576416,58,90,32,90,89,89,0,89,1.0,max,True
24,96372106,9,10637319,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,True
25,96372106,9,10637320,2,60,0.3359677791595459,57,88,31,88,87,87,0,87,1.0,max,True
26,96372106,9,10637321,2,60,1.1920108795166016,67,99,32,99,98,98,0,98,1.0,max,True
27,96372106,9,10637322,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,True
28,96372106,9,10637323,2,60,12.364644289016724,85,112,27,112,112,112,0,112,1.0,max,True
29,96372106,9,10637324,2,60,1.6635613441467285,59,82,23,82,79,79,0,79,1.0,max,True
30,96372106,9,10637325,2,60,21.154096126556396,78,106,28,106,107,107,0,107,1.0,max,True
31,96372106,9,10637326,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,True
32,96372106,9,10637327,2,60,0.14595293998718262,58,94,36,94,88,88,0,88,1.0,max,True
33,96372106,9,10637328,2,60,0.6868066787719727,71,100,29,100,105,105,0,105,1.0,max,True
34,96372106,9,10637329,2,60,0.5822939872741699,77,112,35,112,113,113,0,113,1.0,max,True
35,96372106,9,10637330,2,60,12.434231042861938,76,113,37,113,117,117,0,117,1.0,max,True
36,96372106,9,10637331,2,60,2.0081024169921875,62,92,30,92,93,93,0,93,1.0,max,True
37,96372106,9,10637332,2,60,0.9760227203369141,55,75,20,75,71,71,0,71,1.0,max,True
38,96372106,9,10637333,2,60,18.8286612033844,74,104,30,104,102,102,0,102,1.0,max,True
39,96372106,9,10637334,2,60,0.3587024211883545,75,103,28,103,110,110,0,110,1.0,max,True
40,96372106,9,10637335,2,60,2.390839099884033,68,100,32,100,99,99,0,99,1.0,max,True
41,96372106,9,10637336,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,True
42,96372106,9,10637337,2,60,0.18533086776733398,55,77,22,77,77,77,0,77,1.0,max,True
43,96372106,9,10637338,2,60,53.26390337944031,67,96,29,96,99,99,0,99,1.0,max,True
44,96372106,9,10637339,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,True
45,96372106,9,10637340,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,True
46,96372106,9,10637341,2,60,0.2653164863586426,60,93,33,93,93,93,0,93,1.0,max,True
47,96372106,9,10637342,2,60,1.4580578804016113,72,115,43,115,108,108,0,108,1.0,max,True
48,96372106,9,10637343,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,True
49,96372106,9,10637344,2,60,14.198026418685913,68,101,33,101,101,101,0,101,1.0,max,True
50,96372106,9,10637345,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,max,True
