Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution, Communication
1,96372106,9,10637296,2,60,40.9325156211853,60,95,35,60,61,61,0,61,1.0,min,True
2,96372106,9,10637297,2,60,4.276596546173096,80,110,30,80,77,77,0,77,1.0,min,True
3,96372106,9,10637298,2,60,37.165531396865845,77,104,27,77,74,74,0,74,1.0,min,True
4,96372106,9,10637299,2,60,11.027496099472046,85,114,29,85,79,79,0,79,1.0,min,True
5,96372106,9,10637300,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,min,True
6,96372106,9,10637301,2,60,64.65496301651001,61,90,29,61,57,57,0,57,1.0,min,True
7,96372106,9,10637302,2,60,34.233469009399414,92,128,36,92,87,87,0,87,1.0,min,True
8,96372106,9,10637303,2,60,0.13066458702087402,57,95,38,57,54,54,0,54,1.0,min,True
9,96372106,9,10637304,2,60,0.12566542625427246,57,80,23,57,55,55,0,55,1.0,min,True
10,96372106,9,10637305,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,min,True
11,96372106,9,10637306,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,min,True
12,96372106,9,10637307,2,60,52.74688196182251,85,119,34,85,78,78,0,78,1.0,min,True
13,96372106,9,10637308,2,60,40.724053621292114,88,127,39,88,77,77,0,77,1.0,min,True
14,96372106,9,10637309,2,60,0.4787178039550781,80,104,24,80,76,76,0,76,1.0,min,True
15,96372106,9,10637310,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,min,True
16,96372106,9,10637311,2,60,3.0278570652008057,74,106,32,74,71,71,0,71,1.0,min,True
17,96372106,9,10637312,2,60,9.592374801635742,63,88,25,63,63,63,0,63,1.0,min,True
18,96372106,9,10637313,2,60,2.819457530975342,82,117,35,82,75,75,0,75,1.0,min,True
19,96372106,9,10637314,2,60,8.219066381454468,89,124,35,89,85,85,0,85,1.0,min,True
20,96372106,9,10637315,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,min,True
21,96372106,9,10637316,2,60,14.23397445678711,82,116,34,82,83,83,0,83,1.0,min,True
22,96372106,9,10637317,2,60,0.21247076988220215,76,111,35,76,76,76,0,76,1.0,min,True
23,96372106,9,10637318,2,60,0.09275174140930176,58,90,32,58,57,57,0,57,1.0,min,True
24,96372106,9,10637319,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,min,True
25,96372106,9,10637320,2,60,0.20943808555603027,57,88,31,57,56,56,0,56,1.0,min,True
26,96372106,9,10637321,2,60,0.8986320495605469,67,99,32,67,66,66,0,66,1.0,min,True
27,96372106,9,10637322,2,60,58.887479305267334,79,108,29,79,71,71,0,71,1.0,min,True
28,96372106,9,10637323,2,60,8.580055952072144,85,112,27,85,83,83,0,83,1.0,min,True
29,96372106,9,10637324,2,60,1.266646385192871,59,82,23,59,55,55,0,55,1.0,min,True
30,96372106,9,10637325,2,60,15.330963611602783,78,106,28,78,72,72,0,72,1.0,min,True
31,96372106,9,10637326,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,min,True
32,96372106,9,10637327,2,60,0.1436161994934082,58,94,36,58,58,58,0,58,1.0,min,True
33,96372106,9,10637328,2,60,2.8464391231536865,71,100,29,71,75,75,0,75,1.0,min,True
34,96372106,9,10637329,2,60,0.4488351345062256,77,112,35,77,72,72,0,72,1.0,min,True
35,96372106,9,10637330,2,60,8.782554388046265,76,113,37,76,74,74,0,74,1.0,min,True
36,96372106,9,10637331,2,60,1.6037442684173584,62,92,30,62,59,59,0,59,1.0,min,True
37,96372106,9,10637332,2,60,0.7590243816375732,55,75,20,55,52,52,0,52,1.0,min,True
38,96372106,9,10637333,2,60,14.050445318222046,74,104,30,74,69,69,0,69,1.0,min,True
39,96372106,9,10637334,2,60,0.4388258457183838,75,103,28,75,75,75,0,75,1.0,min,True
40,96372106,9,10637335,2,60,2.1263465881347656,68,100,32,68,68,68,0,68,1.0,min,True
41,96372106,9,10637336,2,60,79.29787421226501,103,137,34,103,91,91,0,91,1.0,min,True
42,96372106,9,10637337,2,60,0.22440004348754883,55,77,22,55,55,55,0,55,1.0,min,True
43,96372106,9,10637338,2,60,39.89332699775696,67,96,29,67,65,65,0,65,1.0,min,True
44,96372106,9,10637339,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,min,True
45,96372106,9,10637340,2,60,89.89239072799683,66,98,32,66,63,63,0,63,1.0,min,True
46,96372106,9,10637341,2,60,0.33011507987976074,60,93,33,60,59,59,0,59,1.0,min,True
47,96372106,9,10637342,2,60,1.3583643436431885,72,115,43,72,69,69,0,69,1.0,min,True
48,96372106,9,10637343,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,min,True
49,96372106,9,10637344,2,60,14.696918249130249,68,101,33,68,68,68,0,68,1.0,min,True
50,96372106,9,10637345,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,min,True
