Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution, Communication
1,96372106,9,10637296,2,60,41.75332760810852,60,95,35,83,79,79,0,79,1.0,uniform,True
2,96372106,9,10637297,2,60,4.469043731689453,80,110,30,96,93,93,0,93,1.0,uniform,True
3,96372106,9,10637298,2,60,37.8367133140564,77,104,27,91,88,88,0,88,1.0,uniform,True
4,96372106,9,10637299,2,60,11.111291408538818,85,114,29,97,95,95,0,95,1.0,uniform,True
5,96372106,9,10637300,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,True
6,96372106,9,10637301,2,60,66.17995500564575,61,90,29,72,71,71,0,71,1.0,uniform,True
7,96372106,9,10637302,2,60,35.25767755508423,92,128,36,112,105,105,0,105,1.0,uniform,True
8,96372106,9,10637303,2,60,0.16851282119750977,57,95,38,77,74,74,0,74,1.0,uniform,True
9,96372106,9,10637304,2,60,0.13258981704711914,57,80,23,66,65,65,0,65,1.0,uniform,True
10,96372106,9,10637305,2,60,36.98307681083679,84,117,33,100,95,95,0,95,1.0,uniform,True
11,96372106,9,10637306,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,True
12,96372106,9,10637307,2,60,53.76820683479309,85,119,34,102,99,99,0,99,1.0,uniform,True
13,96372106,9,10637308,2,60,40.715126037597656,88,127,39,109,105,105,0,105,1.0,uniform,True
14,96372106,9,10637309,2,60,0.4368555545806885,80,104,24,91,88,88,0,88,1.0,uniform,True
15,96372106,9,10637310,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,True
16,96372106,9,10637311,2,60,3.2183783054351807,74,106,32,89,88,88,0,88,1.0,uniform,True
17,96372106,9,10637312,2,60,10.070078372955322,63,88,25,78,79,79,0,79,1.0,uniform,True
18,96372106,9,10637313,2,60,2.937807083129883,82,117,35,103,100,100,0,100,1.0,uniform,True
19,96372106,9,10637314,2,60,9.124617576599121,89,124,35,108,111,111,0,111,1.0,uniform,True
20,96372106,9,10637315,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,True
21,96372106,9,10637316,2,60,14.188063383102417,82,116,34,101,103,103,0,103,1.0,uniform,True
22,96372106,9,10637317,2,60,0.1595761775970459,76,111,35,96,98,98,0,98,1.0,uniform,True
23,96372106,9,10637318,2,60,0.06183481216430664,58,90,32,72,73,73,0,73,1.0,uniform,True
24,96372106,9,10637319,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,True
25,96372106,9,10637320,2,60,0.244370698928833,57,88,31,68,67,67,0,67,1.0,uniform,True
26,96372106,9,10637321,2,60,0.9604854583740234,67,99,32,83,82,82,0,82,1.0,uniform,True
27,96372106,9,10637322,2,60,62.1113977432251,79,108,29,93,87,87,0,87,1.0,uniform,True
28,96372106,9,10637323,2,60,8.685794353485107,85,112,27,101,98,98,0,98,1.0,uniform,True
29,96372106,9,10637324,2,60,1.3014934062957764,59,82,23,73,65,65,0,65,1.0,uniform,True
30,96372106,9,10637325,2,60,16.10590958595276,78,106,28,87,85,85,0,85,1.0,uniform,True
31,96372106,9,10637326,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,True
32,96372106,9,10637327,2,60,0.12665963172912598,58,94,36,74,70,70,0,70,1.0,uniform,True
33,96372106,9,10637328,2,60,0.9524316787719727,71,100,29,83,82,82,0,82,1.0,uniform,True
34,96372106,9,10637329,2,60,0.37902092933654785,77,112,35,94,94,94,0,94,1.0,uniform,True
35,96372106,9,10637330,2,60,8.561065673828125,76,113,37,97,101,101,0,101,1.0,uniform,True
36,96372106,9,10637331,2,60,1.4301936626434326,62,92,30,79,80,80,0,80,1.0,uniform,True
37,96372106,9,10637332,2,60,0.9045603275299072,55,75,20,62,59,59,0,59,1.0,uniform,True
38,96372106,9,10637333,2,60,13.88082766532898,74,104,30,88,86,86,0,86,1.0,uniform,True
39,96372106,9,10637334,2,60,0.27329206466674805,75,103,28,92,92,92,0,92,1.0,uniform,True
40,96372106,9,10637335,2,60,2.1572670936584473,68,100,32,81,80,80,0,80,1.0,uniform,True
41,96372106,9,10637336,2,60,83.42346739768982,103,137,34,120,115,115,0,115,1.0,uniform,True
42,96372106,9,10637337,2,60,0.1515955924987793,55,77,22,67,68,68,0,68,1.0,uniform,True
43,96372106,9,10637338,2,60,43.02371168136597,67,96,29,82,79,79,0,79,1.0,uniform,True
44,96372106,9,10637339,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,True
45,96372106,9,10637340,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,True
46,96372106,9,10637341,2,60,0.2533416748046875,60,93,33,75,74,74,0,74,1.0,uniform,True
47,96372106,9,10637342,2,60,1.2277157306671143,72,115,43,95,93,93,0,93,1.0,uniform,True
48,96372106,9,10637343,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,True
49,96372106,9,10637344,2,60,14.023511409759521,68,101,33,84,81,81,0,81,1.0,uniform,True
50,96372106,9,10637345,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,True
