Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,3,10637296,2,60,0.11474084854125977,11.565049409866333,575,1009,434,800,800,801,1,800,0.75,uniform,True
2,96372106,3,10637297,2,60,2.849762439727783,7.6219587326049805,485,849,364,645,652,652,0,652,0.75,uniform,True
3,96372106,3,10637298,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,True
4,96372106,3,10637299,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,True
5,96372106,3,10637300,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,True
6,96372106,3,10637301,2,60,47.43600654602051,7.791216611862183,337,580,243,457,462,462,0,462,0.75,uniform,True
7,96372106,3,10637302,2,60,1.343367099761963,51.63209843635559,442,765,323,587,593,596,3,593,0.75,uniform,True
8,96372106,3,10637303,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,True
9,96372106,3,10637304,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,True
10,96372106,3,10637305,2,60,0.10176420211791992,8.057514429092407,464,821,357,645,645,645,0,645,0.75,uniform,True
11,96372106,3,10637306,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,True
12,96372106,3,10637307,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,True
13,96372106,3,10637308,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,True
14,96372106,3,10637309,2,60,0.011991024017333984,0.43483686447143555,157,270,113,213,213,213,0,213,0.75,uniform,True
15,96372106,3,10637310,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,True
