Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,4,10637296,0,60,0.11070418357849121,7.166193246841431,647,647,0,647,647,647,0,647,1.0,uniform,False
2,96372106,4,10637297,0,60,0.10278058052062988,4.054989814758301,547,547,0,547,547,547,0,547,1.0,uniform,False
3,96372106,4,10637298,0,60,0.22661638259887695,8.991078853607178,781,781,0,781,781,781,0,781,1.0,uniform,False
4,96372106,4,10637299,0,60,0.0339658260345459,3.8152871131896973,575,575,0,575,575,575,0,575,1.0,uniform,False
5,96372106,4,10637300,0,60,0.08576035499572754,3.5447771549224854,538,538,0,538,538,538,0,538,1.0,uniform,False
6,96372106,4,10637301,0,60,0.066864013671875,10.772190570831299,624,624,0,624,624,624,0,624,1.0,uniform,False
7,96372106,4,10637302,0,60,0.20515966415405273,12.87996768951416,661,661,0,661,661,661,0,661,1.0,uniform,False
8,96372106,4,10637303,0,60,0.27824831008911133,14.772440195083618,905,905,0,905,905,905,0,905,1.0,uniform,False
9,96372106,4,10637304,0,60,0.21039628982543945,11.994932174682617,748,748,0,748,748,748,0,748,1.0,uniform,False
10,96372106,4,10637305,0,60,0.05684804916381836,4.4502973556518555,511,511,0,511,511,511,0,511,1.0,uniform,False
11,96372106,4,10637306,0,60,0.09576106071472168,3.038127899169922,344,344,0,344,344,344,0,344,1.0,uniform,False
12,96372106,4,10637307,0,60,0.05584883689880371,2.488907814025879,483,483,0,483,483,483,0,483,1.0,uniform,False
13,96372106,4,10637308,0,60,0.03194570541381836,3.703887462615967,608,608,0,608,608,608,0,608,1.0,uniform,False
14,96372106,4,10637309,0,60,0.011967897415161133,0.39798831939697266,211,211,0,211,211,211,0,211,1.0,uniform,False
15,96372106,4,10637310,0,60,0.18631529808044434,14.623893022537231,735,735,0,735,735,735,0,735,1.0,uniform,False
16,96372106,4,10637311,0,60,0.10886931419372559,6.760056972503662,639,639,0,639,639,639,0,639,1.0,uniform,False
17,96372106,4,10637312,0,60,0.1675584316253662,16.010313510894775,639,639,0,639,639,639,0,639,1.0,uniform,False
18,96372106,4,10637313,0,60,0.02692699432373047,2.130004405975342,423,423,0,423,423,423,0,423,1.0,uniform,False
19,96372106,4,10637314,0,60,0.03495335578918457,3.8757810592651367,501,501,0,501,501,501,0,501,1.0,uniform,False
20,96372106,4,10637315,0,60,0.16387605667114258,18.172206163406372,902,902,0,902,902,902,0,902,1.0,uniform,False
21,96372106,4,10637316,0,60,0.031939029693603516,3.290607213973999,399,399,0,399,399,399,0,399,1.0,uniform,False
22,96372106,4,10637317,0,60,0.06117415428161621,10.644076824188232,802,802,0,802,802,802,0,802,1.0,uniform,False
23,96372106,4,10637318,0,60,0.049924373626708984,3.8134822845458984,459,459,0,459,459,459,0,459,1.0,uniform,False
24,96372106,4,10637319,0,60,0.060845375061035156,7.71898627281189,494,494,0,494,494,494,0,494,1.0,uniform,False
25,96372106,4,10637320,0,60,0.1469104290008545,10.680157661437988,821,821,0,821,821,821,0,821,1.0,uniform,False
26,96372106,4,10637321,0,60,0.034931182861328125,3.220254898071289,488,488,0,488,488,488,0,488,1.0,uniform,False
27,96372106,4,10637322,0,60,0.06682109832763672,2.8544154167175293,544,544,0,544,544,544,0,544,1.0,uniform,False
28,96372106,4,10637323,0,60,0.05780220031738281,7.004715442657471,479,479,0,479,479,479,0,479,1.0,uniform,False
29,96372106,4,10637324,0,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
30,96372106,4,10637325,0,60,0.2314145565032959,15.59293508529663,891,891,0,891,891,891,0,891,1.0,uniform,False
31,96372106,4,10637326,0,60,0.1945343017578125,11.156039476394653,824,824,0,824,824,824,0,824,1.0,uniform,False
32,96372106,4,10637327,0,60,0.06108260154724121,9.173943519592285,592,592,0,592,592,592,0,592,1.0,uniform,False
33,96372106,4,10637328,0,60,0.19957590103149414,5.418843984603882,544,544,0,544,544,544,0,544,1.0,uniform,False
34,96372106,4,10637329,0,60,0.32440757751464844,14.225070714950562,737,737,0,737,737,737,0,737,1.0,uniform,False
35,96372106,4,10637330,0,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,False
36,96372106,4,10637331,0,60,0.22534728050231934,12.612139225006104,808,808,0,808,808,808,0,808,1.0,uniform,False
37,96372106,4,10637332,0,60,0.02094411849975586,1.211122989654541,440,440,0,440,440,440,0,440,1.0,uniform,False
38,96372106,4,10637333,0,60,0.08807754516601562,8.30468201637268,844,844,0,844,844,844,0,844,1.0,uniform,False
39,96372106,4,10637334,0,60,0.1709737777709961,6.798686265945435,652,652,0,652,652,652,0,652,1.0,uniform,False
40,96372106,4,10637335,0,60,0.06083369255065918,2.4859108924865723,471,471,0,471,471,471,0,471,1.0,uniform,False
41,96372106,4,10637336,0,60,0.07186555862426758,3.0816187858581543,542,542,0,542,542,542,0,542,1.0,uniform,False
42,96372106,4,10637337,0,60,0.03789854049682617,3.542006492614746,526,526,0,526,526,526,0,526,1.0,uniform,False
43,96372106,4,10637338,0,60,0.04394245147705078,6.1032938957214355,517,517,0,517,517,517,0,517,1.0,uniform,False
44,96372106,4,10637339,0,60,0.025936126708984375,2.1668806076049805,462,462,0,462,462,462,0,462,1.0,uniform,False
