Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Communication
1,96372106,4,10637296,4,60,0.06685614585876465,47,80,33,63,61,63,2,63,0.5,False
2,96372106,4,10637297,4,60,0.008977890014648438,34,51,17,42,42,42,0,42,0.5,False
3,96372106,4,10637298,4,60,0.27430248260498047,50,94,44,72,69,73,4,72,0.5,False
4,96372106,4,10637299,4,60,0.03690052032470703,41,86,45,67,59,71,12,67,0.5,False
5,96372106,4,10637300,4,60,1.8839337825775146,65,102,37,81,79,88,9,81,0.5,False
6,96372106,4,10637301,4,60,0.09777355194091797,51,84,33,67,67,67,0,67,0.5,False
7,96372106,4,10637302,4,60,2.4118216037750244,56,110,54,87,82,85,3,85,0.5,False
8,96372106,4,10637303,4,60,0.005982875823974609,38,72,34,63,58,64,6,63,0.5,False
9,96372106,4,10637304,4,60,0.010970592498779297,34,65,31,43,43,46,3,43,0.5,False
10,96372106,4,10637305,4,60,1.474646806716919,52,90,38,71,69,69,0,69,0.5,False
11,96372106,4,10637306,4,60,0.018932580947875977,28,61,33,42,38,43,5,41,0.5,False
12,96372106,4,10637307,4,60,0.06981372833251953,55,99,44,80,73,88,15,80,0.5,False
13,96372106,4,10637308,4,60,0.34120702743530273,53,96,43,70,68,70,2,70,0.5,False
14,96372106,4,10637309,4,60,5.2614662647247314,53,83,30,66,64,65,1,65,0.5,False
15,96372106,4,10637310,4,60,42.937148571014404,68,111,43,81,80,89,9,81,0.5,False
16,96372106,4,10637311,4,60,0.03591322898864746,39,82,43,64,57,67,10,64,0.5,False
17,96372106,4,10637312,4,60,0.009973526000976562,40,69,29,51,47,53,6,51,0.5,False
