Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,5,10637296,0,60,0.7051694393157959,0.2583186626434326,4399,4399,0,4399,4399,4399,0,4399,1.0,min,True
2,96372106,5,10637297,0,60,15.260198831558228,0.6512575149536133,11609,11609,0,11609,11609,11609,0,11609,1.0,min,True
3,96372106,5,10637298,0,60,14.773475408554077,0.8008570671081543,8547,8547,0,8547,8547,8547,0,8547,1.0,min,True
4,96372106,5,10637299,0,60,10.571714401245117,0.717083215713501,8826,8826,0,8826,8826,8826,0,8826,1.0,min,True
5,96372106,5,10637300,0,60,0.857703447341919,0.31615614891052246,6171,6171,0,6171,6171,6171,0,6171,1.0,min,True
6,96372106,5,10637301,0,60,8.191085815429688,0.7659518718719482,6041,6041,0,6041,6041,6041,0,6041,1.0,min,True
7,96372106,5,10637302,0,60,2.5860791206359863,0.5016582012176514,9214,9214,0,9214,9214,9214,0,9214,1.0,min,True
8,96372106,5,10637303,0,60,8.100329637527466,0.6203150749206543,7930,7930,0,7930,7930,7930,0,7930,1.0,min,True
9,96372106,5,10637304,0,60,1.573789119720459,0.4009284973144531,6310,6310,0,6310,6310,6310,0,6310,1.0,min,True
10,96372106,5,10637305,0,60,3.961385488510132,0.7499921321868896,12649,12649,0,12649,12649,12649,0,12649,1.0,min,True
11,96372106,5,10637306,0,60,12.514519214630127,1.0821053981781006,12691,12691,0,12691,12691,12691,0,12691,1.0,min,True
12,96372106,5,10637307,0,60,5.818434000015259,0.791881799697876,8464,8464,0,8464,8464,8464,0,8464,1.0,min,True
13,96372106,5,10637308,0,60,3.0757720470428467,0.6532599925994873,9905,9905,0,9905,9905,9905,0,9905,1.0,min,True
14,96372106,5,10637309,0,60,14.36855673789978,0.7162458896636963,7160,7160,0,7160,7160,7160,0,7160,1.0,min,True
15,96372106,5,10637310,0,60,50.92980241775513,0.8312127590179443,11426,11426,0,11426,11426,11426,0,11426,1.0,min,True
16,96372106,5,10637311,0,60,14.854259729385376,0.5774719715118408,5599,5599,0,5599,5599,5599,0,5599,1.0,min,True
17,96372106,5,10637312,0,60,2.2250490188598633,0.4866981506347656,5435,5435,0,5435,5435,5435,0,5435,1.0,min,True
18,96372106,5,10637313,0,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,min,True
19,96372106,5,10637314,0,60,16.86787223815918,0.5520329475402832,6813,6813,0,6813,6813,6813,0,6813,1.0,min,True
20,96372106,5,10637315,0,60,7.7462756633758545,0.6278467178344727,8243,8243,0,8243,8243,8243,0,8243,1.0,min,True
21,96372106,5,10637316,0,60,3.0438573360443115,0.39901256561279297,6502,6502,0,6502,6502,6502,0,6502,1.0,min,True
22,96372106,5,10637317,0,60,55.31407165527344,0.5890495777130127,8738,8738,0,8738,8738,8738,0,8738,1.0,min,True
23,96372106,5,10637318,0,60,1.2097632884979248,0.3889751434326172,4221,4221,0,4221,4221,4221,0,4221,1.0,min,True
24,96372106,5,10637319,0,60,32.353440284729004,0.6393017768859863,8064,8064,0,8064,8064,8064,0,8064,1.0,min,True
25,96372106,5,10637320,0,60,2.1881368160247803,0.4304192066192627,5281,5281,0,5281,5281,5281,0,5281,1.0,min,True
26,96372106,5,10637321,0,60,13.811043500900269,0.5829720497131348,10333,10333,0,10333,10333,10333,0,10333,1.0,min,True
27,96372106,5,10637322,0,60,18.615196228027344,0.6901750564575195,8427,8427,0,8427,8427,8427,0,8427,1.0,min,True
28,96372106,5,10637323,0,60,6.039841651916504,0.5359697341918945,7139,7139,0,7139,7139,7139,0,7139,1.0,min,True
29,96372106,5,10637324,0,60,2.8842809200286865,0.5116465091705322,3614,3614,0,3614,3614,3614,0,3614,1.0,min,True
30,96372106,5,10637325,0,60,13.2226243019104,0.6649787425994873,11973,11973,0,11973,11973,11973,0,11973,1.0,min,True
31,96372106,5,10637326,0,60,16.058039665222168,0.8083927631378174,7084,7084,0,7084,7084,7084,0,7084,1.0,min,True
32,96372106,5,10637327,0,60,29.21188187599182,0.47373270988464355,9065,9065,0,9065,9065,9065,0,9065,1.0,min,True
33,96372106,5,10637328,0,60,10.162811040878296,0.37652158737182617,6087,6087,0,6087,6087,6087,0,6087,1.0,min,True
34,96372106,5,10637329,0,60,6.693093776702881,0.9555606842041016,10283,10283,0,10283,10283,10283,0,10283,1.0,min,True
35,96372106,5,10637330,0,60,6.887571573257446,0.6183681488037109,5987,5987,0,5987,5987,5987,0,5987,1.0,min,True
36,96372106,5,10637331,0,60,5.982993841171265,0.7680354118347168,8542,8542,0,8542,8542,8542,0,8542,1.0,min,True
37,96372106,5,10637332,0,60,5.720695972442627,0.7505285739898682,8846,8846,0,8846,8846,8846,0,8846,1.0,min,True
38,96372106,5,10637333,0,60,10.856955766677856,0.5351178646087646,6245,6245,0,6245,6245,6245,0,6245,1.0,min,True
39,96372106,5,10637334,0,60,48.97996139526367,0.9220981597900391,13548,13548,0,13548,13548,13548,0,13548,1.0,min,True
40,96372106,5,10637335,0,60,50.487924575805664,0.7164969444274902,9615,9615,0,9615,9615,9615,0,9615,1.0,min,True
