Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,7,10637296,4,60,2.3344998359680176,2.338488817214966,73,123,50,90,73,123,50,90,0.0,uniform,True
2,96372106,7,10637297,4,60,5.701898097991943,5.7068846225738525,72,135,63,111,72,135,63,111,0.0,uniform,True
3,96372106,7,10637298,4,60,0.9938502311706543,0.9968409538269043,69,141,72,104,69,141,72,104,0.0,uniform,True
4,96372106,7,10637299,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,True
5,96372106,7,10637300,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,True
6,96372106,7,10637301,4,60,0.6007370948791504,0.6047117710113525,62,116,54,100,62,116,54,100,0.0,uniform,True
7,96372106,7,10637302,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,True
8,96372106,7,10637303,4,60,2.759690284729004,2.762713670730591,74,132,58,104,74,132,58,104,0.0,uniform,True
9,96372106,7,10637304,4,60,33.05349254608154,33.056487798690796,63,119,56,85,63,119,56,85,0.0,uniform,True
10,96372106,7,10637305,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,True
11,96372106,7,10637306,4,60,90.49714875221252,90.50213479995728,67,136,69,103,67,136,69,103,0.0,uniform,True
12,96372106,7,10637307,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,True
13,96372106,7,10637308,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,True
14,96372106,7,10637309,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,True
15,96372106,7,10637310,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,True
16,96372106,7,10637311,4,60,0.46871066093444824,0.47469449043273926,77,136,59,113,77,136,59,113,0.0,uniform,True
17,96372106,7,10637312,4,60,89.32837796211243,89.33236765861511,63,114,51,89,63,114,51,89,0.0,uniform,True
