Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,7,10637296,4,60,0.5617275238037109,73,123,50,90,89,91,2,90,0.75,uniform,False
2,96372106,7,10637297,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,False
3,96372106,7,10637298,4,60,2.0188190937042236,70,131,61,97,97,97,0,97,0.75,uniform,False
4,96372106,7,10637299,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,False
5,96372106,7,10637300,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,False
6,96372106,7,10637301,4,60,0.40346312522888184,65,108,43,92,91,91,0,91,0.75,uniform,False
7,96372106,7,10637302,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,False
8,96372106,7,10637303,4,60,3.765733003616333,78,130,52,107,107,107,0,107,0.75,uniform,False
9,96372106,7,10637304,4,60,1.2143058776855469,66,112,46,89,86,91,5,86,0.75,uniform,False
10,96372106,7,10637305,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,False
11,96372106,7,10637306,4,60,1.4942350387573242,69,130,61,109,105,105,0,105,0.75,uniform,False
12,96372106,7,10637307,4,60,8.246594190597534,96,150,54,126,124,124,0,124,0.75,uniform,False
13,96372106,7,10637308,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,False
14,96372106,7,10637309,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,False
15,96372106,7,10637310,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,False
16,96372106,7,10637311,4,60,0.4187746047973633,83,137,54,113,113,113,0,113,0.75,uniform,False
17,96372106,7,10637312,4,60,11.913123369216919,64,105,41,80,80,82,2,80,0.75,uniform,False
18,96372106,7,10637313,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,False
19,96372106,7,10637314,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,False
20,96372106,7,10637315,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,False
21,96372106,7,10637316,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,False
22,96372106,7,10637317,4,60,0.5401427745819092,81,140,59,109,109,109,0,109,0.75,uniform,False
23,96372106,7,10637318,4,60,3.4878408908843994,62,100,38,78,77,80,3,77,0.75,uniform,False
24,96372106,7,10637319,4,60,50.62351107597351,107,163,56,140,135,139,4,137,0.75,uniform,False
25,96372106,7,10637320,4,60,0.2785630226135254,61,107,46,82,82,82,0,82,0.75,uniform,False
26,96372106,7,10637321,4,60,2.3497512340545654,68,110,42,84,83,86,3,84,0.75,uniform,False
27,96372106,7,10637322,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,uniform,False
