Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC
1,96372106,2,10637296,1,60,0.006307840347290039,0.007181644439697266,204,295,91,245,204,295,91,245,0.0,uniform,Min Best Case,False,204,295
2,96372106,2,10637297,1,60,0.3159148693084717,0.016977787017822266,303,418,115,358,303,418,115,358,0.0,uniform,Min Best Case,False,302,425
3,96372106,2,10637298,1,60,0.6918494701385498,0.014098405838012695,320,473,153,399,320,473,153,399,0.0,uniform,Min Best Case,False,320,472
4,96372106,2,10637299,1,60,0.013209104537963867,0.017041444778442383,386,541,155,478,386,541,155,478,0.0,uniform,Min Best Case,False,386,541
5,96372106,2,10637300,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,Min Best Case,False,-1,-1
6,96372106,2,10637301,1,60,0.020047664642333984,0.01736140251159668,261,377,116,318,261,377,116,318,0.0,uniform,Min Best Case,False,261,377
7,96372106,2,10637302,1,60,0.009156227111816406,0.022219419479370117,184,268,84,233,184,268,84,233,0.0,uniform,Min Best Case,False,184,268
8,96372106,2,10637303,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,Min Best Case,False,-1,-1
9,96372106,2,10637304,1,60,0.01747441291809082,0.022745847702026367,349,502,153,425,349,502,153,425,0.0,uniform,Min Best Case,False,349,502
10,96372106,2,10637305,1,60,0.014580965042114258,0.019717693328857422,380,547,167,458,380,547,167,458,0.0,uniform,Min Best Case,False,380,547
11,96372106,2,10637306,1,60,0.00391387939453125,0.004950046539306641,107,138,31,119,107,138,31,119,0.0,uniform,Min Best Case,False,107,138
12,96372106,2,10637307,1,60,0.20177984237670898,0.011350393295288086,292,427,135,353,292,427,135,353,0.0,uniform,Min Best Case,False,292,423
13,96372106,2,10637308,1,60,1.6145644187927246,0.016326427459716797,419,600,181,519,419,600,181,519,0.0,uniform,Min Best Case,False,419,597
14,96372106,2,10637309,1,60,0.0020558834075927734,0.0025506019592285156,58,84,26,72,58,84,26,72,0.0,uniform,Min Best Case,False,58,84
15,96372106,2,10637310,1,60,0.004721164703369141,0.006027936935424805,130,185,55,152,130,185,55,152,0.0,uniform,Min Best Case,False,130,185
16,96372106,2,10637311,1,60,0.007052421569824219,0.008656740188598633,189,256,67,223,189,256,67,223,0.0,uniform,Min Best Case,False,189,256
17,96372106,2,10637312,1,60,0.022729158401489258,0.03126168251037598,427,609,182,519,427,609,182,519,0.0,uniform,Min Best Case,False,427,609
18,96372106,2,10637313,1,60,0.006228446960449219,0.008167743682861328,139,202,63,173,139,202,63,173,0.0,uniform,Min Best Case,False,139,202
19,96372106,2,10637314,1,60,0.003457307815551758,0.018958091735839844,107,152,45,132,107,152,45,132,0.0,uniform,Min Best Case,False,107,152
20,96372106,2,10637315,1,60,0.018398284912109375,0.026601791381835938,394,584,190,485,394,584,190,485,0.0,uniform,Min Best Case,False,394,584
21,96372106,2,10637316,1,60,0.005057811737060547,0.005830049514770508,160,238,78,203,160,238,78,203,0.0,uniform,Min Best Case,False,160,238
22,96372106,2,10637317,1,60,0.013254165649414062,0.016504764556884766,404,579,175,492,404,579,175,492,0.0,uniform,Min Best Case,False,404,579
23,96372106,2,10637318,1,60,0.013243675231933594,0.018311262130737305,353,528,175,449,353,528,175,449,0.0,uniform,Min Best Case,False,353,528
24,96372106,2,10637319,1,60,0.018777132034301758,0.024669408798217773,380,546,166,469,380,546,166,469,0.0,uniform,Min Best Case,False,380,546
25,96372106,2,10637320,1,60,0.02709221839904785,0.03089761734008789,339,490,151,416,339,490,151,416,0.0,uniform,Min Best Case,False,339,490
26,96372106,2,10637321,1,60,0.00879216194152832,0.011033058166503906,269,381,112,338,269,381,112,338,0.0,uniform,Min Best Case,False,269,381
27,96372106,2,10637322,1,60,0.010446310043334961,0.013310909271240234,281,393,112,331,281,393,112,331,0.0,uniform,Min Best Case,False,281,393
28,96372106,2,10637323,1,60,0.019132375717163086,0.027063608169555664,402,581,179,491,402,581,179,491,0.0,uniform,Min Best Case,False,402,581
29,96372106,2,10637324,1,60,0.017284870147705078,0.025096654891967773,465,659,194,570,465,659,194,570,0.0,uniform,Min Best Case,False,465,659
30,96372106,2,10637325,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,Min Best Case,False,-1,-1
31,96372106,2,10637326,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,Min Best Case,False,-1,-1
32,96372106,2,10637327,1,60,0.039215087890625,0.031562089920043945,423,613,190,515,423,613,190,515,0.0,uniform,Min Best Case,False,423,613
33,96372106,2,10637328,1,60,0.012061357498168945,0.016752004623413086,317,471,154,402,317,471,154,402,0.0,uniform,Min Best Case,False,317,471
34,96372106,2,10637329,1,60,0.02484297752380371,0.032639503479003906,425,606,181,520,425,606,181,520,0.0,uniform,Min Best Case,False,425,606
35,96372106,2,10637330,1,60,3.8343944549560547,0.02288961410522461,406,580,174,496,406,580,174,496,0.0,uniform,Min Best Case,False,406,589
36,96372106,2,10637331,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,Min Best Case,False,-1,-1
37,96372106,2,10637332,1,60,0.006567716598510742,0.007224082946777344,209,295,86,258,209,295,86,258,0.0,uniform,Min Best Case,False,209,295
38,96372106,2,10637333,1,60,0.037874698638916016,0.03060436248779297,472,672,200,567,472,672,200,567,0.0,uniform,Min Best Case,False,472,672
39,96372106,2,10637334,1,60,0.10815119743347168,0.013592720031738281,314,439,125,381,314,439,125,381,0.0,uniform,Min Best Case,False,314,436
40,96372106,2,10637335,1,60,0.010140657424926758,0.0123291015625,320,452,132,381,320,452,132,381,0.0,uniform,Min Best Case,False,320,452
41,96372106,2,10637336,1,60,0.00828409194946289,0.010189056396484375,263,355,92,305,263,355,92,305,0.0,uniform,Min Best Case,False,263,355
42,96372106,2,10637337,1,60,0.0055620670318603516,0.006394386291503906,172,254,82,219,172,254,82,219,0.0,uniform,Min Best Case,False,172,254
43,96372106,2,10637338,1,60,0.018308401107788086,0.022473573684692383,310,440,130,377,310,440,130,377,0.0,uniform,Min Best Case,False,310,440
44,96372106,2,10637339,1,60,0.3331937789916992,0.01297760009765625,290,401,111,343,290,401,111,343,0.0,uniform,Min Best Case,False,290,403
45,96372106,2,10637340,1,60,115.35789847373962,0.01688528060913086,431,606,175,506,431,606,175,506,0.0,uniform,Min Best Case,False,430,625
46,96372106,2,10637341,1,60,0.007565975189208984,0.009251832962036133,217,312,95,258,217,312,95,258,0.0,uniform,Min Best Case,False,217,312
47,96372106,2,10637342,1,60,32.20848345756531,0.032759666442871094,431,613,182,521,431,613,182,521,0.0,uniform,Min Best Case,False,430,625
48,96372106,2,10637343,1,60,0.007983684539794922,0.01591181755065918,212,304,92,253,212,304,92,253,0.0,uniform,Min Best Case,False,212,304
49,96372106,2,10637344,1,60,0.007390022277832031,0.029582977294921875,233,326,93,280,233,326,93,280,0.0,uniform,Min Best Case,False,233,326
50,96372106,2,10637345,1,60,0.03307485580444336,0.03721165657043457,407,582,175,494,407,582,175,494,0.0,uniform,Min Best Case,False,407,582
