Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC
1,96372106,2,10637296,1,60,0.006307840347290039,0.11169886589050293,204,295,91,204,204,207,3,204,0.5,min,Min Best Case,False,204,295
2,96372106,2,10637297,1,60,0.3159148693084717,0.43876028060913086,303,418,115,303,303,303,0,303,0.5,min,Min Best Case,False,302,425
3,96372106,2,10637298,1,60,0.6918494701385498,0.5932056903839111,320,473,153,320,320,320,0,320,0.5,min,Min Best Case,False,320,472
4,96372106,2,10637299,1,60,0.013209104537963867,0.4509596824645996,386,541,155,386,386,387,1,386,0.5,min,Min Best Case,False,386,541
5,96372106,2,10637300,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,min,Min Best Case,False,-1,-1
6,96372106,2,10637301,1,60,0.020047664642333984,0.3964967727661133,261,377,116,261,261,261,0,261,0.5,min,Min Best Case,False,261,377
7,96372106,2,10637302,1,60,0.009156227111816406,0.08593559265136719,184,268,84,184,184,184,0,184,0.5,min,Min Best Case,False,184,268
8,96372106,2,10637303,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,min,Min Best Case,False,-1,-1
9,96372106,2,10637304,1,60,0.01747441291809082,0.702317476272583,349,502,153,349,349,350,1,349,0.5,min,Min Best Case,False,349,502
10,96372106,2,10637305,1,60,0.014580965042114258,0.6066880226135254,380,547,167,380,380,380,0,380,0.5,min,Min Best Case,False,380,547
11,96372106,2,10637306,1,60,0.00391387939453125,0.03728222846984863,107,138,31,107,107,111,4,107,0.5,min,Min Best Case,False,107,138
12,96372106,2,10637307,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,min,Min Best Case,False,-1,-1
13,96372106,2,10637308,1,60,1.6145644187927246,0.8630568981170654,419,600,181,419,419,421,2,419,0.5,min,Min Best Case,False,419,597
14,96372106,2,10637309,1,60,0.0020558834075927734,0.009413003921508789,58,84,26,58,58,60,2,58,0.5,min,Min Best Case,False,58,84
15,96372106,2,10637310,1,60,0.004721164703369141,0.052374839782714844,130,185,55,130,130,130,0,130,0.5,min,Min Best Case,False,130,185
16,96372106,2,10637311,1,60,0.007052421569824219,0.1017296314239502,189,256,67,189,189,189,0,189,0.5,min,Min Best Case,False,189,256
17,96372106,2,10637312,1,60,0.022729158401489258,1.2297751903533936,427,609,182,427,427,428,1,427,0.5,min,Min Best Case,False,427,609
18,96372106,2,10637313,1,60,0.006228446960449219,0.09781956672668457,139,202,63,139,139,141,2,139,0.5,min,Min Best Case,False,139,202
19,96372106,2,10637314,1,60,0.003457307815551758,0.02988576889038086,107,152,45,107,107,107,0,107,0.5,min,Min Best Case,False,107,152
20,96372106,2,10637315,1,60,0.018398284912109375,0.829110860824585,394,584,190,394,394,396,2,394,0.5,min,Min Best Case,False,394,584
21,96372106,2,10637316,1,60,0.005057811737060547,0.07093930244445801,160,238,78,160,160,160,0,160,0.5,min,Min Best Case,False,160,238
22,96372106,2,10637317,1,60,0.013254165649414062,1.162273645401001,404,579,175,404,404,405,1,404,0.5,min,Min Best Case,False,404,579
23,96372106,2,10637318,1,60,0.013243675231933594,0.4374043941497803,353,528,175,353,353,353,0,353,0.5,min,Min Best Case,False,353,528
24,96372106,2,10637319,1,60,0.018777132034301758,0.836179256439209,380,546,166,380,380,382,2,380,0.5,min,Min Best Case,False,380,546
25,96372106,2,10637320,1,60,0.02709221839904785,0.35774779319763184,339,490,151,339,339,339,0,339,0.5,min,Min Best Case,False,339,490
26,96372106,2,10637321,1,60,0.00879216194152832,0.2839038372039795,269,381,112,269,269,269,0,269,0.5,min,Min Best Case,False,269,381
27,96372106,2,10637322,1,60,0.010446310043334961,0.2849750518798828,281,393,112,281,281,281,0,281,0.5,min,Min Best Case,False,281,393
28,96372106,2,10637323,1,60,0.019132375717163086,0.869664192199707,402,581,179,402,402,407,5,402,0.5,min,Min Best Case,False,402,581
29,96372106,2,10637324,1,60,0.017284870147705078,1.6732826232910156,465,659,194,465,465,466,1,465,0.5,min,Min Best Case,False,465,659
30,96372106,2,10637325,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,min,Min Best Case,False,-1,-1
31,96372106,2,10637326,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,min,Min Best Case,False,-1,-1
32,96372106,2,10637327,1,60,0.039215087890625,1.2305254936218262,423,613,190,423,423,423,0,423,0.5,min,Min Best Case,False,423,613
33,96372106,2,10637328,1,60,0.012061357498168945,0.6105284690856934,317,471,154,317,317,318,1,317,0.5,min,Min Best Case,False,317,471
34,96372106,2,10637329,1,60,0.02484297752380371,1.4730579853057861,425,606,181,425,425,425,0,425,0.5,min,Min Best Case,False,425,606
