Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC
1,96372106,2,10637296,1,60,0.006317615509033203,0.4810373783111572,204,295,91,295,293,295,2,295,0.5,max,Min Worst Case,True,204,295
2,96372106,2,10637297,1,60,0.28396034240722656,2.221364736557007,303,426,123,426,425,425,0,425,0.5,max,Min Worst Case,True,302,425
3,96372106,2,10637298,1,60,5.37784743309021,7.8688740730285645,323,456,133,456,469,470,1,470,0.5,max,Min Worst Case,True,320,472
4,96372106,2,10637299,1,60,0.013489723205566406,2.3171331882476807,386,541,155,541,539,541,2,541,0.5,max,Min Worst Case,True,386,541
5,96372106,2,10637300,1,60,44.4278678894043,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,max,Min Worst Case,True,-1,-1
6,96372106,2,10637301,1,60,0.013263940811157227,0.9396345615386963,261,377,116,377,377,377,0,377,0.5,max,Min Worst Case,True,261,377
7,96372106,2,10637302,1,60,0.005852699279785156,0.23670029640197754,184,268,84,268,268,268,0,268,0.5,max,Min Worst Case,True,184,268
8,96372106,2,10637303,1,60,1.5691123008728027,32.27722692489624,532,749,217,749,756,756,0,756,0.5,max,Min Worst Case,True,531,757
9,96372106,2,10637304,1,60,0.017652034759521484,2.027285099029541,349,502,153,502,502,502,0,502,0.5,max,Min Worst Case,True,349,502
10,96372106,2,10637305,1,60,0.014253377914428711,2.2425990104675293,380,547,167,547,547,547,0,547,0.5,max,Min Worst Case,True,380,547
11,96372106,2,10637306,1,60,0.003870248794555664,0.07092142105102539,107,138,31,138,137,138,1,138,0.5,max,Min Worst Case,True,107,138
12,96372106,2,10637307,1,60,2.273400068283081,3.3401615619659424,293,425,132,425,422,423,1,423,0.5,max,Min Worst Case,True,292,423
13,96372106,2,10637308,1,60,3.6996188163757324,21.54819655418396,419,597,178,597,597,597,0,597,0.5,max,Min Worst Case,True,419,597
14,96372106,2,10637309,1,60,0.0031104087829589844,0.023462772369384766,58,84,26,84,80,84,4,84,0.5,max,Min Worst Case,True,58,84
15,96372106,2,10637310,1,60,0.007253885269165039,0.14057707786560059,130,185,55,185,184,185,1,185,0.5,max,Min Worst Case,True,130,185
16,96372106,2,10637311,1,60,0.01071476936340332,0.31627988815307617,189,256,67,256,256,256,0,256,0.5,max,Min Worst Case,True,189,256
17,96372106,2,10637312,1,60,0.03717684745788574,3.1898741722106934,427,609,182,609,609,609,0,609,0.5,max,Min Worst Case,True,427,609
18,96372106,2,10637313,1,60,0.009602546691894531,0.21484017372131348,139,202,63,202,200,202,2,202,0.5,max,Min Worst Case,True,139,202
19,96372106,2,10637314,1,60,0.005535602569580078,0.07712841033935547,107,152,45,152,152,152,0,152,0.5,max,Min Worst Case,True,107,152
20,96372106,2,10637315,1,60,0.030239105224609375,2.4475836753845215,394,584,190,584,583,584,1,584,0.5,max,Min Worst Case,True,394,584
21,96372106,2,10637316,1,60,0.007650136947631836,0.18189525604248047,160,238,78,238,233,238,5,238,0.5,max,Min Worst Case,True,160,238
22,96372106,2,10637317,1,60,0.020098447799682617,1.7997374534606934,404,579,175,579,577,579,2,579,0.5,max,Min Worst Case,True,404,579
23,96372106,2,10637318,1,60,0.020043134689331055,1.7143685817718506,353,528,175,528,526,528,2,528,0.5,max,Min Worst Case,True,353,528
24,96372106,2,10637319,1,60,0.029385089874267578,3.5568201541900635,380,546,166,546,545,546,1,546,0.5,max,Min Worst Case,True,380,546
25,96372106,2,10637320,1,60,0.017681121826171875,1.7568676471710205,339,490,151,490,490,490,0,490,0.5,max,Min Worst Case,True,339,490
26,96372106,2,10637321,1,60,0.013367414474487305,1.0944344997406006,269,381,112,381,380,381,1,381,0.5,max,Min Worst Case,True,269,381
27,96372106,2,10637322,1,60,0.01555776596069336,1.4066557884216309,281,393,112,393,390,393,3,393,0.5,max,Min Worst Case,True,281,393
28,96372106,2,10637323,1,60,0.04669785499572754,2.8451502323150635,402,581,179,581,580,581,1,581,0.5,max,Min Worst Case,True,402,581
29,96372106,2,10637324,1,60,0.027478933334350586,3.513589382171631,465,659,194,659,658,659,1,659,0.5,max,Min Worst Case,True,465,659
