Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC
1,96372106,2,10637296,1,60,0.006317615509033203,0.3778836727142334,204,295,91,245,245,245,0,245,1.0,uniform,Min Worst Case,True,204,295
2,96372106,2,10637297,1,60,0.28396034240722656,4.443659067153931,303,426,123,360,360,360,0,360,1.0,uniform,Min Worst Case,True,302,425
3,96372106,2,10637298,1,60,5.37784743309021,25.21033549308777,323,456,133,395,396,396,0,396,1.0,uniform,Min Worst Case,True,320,472
4,96372106,2,10637299,1,60,0.013489723205566406,2.2049314975738525,386,541,155,478,478,478,0,478,1.0,uniform,Min Worst Case,True,386,541
5,96372106,2,10637300,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,Min Worst Case,True,-1,-1
6,96372106,2,10637301,1,60,0.013263940811157227,1.459810733795166,261,377,116,318,318,318,0,318,1.0,uniform,Min Worst Case,True,261,377
7,96372106,2,10637302,1,60,0.005852699279785156,0.33757901191711426,184,268,84,233,233,233,0,233,1.0,uniform,Min Worst Case,True,184,268
8,96372106,2,10637303,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,Min Worst Case,True,-1,-1
9,96372106,2,10637304,1,60,0.017652034759521484,2.560486078262329,349,502,153,425,425,425,0,425,1.0,uniform,Min Worst Case,True,349,502
10,96372106,2,10637305,1,60,0.014253377914428711,2.3684349060058594,380,547,167,458,458,458,0,458,1.0,uniform,Min Worst Case,True,380,547
11,96372106,2,10637306,1,60,0.003870248794555664,0.1385660171508789,107,138,31,119,119,119,0,119,1.0,uniform,Min Worst Case,True,107,138
12,96372106,2,10637307,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,Min Worst Case,True,-1,-1
13,96372106,2,10637308,1,60,3.6996188163757324,27.002763509750366,419,597,178,517,515,515,0,515,1.0,uniform,Min Worst Case,True,419,597
14,96372106,2,10637309,1,60,0.0031104087829589844,0.03909564018249512,58,84,26,72,72,72,0,72,1.0,uniform,Min Worst Case,True,58,84
15,96372106,2,10637310,1,60,0.007253885269165039,0.19761991500854492,130,185,55,152,152,152,0,152,1.0,uniform,Min Worst Case,True,130,185
16,96372106,2,10637311,1,60,0.01071476936340332,0.5138914585113525,189,256,67,223,223,223,0,223,1.0,uniform,Min Worst Case,True,189,256
17,96372106,2,10637312,1,60,0.03717684745788574,4.271493196487427,427,609,182,519,519,519,0,519,1.0,uniform,Min Worst Case,True,427,609
18,96372106,2,10637313,1,60,0.009602546691894531,0.3647902011871338,139,202,63,173,173,173,0,173,1.0,uniform,Min Worst Case,True,139,202
19,96372106,2,10637314,1,60,0.005535602569580078,0.11757373809814453,107,152,45,132,132,132,0,132,1.0,uniform,Min Worst Case,True,107,152
20,96372106,2,10637315,1,60,0.030239105224609375,3.482358455657959,394,584,190,485,485,485,0,485,1.0,uniform,Min Worst Case,True,394,584
21,96372106,2,10637316,1,60,0.007650136947631836,0.2568376064300537,160,238,78,203,203,203,0,203,1.0,uniform,Min Worst Case,True,160,238
22,96372106,2,10637317,1,60,0.020098447799682617,2.073967218399048,404,579,175,492,492,492,0,492,1.0,uniform,Min Worst Case,True,404,579
23,96372106,2,10637318,1,60,0.020043134689331055,2.0844342708587646,353,528,175,449,449,449,0,449,1.0,uniform,Min Worst Case,True,353,528
24,96372106,2,10637319,1,60,0.029385089874267578,3.439337730407715,380,546,166,469,469,469,0,469,1.0,uniform,Min Worst Case,True,380,546
25,96372106,2,10637320,1,60,0.017681121826171875,1.5957751274108887,339,490,151,416,416,416,0,416,1.0,uniform,Min Worst Case,True,339,490
26,96372106,2,10637321,1,60,0.013367414474487305,0.8008301258087158,269,381,112,338,338,338,0,338,1.0,uniform,Min Worst Case,True,269,381
27,96372106,2,10637322,1,60,0.01555776596069336,1.1107332706451416,281,393,112,331,331,331,0,331,1.0,uniform,Min Worst Case,True,281,393
28,96372106,2,10637323,1,60,0.04669785499572754,3.7551753520965576,402,581,179,491,491,491,0,491,1.0,uniform,Min Worst Case,True,402,581
29,96372106,2,10637324,1,60,0.027478933334350586,4.07875394821167,465,659,194,570,570,570,0,570,1.0,uniform,Min Worst Case,True,465,659
30,96372106,2,10637325,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,Min Worst Case,True,-1,-1
31,96372106,2,10637326,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,uniform,Min Worst Case,True,-1,-1
32,96372106,2,10637327,1,60,0.023516416549682617,4.6682353019714355,423,613,190,515,515,515,0,515,1.0,uniform,Min Worst Case,True,423,613
33,96372106,2,10637328,1,60,0.012440204620361328,1.7806148529052734,317,471,154,402,402,402,0,402,1.0,uniform,Min Worst Case,True,317,471
