Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,2,10637296,2,60,0.022450923919677734,0.48868823051452637,234,395,161,395,389,395,6,395,0.5,uniform,True
2,96372106,2,10637297,2,60,2.948185682296753,3.6651952266693115,341,596,255,596,610,610,0,610,0.5,uniform,True
3,96372106,2,10637298,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
4,96372106,2,10637299,2,60,0.12366771697998047,2.619028091430664,435,764,329,764,761,764,3,764,0.5,uniform,True
5,96372106,2,10637300,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
6,96372106,2,10637301,2,60,0.9275734424591064,3.0547938346862793,299,525,226,525,529,530,1,530,0.5,uniform,True
7,96372106,2,10637302,2,60,0.013990640640258789,0.5614988803863525,210,375,165,375,372,375,3,375,0.5,uniform,True
8,96372106,2,10637303,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
9,96372106,2,10637304,2,60,0.05189228057861328,3.5754032135009766,397,687,290,687,684,687,3,687,0.5,uniform,True
10,96372106,2,10637305,2,60,0.06382918357849121,3.60831618309021,425,755,330,755,751,755,4,755,0.5,uniform,True
11,96372106,2,10637306,2,60,0.00899505615234375,0.16655564308166504,121,207,86,207,207,207,0,207,0.5,uniform,True
12,96372106,2,10637307,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
13,96372106,2,10637308,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
14,96372106,2,10637309,2,60,0.0039882659912109375,0.03289341926574707,74,121,47,121,117,121,4,121,0.5,uniform,True
15,96372106,2,10637310,2,60,0.010967254638671875,0.23437857627868652,147,265,118,265,262,265,3,265,0.5,uniform,True
16,96372106,2,10637311,2,60,0.015975475311279297,0.8547124862670898,217,360,143,360,359,360,1,360,0.5,uniform,True
17,96372106,2,10637312,2,60,0.11170673370361328,5.639914512634277,480,845,365,845,841,845,4,845,0.5,uniform,True
18,96372106,2,10637313,2,60,0.013024568557739258,0.33310914039611816,158,288,130,288,288,288,0,288,0.5,uniform,True
19,96372106,2,10637314,2,60,0.008013248443603516,0.16755151748657227,116,215,99,215,214,215,1,215,0.5,uniform,True
20,96372106,2,10637315,2,60,0.08278656005859375,4.122318744659424,439,801,362,801,798,801,3,801,0.5,uniform,True
21,96372106,2,10637316,2,60,0.02792525291442871,0.2693021297454834,185,329,144,329,329,329,0,329,0.5,uniform,True
22,96372106,2,10637317,2,60,4.982647180557251,3.37493896484375,455,784,329,784,785,788,3,788,0.5,uniform,True
23,96372106,2,10637318,2,60,0.0860133171081543,3.362006902694702,397,728,331,728,727,728,1,728,0.5,uniform,True
24,96372106,2,10637319,2,60,0.12321305274963379,4.032242059707642,432,770,338,770,766,770,4,770,0.5,uniform,True
25,96372106,2,10637320,2,60,0.06883907318115234,2.1192786693573,386,685,299,685,683,685,2,685,0.5,uniform,True
26,96372106,2,10637321,2,60,158.04990148544312,3.335111141204834,310,544,234,544,535,537,2,537,0.5,uniform,True
27,96372106,2,10637322,2,60,0.03587913513183594,1.3065054416656494,321,543,222,543,543,543,0,543,0.5,uniform,True
28,96372106,2,10637323,2,60,0.0948038101196289,3.7978334426879883,451,791,340,791,791,791,0,791,0.5,uniform,True
29,96372106,2,10637324,2,60,0.0718071460723877,6.997623682022095,524,909,385,909,906,909,3,909,0.5,uniform,True
30,96372106,2,10637325,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
