Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,2,10637296,2,60,0.022450923919677734,0.4946746826171875,234,395,161,234,234,238,4,234,0.5,uniform,True
2,96372106,2,10637297,2,60,2.948185682296753,1.7961690425872803,341,596,255,341,340,341,1,340,0.5,uniform,True
3,96372106,2,10637298,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
4,96372106,2,10637299,2,60,0.12366771697998047,2.078472137451172,435,764,329,435,435,441,6,435,0.5,uniform,True
5,96372106,2,10637300,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
6,96372106,2,10637301,2,60,0.9275734424591064,3.0159566402435303,299,525,226,299,299,299,0,299,0.5,uniform,True
7,96372106,2,10637302,2,60,0.013990640640258789,0.3650338649749756,210,375,165,210,210,210,0,210,0.5,uniform,True
8,96372106,2,10637303,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
9,96372106,2,10637304,2,60,0.05189228057861328,2.731673002243042,397,687,290,397,397,397,0,397,0.5,uniform,True
10,96372106,2,10637305,2,60,0.06382918357849121,2.787534475326538,425,755,330,425,425,426,1,425,0.5,uniform,True
11,96372106,2,10637306,2,60,0.00899505615234375,0.1466081142425537,121,207,86,121,121,121,0,121,0.5,uniform,True
12,96372106,2,10637307,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
13,96372106,2,10637308,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
14,96372106,2,10637309,2,60,0.0039882659912109375,0.03594017028808594,74,121,47,74,74,77,3,74,0.5,uniform,True
15,96372106,2,10637310,2,60,0.010967254638671875,0.2164003849029541,147,265,118,147,147,147,0,147,0.5,uniform,True
