Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,2,10637296,2,60,0.022450923919677734,0.4368305206298828,234,395,161,309,309,309,0,309,0.5,uniform,True
2,96372106,2,10637297,2,60,2.948185682296753,5.333698987960815,341,596,255,466,478,478,0,478,0.5,uniform,True
3,96372106,2,10637298,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
4,96372106,2,10637299,2,60,0.12366771697998047,4.523896932601929,435,764,329,611,611,611,0,611,0.5,uniform,True
5,96372106,2,10637300,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
6,96372106,2,10637301,2,60,0.9275734424591064,1.8310716152191162,299,525,226,409,413,414,1,413,0.5,uniform,True
7,96372106,2,10637302,2,60,0.013990640640258789,0.3740243911743164,210,375,165,287,287,287,0,287,0.5,uniform,True
8,96372106,2,10637303,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
9,96372106,2,10637304,2,60,0.05189228057861328,3.0033202171325684,397,687,290,542,540,543,3,542,0.5,uniform,True
10,96372106,2,10637305,2,60,0.06382918357849121,3.294163942337036,425,755,330,591,591,592,1,591,0.5,uniform,True
11,96372106,2,10637306,2,60,0.00899505615234375,0.1824636459350586,121,207,86,168,167,169,2,168,0.5,uniform,True
12,96372106,2,10637307,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
13,96372106,2,10637308,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
14,96372106,2,10637309,2,60,0.0039882659912109375,0.04885435104370117,74,121,47,98,96,98,2,98,0.5,uniform,True
15,96372106,2,10637310,2,60,0.010967254638671875,0.21139144897460938,147,265,118,221,221,221,0,221,0.5,uniform,True
16,96372106,2,10637311,2,60,0.015975475311279297,0.7998967170715332,217,360,143,296,296,298,2,296,0.5,uniform,True
17,96372106,2,10637312,2,60,0.11170673370361328,5.789507865905762,480,845,365,662,656,665,9,662,0.5,uniform,True
18,96372106,2,10637313,2,60,0.013024568557739258,0.35202479362487793,158,288,130,224,222,224,2,224,0.5,uniform,True
19,96372106,2,10637314,2,60,0.008013248443603516,0.12068605422973633,116,215,99,165,165,165,0,165,0.5,uniform,True
20,96372106,2,10637315,2,60,0.08278656005859375,4.065094470977783,439,801,362,611,611,614,3,611,0.5,uniform,True
21,96372106,2,10637316,2,60,0.02792525291442871,0.24633216857910156,185,329,144,260,260,261,1,260,0.5,uniform,True
22,96372106,2,10637317,2,60,4.982647180557251,6.483628273010254,455,784,329,624,629,631,2,629,0.5,uniform,True
23,96372106,2,10637318,2,60,0.0860133171081543,3.777188539505005,397,728,331,567,567,567,0,567,0.5,uniform,True
24,96372106,2,10637319,2,60,0.12321305274963379,4.651519298553467,432,770,338,604,602,607,5,604,0.5,uniform,True
25,96372106,2,10637320,2,60,0.06883907318115234,2.558187484741211,386,685,299,535,535,535,0,535,0.5,uniform,True
26,96372106,2,10637321,2,60,158.04990148544312,2.8114707469940186,310,544,234,423,419,419,0,419,0.5,uniform,True
27,96372106,2,10637322,2,60,0.03587913513183594,1.411193609237671,321,543,222,445,445,445,0,445,0.5,uniform,True
28,96372106,2,10637323,2,60,0.0948038101196289,4.265588045120239,451,791,340,638,638,638,0,638,0.5,uniform,True
29,96372106,2,10637324,2,60,0.0718071460723877,7.157171249389648,524,909,385,708,706,709,3,708,0.5,uniform,True
30,96372106,2,10637325,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
31,96372106,2,10637326,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
32,96372106,2,10637327,2,60,0.07480120658874512,7.3543617725372314,473,843,370,659,659,659,0,659,0.5,uniform,True
33,96372106,2,10637328,2,60,0.058843135833740234,2.032525062561035,360,628,268,498,498,498,0,498,0.5,uniform,True
34,96372106,2,10637329,2,60,0.12765860557556152,6.631258487701416,470,835,365,657,657,657,0,657,0.5,uniform,True
35,96372106,2,10637330,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
36,96372106,2,10637331,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
37,96372106,2,10637332,2,60,0.019945859909057617,0.4328484535217285,235,420,185,334,333,335,2,334,0.5,uniform,True
38,96372106,2,10637333,2,60,0.07779169082641602,8.064366579055786,533,951,418,757,753,758,5,757,0.5,uniform,True
39,96372106,2,10637334,2,60,1.1509034633636475,4.606637954711914,366,611,245,495,495,496,1,495,0.5,uniform,True
40,96372106,2,10637335,2,60,0.03889584541320801,1.9198312759399414,355,637,282,493,493,493,0,493,0.5,uniform,True
41,96372106,2,10637336,2,60,0.020943880081176758,1.5148909091949463,295,506,211,397,395,399,4,397,0.5,uniform,True
42,96372106,2,10637337,2,60,0.014959573745727539,0.5036525726318359,199,348,149,281,278,282,4,281,0.5,uniform,True
43,96372106,2,10637338,2,60,0.0469050407409668,3.74198842048645,344,597,253,474,472,474,2,474,0.5,uniform,True
44,96372106,2,10637339,2,60,71.40595746040344,7.636570453643799,341,549,208,439,445,445,0,445,0.5,uniform,True
45,96372106,2,10637340,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
46,96372106,2,10637341,2,60,0.018948793411254883,0.927544355392456,243,410,167,323,323,323,0,323,0.5,uniform,True
47,96372106,2,10637342,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,True
48,96372106,2,10637343,2,60,0.01694178581237793,0.7839038372039795,243,406,163,329,329,329,0,329,0.5,uniform,True
49,96372106,2,10637344,2,60,0.01798868179321289,0.5415282249450684,268,453,185,366,366,367,1,366,0.5,uniform,True
50,96372106,2,10637345,2,60,0.05781745910644531,3.3999016284942627,459,810,351,610,610,611,1,610,0.5,uniform,True
