Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,2,10637296,2,60,0.022450923919677734,0.4728553295135498,234,395,161,395,394,395,1,395,0.75,max,False
2,96372106,2,10637297,2,60,2.948185682296753,3.019078016281128,341,596,255,596,610,610,0,610,0.75,max,False
3,96372106,2,10637298,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,max,False
4,96372106,2,10637299,2,60,0.12366771697998047,2.630221366882324,435,764,329,764,764,764,0,764,0.75,max,False
5,96372106,2,10637300,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,max,False
6,96372106,2,10637301,2,60,0.9275734424591064,2.2495362758636475,299,525,226,525,530,530,0,530,0.75,max,False
7,96372106,2,10637302,2,60,0.013990640640258789,0.37551450729370117,210,375,165,375,375,375,0,375,0.75,max,False
8,96372106,2,10637303,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,max,False
9,96372106,2,10637304,2,60,0.05189228057861328,2.7631988525390625,397,687,290,687,687,687,0,687,0.75,max,False
10,96372106,2,10637305,2,60,0.06382918357849121,2.9637205600738525,425,755,330,755,754,755,1,755,0.75,max,False
11,96372106,2,10637306,2,60,0.00899505615234375,0.15852093696594238,121,207,86,207,207,207,0,207,0.75,max,False
12,96372106,2,10637307,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,max,False
13,96372106,2,10637308,2,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,max,False
14,96372106,2,10637309,2,60,0.0039882659912109375,0.03377509117126465,74,121,47,121,121,121,0,121,0.75,max,False
15,96372106,2,10637310,2,60,0.010967254638671875,0.2007460594177246,147,265,118,265,264,265,1,265,0.75,max,False
16,96372106,2,10637311,2,60,0.015975475311279297,0.516643762588501,217,360,143,360,360,360,0,360,0.75,max,False
17,96372106,2,10637312,2,60,0.11170673370361328,5.342616081237793,480,845,365,845,843,845,2,845,0.75,max,False
18,96372106,2,10637313,2,60,0.013024568557739258,0.34835195541381836,158,288,130,288,288,288,0,288,0.75,max,False
