Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,3,10637296,0,60,0.031938791275024414,2.9570910930633545,457,457,0,457,457,457,0,457,0.25,uniform,True
2,96372106,3,10637297,0,60,0.08181524276733398,2.486353874206543,401,401,0,401,401,401,0,401,0.25,uniform,True
3,96372106,3,10637298,0,60,0.13164925575256348,6.439795732498169,587,587,0,587,587,587,0,587,0.25,uniform,True
4,96372106,3,10637299,0,60,0.024932146072387695,3.3979146480560303,520,520,0,520,520,520,0,520,0.25,uniform,True
5,96372106,3,10637300,0,60,0.07081055641174316,3.313136100769043,386,386,0,386,386,386,0,386,0.25,uniform,True
6,96372106,3,10637301,0,60,0.024931669235229492,2.111325979232788,278,278,0,278,278,278,0,278,0.25,uniform,True
7,96372106,3,10637302,0,60,0.054854393005371094,2.048518657684326,361,361,0,361,361,361,0,361,0.25,uniform,True
8,96372106,3,10637303,0,60,0.11269831657409668,9.733996391296387,690,690,0,690,690,690,0,690,0.25,uniform,True
9,96372106,3,10637304,0,60,0.05186152458190918,6.236318111419678,591,591,0,591,591,591,0,591,0.25,uniform,True
10,96372106,3,10637305,0,60,0.029919147491455078,2.835789918899536,396,396,0,396,396,396,0,396,0.25,uniform,True
11,96372106,3,10637306,0,60,0.06482577323913574,1.0591657161712646,262,262,0,262,262,262,0,262,0.25,uniform,True
12,96372106,3,10637307,0,60,0.04488086700439453,1.3154499530792236,366,366,0,366,366,366,0,366,0.25,uniform,True
13,96372106,3,10637308,0,60,0.023937225341796875,2.5970704555511475,450,450,0,450,450,450,0,450,0.25,uniform,True
14,96372106,3,10637309,0,60,0.005983829498291016,0.09270501136779785,127,127,0,127,127,127,0,127,0.25,uniform,True
15,96372106,3,10637310,0,60,0.14261841773986816,5.258961915969849,491,491,0,491,491,491,0,491,0.25,uniform,True
16,96372106,3,10637311,0,60,0.02792525291442871,2.9091789722442627,419,419,0,419,419,419,0,419,0.25,uniform,True
17,96372106,3,10637312,0,60,0.07878828048706055,2.6339545249938965,408,408,0,408,408,408,0,408,0.25,uniform,True
18,96372106,3,10637313,0,60,0.01795196533203125,1.4730579853057861,319,319,0,319,319,319,0,319,0.25,uniform,True
19,96372106,3,10637314,0,60,0.029919147491455078,0.9265556335449219,287,287,0,287,287,287,0,287,0.25,uniform,True
20,96372106,3,10637315,0,60,0.05186033248901367,6.3011674880981445,533,533,0,533,533,533,0,533,0.25,uniform,True
21,96372106,3,10637316,0,60,0.008975505828857422,0.20939135551452637,177,177,0,177,177,177,0,177,0.25,uniform,True
22,96372106,3,10637317,0,60,0.06482577323913574,13.926356077194214,739,739,0,739,739,739,0,739,0.25,uniform,True
23,96372106,3,10637318,0,60,0.02393484115600586,2.3985776901245117,410,410,0,410,410,410,0,410,0.25,uniform,True
24,96372106,3,10637319,0,60,0.05385541915893555,3.734010934829712,463,463,0,463,463,463,0,463,0.25,uniform,True
25,96372106,3,10637320,0,60,0.05485200881958008,4.027257919311523,477,477,0,477,477,477,0,477,0.25,uniform,True
26,96372106,3,10637321,0,60,0.03889608383178711,3.3889336585998535,461,461,0,461,461,461,0,461,0.25,uniform,True
27,96372106,3,10637322,0,60,0.08676743507385254,2.244032382965088,441,441,0,441,441,441,0,441,0.25,uniform,True
