Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC
1,96372106,3,10637296,1,60,0.02381300926208496,0.033547163009643555,506,721,215,613,506,721,215,613,0.0,uniform,Min Worst Case,False,506,721
2,96372106,3,10637297,1,60,0.2742960453033447,0.02547311782836914,430,608,178,521,430,608,178,521,0.0,uniform,Min Worst Case,False,429,607
3,96372106,3,10637298,1,60,5.746675252914429,0.03451132774353027,620,887,267,756,620,887,267,756,0.0,uniform,Min Worst Case,False,617,903
4,96372106,3,10637299,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,Min Worst Case,False,-1,-1
5,96372106,3,10637300,1,60,49.051077365875244,0.018266916275024414,425,578,153,511,425,578,153,511,0.0,uniform,Min Worst Case,False,419,586
6,96372106,3,10637301,1,60,0.24728775024414062,0.02434849739074707,297,422,125,356,297,422,125,356,0.0,uniform,Min Worst Case,False,293,422
7,96372106,3,10637302,1,60,0.5381042957305908,0.03631305694580078,389,556,167,467,389,556,167,467,0.0,uniform,Min Worst Case,False,389,559
8,96372106,3,10637303,1,60,34.72509717941284,0.03458666801452637,743,1027,284,887,743,1027,284,887,0.0,uniform,Min Worst Case,False,740,1053
9,96372106,3,10637304,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,Min Worst Case,False,-1,-1
10,96372106,3,10637305,1,60,0.0400385856628418,0.028148412704467773,414,591,177,506,414,591,177,506,0.0,uniform,Min Worst Case,False,414,591
11,96372106,3,10637306,1,60,0.48809337615966797,0.017852306365966797,301,392,91,352,301,392,91,352,0.0,uniform,Min Worst Case,False,301,396
12,96372106,3,10637307,1,60,2.39811635017395,0.015959739685058594,389,563,174,469,389,563,174,469,0.0,uniform,Min Worst Case,False,388,561
13,96372106,3,10637308,1,60,3.4768972396850586,0.023301124572753906,477,678,201,600,477,678,201,600,0.0,uniform,Min Worst Case,False,477,678
14,96372106,3,10637309,1,60,0.0052645206451416016,0.006769895553588867,133,194,61,161,133,194,61,161,0.0,uniform,Min Worst Case,False,133,194
15,96372106,3,10637310,1,60,1.3805797100067139,0.06829714775085449,537,775,238,656,537,775,238,656,0.0,uniform,Min Worst Case,False,537,776
16,96372106,3,10637311,1,60,0.03532052040100098,0.029590129852294922,460,652,192,561,460,652,192,561,0.0,uniform,Min Worst Case,False,460,652
17,96372106,3,10637312,1,60,0.05822134017944336,0.04487919807434082,440,624,184,519,440,624,184,519,0.0,uniform,Min Worst Case,False,440,624
18,96372106,3,10637313,1,60,0.042745113372802734,0.019923686981201172,333,490,157,412,333,490,157,412,0.0,uniform,Min Worst Case,False,333,490
19,96372106,3,10637314,1,60,0.02316594123840332,0.019608497619628906,308,435,127,375,308,435,127,375,0.0,uniform,Min Worst Case,False,308,435
20,96372106,3,10637315,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,Min Worst Case,False,-1,-1
21,96372106,3,10637316,1,60,0.006650686264038086,0.008092164993286133,187,278,91,241,187,278,91,241,0.0,uniform,Min Worst Case,False,187,278
22,96372106,3,10637317,1,60,4.5871570110321045,0.04896688461303711,780,1125,345,957,780,1125,345,957,0.0,uniform,Min Worst Case,False,780,1132
23,96372106,3,10637318,1,60,0.018603086471557617,0.02843642234802246,442,655,213,554,442,655,213,554,0.0,uniform,Min Worst Case,False,442,655
24,96372106,3,10637319,1,60,0.027322053909301758,0.03624582290649414,509,726,217,623,509,726,217,623,0.0,uniform,Min Worst Case,False,509,726
25,96372106,3,10637320,1,60,125.07534456253052,0.04127764701843262,541,749,208,645,541,749,208,645,0.0,uniform,Min Worst Case,False,533,765
26,96372106,3,10637321,1,60,0.029928922653198242,0.024057388305664062,500,708,208,611,500,708,208,611,0.0,uniform,Min Worst Case,False,500,708
27,96372106,3,10637322,1,60,0.033406972885131836,0.019678354263305664,470,664,194,559,470,664,194,559,0.0,uniform,Min Worst Case,False,470,664
28,96372106,3,10637323,1,60,0.028438329696655273,0.03925633430480957,482,695,213,591,482,695,213,591,0.0,uniform,Min Worst Case,False,482,695
29,96372106,3,10637324,1,60,0.02670884132385254,0.03583073616027832,505,718,213,605,505,718,213,605,0.0,uniform,Min Worst Case,False,505,718
30,96372106,3,10637325,1,60,25.46846055984497,0.049700021743774414,816,1159,343,980,816,1159,343,980,0.0,uniform,Min Worst Case,False,814,1178
31,96372106,3,10637326,1,60,10.08833932876587,0.03792977333068848,645,908,263,777,645,908,263,777,0.0,uniform,Min Worst Case,False,643,936
32,96372106,3,10637327,1,60,1.1693758964538574,0.045723676681518555,558,804,246,675,558,804,246,675,0.0,uniform,Min Worst Case,False,557,813
33,96372106,3,10637328,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,Min Worst Case,False,-1,-1
34,96372106,3,10637329,1,60,5.18956995010376,0.048232316970825195,684,949,265,815,684,949,265,815,0.0,uniform,Min Worst Case,False,682,972
35,96372106,3,10637330,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,Min Worst Case,False,-1,-1
36,96372106,3,10637331,1,60,49.97966957092285,0.0460050106048584,627,879,252,748,627,879,252,748,0.0,uniform,Min Worst Case,False,622,898
37,96372106,3,10637332,1,60,0.010864496231079102,0.012855768203735352,336,484,148,422,336,484,148,422,0.0,uniform,Min Worst Case,False,336,484
38,96372106,3,10637333,1,60,0.031655311584472656,0.046154022216796875,700,1013,313,864,700,1013,313,864,0.0,uniform,Min Worst Case,False,700,1013
39,96372106,3,10637334,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,uniform,Min Worst Case,False,-1,-1
40,96372106,3,10637335,1,60,0.2779195308685303,0.01751089096069336,468,655,187,564,468,655,187,564,0.0,uniform,Min Worst Case,False,467,664
41,96372106,3,10637336,1,60,0.01245427131652832,0.014991283416748047,384,534,150,460,384,534,150,460,0.0,uniform,Min Worst Case,False,384,534
42,96372106,3,10637337,1,60,0.010674238204956055,0.013644933700561523,314,457,143,388,314,457,143,388,0.0,uniform,Min Worst Case,False,314,457
43,96372106,3,10637338,1,60,0.026357650756835938,0.03192639350891113,347,489,142,415,347,489,142,415,0.0,uniform,Min Worst Case,False,347,489
