Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,3,10637296,1,60,0.07480144500732422,6.293103218078613,506,721,215,613,613,613,0,613,0.5,uniform,False
2,96372106,3,10637297,1,60,1.9906516075134277,10.826978921890259,430,600,170,517,520,520,0,520,0.5,uniform,False
3,96372106,3,10637298,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,False
4,96372106,3,10637299,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,False
5,96372106,3,10637300,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,False
6,96372106,3,10637301,1,60,9.04679536819458,3.4329161643981934,295,422,127,357,353,353,0,353,0.5,uniform,False
7,96372106,3,10637302,1,60,1.070138931274414,3.308138608932495,389,556,167,467,471,474,3,472,0.5,uniform,False
8,96372106,3,10637303,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,False
9,96372106,3,10637304,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,False
10,96372106,3,10637305,1,60,0.05887246131896973,4.75628399848938,414,591,177,506,506,506,0,506,0.5,uniform,False
11,96372106,3,10637306,1,60,0.9992849826812744,3.2513039112091064,301,392,91,352,352,352,0,352,0.5,uniform,False
12,96372106,3,10637307,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,False
13,96372106,3,10637308,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,False
14,96372106,3,10637309,1,60,0.007978677749633789,0.19250869750976562,133,194,61,161,161,162,1,161,0.5,uniform,False
15,96372106,3,10637310,1,60,3.939470052719116,20.380418300628662,537,775,238,656,655,656,1,656,0.5,uniform,False
16,96372106,3,10637311,1,60,0.05984210968017578,5.155206918716431,460,652,192,561,561,561,0,561,0.5,uniform,False
17,96372106,3,10637312,1,60,0.08178091049194336,7.315428733825684,440,624,184,519,519,520,1,519,0.5,uniform,False
18,96372106,3,10637313,1,60,0.04588508605957031,2.3477048873901367,333,490,157,412,411,412,1,412,0.5,uniform,False
19,96372106,3,10637314,1,60,0.04087042808532715,2.2489631175994873,308,435,127,375,375,375,0,375,0.5,uniform,False
20,96372106,3,10637315,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,False
21,96372106,3,10637316,1,60,0.011966228485107422,0.4428520202636719,187,278,91,241,239,242,3,241,0.5,uniform,False
22,96372106,3,10637317,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,False
23,96372106,3,10637318,1,60,0.04186820983886719,3.905571222305298,442,655,213,554,552,558,6,554,0.5,uniform,False
24,96372106,3,10637319,1,60,0.07385802268981934,7.627583026885986,509,726,217,623,622,623,1,623,0.5,uniform,False
25,96372106,3,10637320,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,False
26,96372106,3,10637321,1,60,0.040903568267822266,4.681474924087524,500,708,208,611,609,612,3,611,0.5,uniform,False
27,96372106,3,10637322,1,60,0.03289079666137695,3.8387575149536133,470,664,194,559,557,560,3,559,0.5,uniform,False
28,96372106,3,10637323,1,60,0.06183290481567383,7.8868889808654785,482,695,213,591,590,591,1,591,0.5,uniform,False
29,96372106,3,10637324,1,60,0.07677578926086426,7.940744638442993,505,718,213,605,604,606,2,605,0.5,uniform,False
30,96372106,3,10637325,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,False
31,96372106,3,10637326,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,False
32,96372106,3,10637327,1,60,2.397615432739258,16.01809024810791,557,805,248,676,676,676,0,676,0.5,uniform,False
33,96372106,3,10637328,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,False
34,96372106,3,10637329,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,False
35,96372106,3,10637330,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,False
36,96372106,3,10637331,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,False
37,96372106,3,10637332,1,60,0.020931720733642578,1.2875263690948486,336,484,148,422,421,422,1,422,0.5,uniform,False
38,96372106,3,10637333,1,60,0.08779406547546387,16.642545223236084,700,1013,313,864,863,865,2,864,0.5,uniform,False
39,96372106,3,10637334,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,False
40,96372106,3,10637335,1,60,2.4454312324523926,8.115265607833862,468,651,183,564,566,566,0,566,0.5,uniform,False
41,96372106,3,10637336,1,60,0.03690052032470703,2.2130987644195557,384,534,150,460,460,460,0,460,0.5,uniform,False
42,96372106,3,10637337,1,60,0.023936033248901367,1.6336350440979004,314,457,143,388,386,389,3,388,0.5,uniform,False
43,96372106,3,10637338,1,60,0.056849002838134766,3.678184747695923,347,489,142,415,415,415,0,415,0.5,uniform,False
44,96372106,3,10637339,1,60,0.90358567237854,2.4593873023986816,331,462,131,401,401,401,0,401,0.5,uniform,False
45,96372106,3,10637340,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,False
46,96372106,3,10637341,1,60,0.026930809020996094,1.7074248790740967,366,533,167,441,441,441,0,441,0.5,uniform,False
47,96372106,3,10637342,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,uniform,False
48,96372106,3,10637343,1,60,0.02587413787841797,1.4690678119659424,318,457,139,390,390,390,0,390,0.5,uniform,False
49,96372106,3,10637344,1,60,0.021941423416137695,1.4431068897247314,295,418,123,365,365,366,1,365,0.5,uniform,False
50,96372106,3,10637345,1,60,0.08078193664550781,4.992621421813965,447,642,195,547,547,547,0,547,0.5,uniform,False
