Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC
1,96372106,5,10637296,0,60,0.06770920753479004,0.028192520141601562,720,720,0,720,720,720,0,720,1.0,max,Min Best Case,True,720,720
2,96372106,5,10637297,0,60,0.057436227798461914,0.024901151657104492,632,632,0,632,632,632,0,632,1.0,max,Min Best Case,True,632,632
3,96372106,5,10637298,0,60,0.09379076957702637,0.029634952545166016,925,925,0,925,925,925,0,925,1.0,max,Min Best Case,True,925,925
4,96372106,5,10637299,0,60,0.05941057205200195,0.02336573600769043,761,761,0,761,761,761,0,761,1.0,max,Min Best Case,True,761,761
5,96372106,5,10637300,0,60,0.034125328063964844,0.019069671630859375,660,660,0,660,660,660,0,660,1.0,max,Min Best Case,True,660,660
6,96372106,5,10637301,0,60,0.14941692352294922,0.03619647026062012,866,866,0,866,866,866,0,866,1.0,max,Min Best Case,True,866,866
7,96372106,5,10637302,0,60,0.0929718017578125,0.03155708312988281,738,738,0,738,738,738,0,738,1.0,max,Min Best Case,True,738,738
8,96372106,5,10637303,0,60,0.11458802223205566,0.029407501220703125,984,984,0,984,984,984,0,984,1.0,max,Min Best Case,True,984,984
9,96372106,5,10637304,0,60,0.09227180480957031,0.030092239379882812,891,891,0,891,891,891,0,891,1.0,max,Min Best Case,True,891,891
10,96372106,5,10637305,0,60,0.03203535079956055,0.02676081657409668,518,518,0,518,518,518,0,518,1.0,max,Min Best Case,True,518,518
11,96372106,5,10637306,0,60,0.04469633102416992,0.01822495460510254,433,433,0,433,433,433,0,433,1.0,max,Min Best Case,True,433,433
12,96372106,5,10637307,0,60,0.02844405174255371,0.016331911087036133,556,556,0,556,556,556,0,556,1.0,max,Min Best Case,True,556,556
13,96372106,5,10637308,0,60,0.10708880424499512,0.03206467628479004,912,912,0,912,912,912,0,912,1.0,max,Min Best Case,True,912,912
14,96372106,5,10637309,0,60,0.025156021118164062,0.022925853729248047,427,427,0,427,427,427,0,427,1.0,max,Min Best Case,True,427,427
15,96372106,5,10637310,0,60,0.09769940376281738,0.03972625732421875,877,877,0,877,877,877,0,877,1.0,max,Min Best Case,True,877,877
16,96372106,5,10637311,0,60,0.04543161392211914,0.026825904846191406,647,647,0,647,647,647,0,647,1.0,max,Min Best Case,True,647,647
17,96372106,5,10637312,0,60,0.09973931312561035,0.03622603416442871,795,795,0,795,795,795,0,795,1.0,max,Min Best Case,True,795,795
18,96372106,5,10637313,0,60,0.02352452278137207,0.01985788345336914,601,601,0,601,601,601,0,601,1.0,max,Min Best Case,True,601,601
19,96372106,5,10637314,0,60,0.11523699760437012,0.0324556827545166,811,811,0,811,811,811,0,811,1.0,max,Min Best Case,True,811,811
20,96372106,5,10637315,0,60,0.13835549354553223,0.03889155387878418,1160,1160,0,1160,1160,1160,0,1160,1.0,max,Min Best Case,True,1160,1160
21,96372106,5,10637316,0,60,0.04388546943664551,0.023881912231445312,584,584,0,584,584,584,0,584,1.0,max,Min Best Case,True,584,584
22,96372106,5,10637317,0,60,0.05105853080749512,0.03769564628601074,913,913,0,913,913,913,0,913,1.0,max,Min Best Case,True,913,913
23,96372106,5,10637318,0,60,0.029050827026367188,0.02439594268798828,668,668,0,668,668,668,0,668,1.0,max,Min Best Case,True,668,668
24,96372106,5,10637319,0,60,0.042028188705444336,0.03113698959350586,696,696,0,696,696,696,0,696,1.0,max,Min Best Case,True,696,696
