Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC
1,96372106,6,10637296,0,60,0.056516408920288086,0.0683293342590332,821,821,0,821,821,821,0,821,0.0,min,Min Worst Case,False,821,821
2,96372106,6,10637297,0,60,0.15703701972961426,0.1057441234588623,969,969,0,969,969,969,0,969,0.0,min,Min Worst Case,False,969,969
3,96372106,6,10637298,0,60,0.1877458095550537,0.09101080894470215,1278,1278,0,1278,1278,1278,0,1278,0.0,min,Min Worst Case,False,1278,1278
4,96372106,6,10637299,0,60,0.06546354293823242,0.05445218086242676,881,881,0,881,881,881,0,881,0.0,min,Min Worst Case,False,881,881
5,96372106,6,10637300,0,60,0.03804135322570801,0.027889490127563477,736,736,0,736,736,736,0,736,0.0,min,Min Worst Case,False,736,736
6,96372106,6,10637301,0,60,0.15903759002685547,0.06202125549316406,876,876,0,876,876,876,0,876,0.0,min,Min Worst Case,False,876,876
7,96372106,6,10637302,0,60,0.08197021484375,0.05114293098449707,781,781,0,781,781,781,0,781,0.0,min,Min Worst Case,False,781,781
8,96372106,6,10637303,0,60,0.16281676292419434,0.04459190368652344,1149,1149,0,1149,1149,1149,0,1149,0.0,min,Min Worst Case,False,1149,1149
9,96372106,6,10637304,0,60,0.08306336402893066,0.04624462127685547,903,903,0,903,903,903,0,903,0.0,min,Min Worst Case,False,903,903
10,96372106,6,10637305,0,60,0.07287049293518066,0.04164767265319824,643,643,0,643,643,643,0,643,0.0,min,Min Worst Case,False,643,643
11,96372106,6,10637306,0,60,0.048155784606933594,0.026888132095336914,456,456,0,456,456,456,0,456,0.0,min,Min Worst Case,False,456,456
12,96372106,6,10637307,0,60,0.04455232620239258,0.023824214935302734,692,692,0,692,692,692,0,692,0.0,min,Min Worst Case,False,692,692
13,96372106,6,10637308,0,60,0.11374092102050781,0.04950761795043945,1082,1082,0,1082,1082,1082,0,1082,0.0,min,Min Worst Case,False,1082,1082
