Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication,Min SIC,Max SIC
1,96372106,8,10637296,0,60,0.09128546714782715,0.044254302978515625,1111,1111,0,1111,1111,1111,0,1111,1.0,min,Min Worst Case,True,1111,1111
2,96372106,8,10637297,0,60,0.26152563095092773,0.055628061294555664,1231,1231,0,1231,1231,1231,0,1231,1.0,min,Min Worst Case,True,1231,1231
3,96372106,8,10637298,0,60,45.229467153549194,0.05800938606262207,1518,1518,0,1518,1518,1518,0,1518,1.0,min,Min Worst Case,True,1516,1516
4,96372106,8,10637299,0,60,0.07634758949279785,0.03699469566345215,1131,1131,0,1131,1131,1131,0,1131,1.0,min,Min Worst Case,True,1131,1131
5,96372106,8,10637300,0,60,0.08103752136230469,0.04181504249572754,1010,1010,0,1010,1010,1010,0,1010,1.0,min,Min Worst Case,True,1010,1010
6,96372106,8,10637301,0,60,0.24887967109680176,0.05918478965759277,1339,1339,0,1339,1339,1339,0,1339,1.0,min,Min Worst Case,True,1339,1339
7,96372106,8,10637302,0,60,0.10984635353088379,0.049904823303222656,854,854,0,854,854,854,0,854,1.0,min,Min Worst Case,True,854,854
8,96372106,8,10637303,0,60,0.2582249641418457,0.04663276672363281,1579,1579,0,1579,1579,1579,0,1579,1.0,min,Min Worst Case,True,1579,1579
9,96372106,8,10637304,0,60,0.17229104042053223,0.045684099197387695,1141,1141,0,1141,1141,1141,0,1141,1.0,min,Min Worst Case,True,1141,1141
10,96372106,8,10637305,0,60,0.1564335823059082,0.041738033294677734,848,848,0,848,848,848,0,848,1.0,min,Min Worst Case,True,848,848
11,96372106,8,10637306,0,60,12.384809494018555,0.060693979263305664,1072,1072,0,1072,1072,1072,0,1072,1.0,min,Min Worst Case,True,1072,1072
12,96372106,8,10637307,0,60,0.08057975769042969,0.02606964111328125,866,866,0,866,866,866,0,866,1.0,min,Min Worst Case,True,866,866
13,96372106,8,10637308,0,60,0.1952075958251953,0.050054073333740234,1417,1417,0,1417,1417,1417,0,1417,1.0,min,Min Worst Case,True,1417,1417
14,96372106,8,10637309,0,60,0.09443354606628418,0.042311668395996094,927,927,0,927,927,927,0,927,1.0,min,Min Worst Case,True,927,927
15,96372106,8,10637310,0,60,0.19739699363708496,0.06247282028198242,1257,1257,0,1257,1257,1257,0,1257,1.0,min,Min Worst Case,True,1257,1257
16,96372106,8,10637311,0,60,0.13156366348266602,0.041625022888183594,1199,1199,0,1199,1199,1199,0,1199,1.0,min,Min Worst Case,True,1199,1199
17,96372106,8,10637312,0,60,0.25756120681762695,0.057038068771362305,1151,1151,0,1151,1151,1151,0,1151,1.0,min,Min Worst Case,True,1151,1151
